epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,181.161,1.81617,0.82883,0.69351,0.70689,0.05358,0.01988,0.00517,1.22618,0.56768,0.39762,0.000332428,0.000332428,0.000332428
2,360.061,1.22275,0.55373,0.31695,0.7562,0.11523,0.07286,0.02832,0.95085,0.71652,0.26756,0.000661367,0.000661367,0.000661367
3,538.729,1.14955,0.57133,0.29683,0.60817,0.13269,0.09189,0.0391,0.92093,0.69335,0.24905,0.000985906,0.000985906,0.000985906
4,716.499,1.03125,0.58735,0.22399,0.45566,0.19634,0.16287,0.07912,0.82118,0.652,0.18731,0.0009802,0.0009802,0.0009802
5,889.912,0.92822,0.58533,0.18365,0.5037,0.22176,0.20525,0.10132,0.777,0.61792,0.17034,0.0009736,0.0009736,0.0009736
6,1062.88,0.90866,0.57644,0.17444,0.27259,0.31931,0.24019,0.11286,0.75598,0.64518,0.1704,0.000967,0.000967,0.000967
7,1236.31,0.8596,0.57742,0.16041,0.46436,0.29576,0.27627,0.14305,0.69744,0.61056,0.14472,0.0009604,0.0009604,0.0009604
8,1409.87,0.82758,0.55651,0.14423,0.37609,0.39423,0.33431,0.17253,0.65811,0.61242,0.11961,0.0009538,0.0009538,0.0009538
9,1584.98,0.80291,0.5532,0.13631,0.38766,0.38086,0.31979,0.16684,0.66477,0.60945,0.1239,0.0009472,0.0009472,0.0009472
10,1758.28,0.77812,0.53411,0.12561,0.43491,0.44291,0.38602,0.21248,0.62923,0.58912,0.11013,0.0009406,0.0009406,0.0009406
11,1932.17,0.74975,0.54389,0.1202,0.51977,0.40785,0.40702,0.22913,0.62003,0.57441,0.10979,0.000934,0.000934,0.000934
12,2106,0.75108,0.54252,0.12151,0.43638,0.4213,0.3762,0.21023,0.62728,0.61625,0.11602,0.0009274,0.0009274,0.0009274
13,2279.52,0.72405,0.52565,0.11199,0.48057,0.47787,0.44715,0.2524,0.60208,0.5388,0.10396,0.0009208,0.0009208,0.0009208
14,2453.67,0.70092,0.52378,0.10585,0.58755,0.47805,0.50393,0.29417,0.5736,0.53156,0.09488,0.0009142,0.0009142,0.0009142
15,2627.19,0.69506,0.52591,0.10662,0.56376,0.50012,0.49274,0.28582,0.57711,0.55431,0.10075,0.0009076,0.0009076,0.0009076
16,2801.02,0.6859,0.51569,0.10336,0.5501,0.49208,0.50079,0.29613,0.57241,0.5209,0.09457,0.000901,0.000901,0.000901
17,2974.13,0.66641,0.51198,0.09728,0.59446,0.52261,0.5396,0.32222,0.55507,0.51213,0.09629,0.0008944,0.0008944,0.0008944
18,3148,0.66016,0.50604,0.09619,0.58866,0.54069,0.54229,0.31448,0.55804,0.49974,0.09317,0.0008878,0.0008878,0.0008878
19,3320.97,0.65676,0.51291,0.09579,0.63917,0.51386,0.52747,0.30799,0.55386,0.50827,0.09436,0.0008812,0.0008812,0.0008812
