epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,162.079,1.81372,0.82928,0.71348,0.70233,0.04829,0.01587,0.00374,1.24697,0.53549,0.39866,0.000332428,0.000332428,0.000332428
2,321.536,1.26198,0.50368,0.33387,0.76505,0.10516,0.0792,0.0292,0.96028,0.70113,0.25325,0.000661367,0.000661367,0.000661367
3,476.417,1.1123,0.56426,0.25872,0.659,0.14258,0.1123,0.0486,0.87609,0.6803,0.22951,0.000985906,0.000985906,0.000985906
4,629.757,1.01425,0.59129,0.21436,0.40815,0.20617,0.17002,0.07372,0.80136,0.68642,0.17909,0.0009802,0.0009802,0.0009802
5,792.008,0.93996,0.58383,0.19139,0.42074,0.30522,0.24508,0.11753,0.75165,0.67615,0.16463,0.0009736,0.0009736,0.0009736
6,948.858,0.90316,0.57929,0.17179,0.4145,0.32785,0.27135,0.12858,0.73301,0.6266,0.14579,0.000967,0.000967,0.000967
7,1105.6,0.85248,0.57301,0.15709,0.45312,0.31524,0.3077,0.15176,0.70802,0.61527,0.13948,0.0009604,0.0009604,0.0009604
8,1262.33,0.8368,0.57758,0.14791,0.61927,0.26337,0.27545,0.14412,0.68472,0.65814,0.13692,0.0009538,0.0009538,0.0009538
9,1419.15,0.81346,0.56613,0.1389,0.4616,0.37071,0.35213,0.19476,0.65117,0.60594,0.11792,0.0009472,0.0009472,0.0009472
10,1575.92,0.76935,0.5491,0.12456,0.53196,0.40043,0.40596,0.22574,0.61405,0.57726,0.10821,0.0009406,0.0009406,0.0009406
11,1732.4,0.76635,0.55485,0.12691,0.45151,0.38669,0.36482,0.20398,0.62654,0.60404,0.11789,0.000934,0.000934,0.000934
12,1888.87,0.75087,0.55449,0.12271,0.52177,0.3836,0.39895,0.22598,0.6181,0.58478,0.11191,0.0009274,0.0009274,0.0009274
13,2045.4,0.73062,0.55599,0.11454,0.46703,0.44116,0.41677,0.24104,0.60462,0.59343,0.10925,0.0009208,0.0009208,0.0009208
14,2202.09,0.69309,0.54035,0.10509,0.50035,0.47471,0.46796,0.26956,0.57385,0.54298,0.09769,0.0009142,0.0009142,0.0009142
15,2358.72,0.68825,0.53642,0.10571,0.53841,0.44109,0.4632,0.27558,0.58357,0.53876,0.10244,0.0009076,0.0009076,0.0009076
16,2515.42,0.66441,0.52603,0.09869,0.54938,0.49425,0.49197,0.28869,0.55588,0.53231,0.09548,0.000901,0.000901,0.000901
17,2672.05,0.66225,0.53592,0.09774,0.54379,0.52612,0.50241,0.29246,0.55766,0.55187,0.09443,0.0008944,0.0008944,0.0008944
18,2828.71,0.66707,0.5298,0.09829,0.56081,0.50374,0.51252,0.29771,0.55653,0.52829,0.09246,0.0008878,0.0008878,0.0008878
19,2985.32,0.64223,0.51724,0.09308,0.60926,0.53818,0.56331,0.32183,0.54127,0.50532,0.09134,0.0008812,0.0008812,0.0008812
20,3141.75,0.64071,0.51449,0.0916,0.61949,0.52694,0.5601,0.33116,0.53543,0.49915,0.08733,0.0008746,0.0008746,0.0008746
21,3298.57,0.63451,0.50851,0.08897,0.6156,0.55465,0.56694,0.3356,0.52375,0.49195,0.08791,0.000868,0.000868,0.000868
22,3455.36,0.61564,0.50337,0.08726,0.64123,0.57679,0.5843,0.34698,0.52974,0.50053,0.08622,0.0008614,0.0008614,0.0008614
23,3612.54,0.61007,0.5032,0.08555,0.64229,0.56401,0.5962,0.35382,0.51545,0.49378,0.0838,0.0008548,0.0008548,0.0008548
24,3769.28,0.60323,0.49468,0.08269,0.73386,0.56788,0.63409,0.38195,0.51395,0.46901,0.08251,0.0008482,0.0008482,0.0008482
25,3926.32,0.59673,0.48948,0.08215,0.70467,0.57274,0.63076,0.37865,0.50348,0.47695,0.08119,0.0008416,0.0008416,0.0008416
26,4083.19,0.5834,0.48904,0.08053,0.67033,0.60192,0.64308,0.3839,0.49701,0.47685,0.08174,0.000835,0.000835,0.000835
27,4240.08,0.59211,0.48299,0.08057,0.6799,0.62778,0.66264,0.40037,0.49667,0.47843,0.07747,0.0008284,0.0008284,0.0008284
28,4396.94,0.5869,0.47873,0.07846,0.67121,0.63791,0.67163,0.41185,0.49332,0.4563,0.07672,0.0008218,0.0008218,0.0008218
29,4553.51,0.58323,0.47866,0.07789,0.67264,0.63335,0.66225,0.40417,0.48972,0.48076,0.07922,0.0008152,0.0008152,0.0008152
30,4710.2,0.5856,0.48618,0.07927,0.66862,0.61385,0.64316,0.38536,0.49356,0.46925,0.07994,0.0008086,0.0008086,0.0008086
31,4866.93,0.58063,0.47513,0.07741,0.71097,0.64345,0.68903,0.41961,0.48554,0.45614,0.07618,0.000802,0.000802,0.000802
32,5022.79,0.58931,0.47603,0.07892,0.72728,0.65807,0.67595,0.4076,0.493,0.46829,0.07747,0.0007954,0.0007954,0.0007954
33,5174.52,0.59466,0.48388,0.08196,0.68454,0.63264,0.66246,0.40676,0.48816,0.48816,0.07793,0.0007888,0.0007888,0.0007888
34,5326.55,0.5961,0.49656,0.08058,0.73633,0.64938,0.706,0.42081,0.48459,0.46101,0.07656,0.0007822,0.0007822,0.0007822
35,5479.14,0.57782,0.47451,0.07583,0.77497,0.61154,0.68403,0.42734,0.47716,0.4567,0.07532,0.0007756,0.0007756,0.0007756
36,5630.99,0.56059,0.46652,0.07318,0.74244,0.65822,0.7079,0.43426,0.47169,0.45173,0.07326,0.000769,0.000769,0.000769
37,5783.52,0.55432,0.47135,0.07468,0.72247,0.65537,0.70367,0.43372,0.47935,0.45298,0.07392,0.0007624,0.0007624,0.0007624
38,5935.15,0.55751,0.46605,0.07329,0.76722,0.66651,0.71429,0.43897,0.47401,0.4451,0.07427,0.0007558,0.0007558,0.0007558
39,6087.45,0.55095,0.4683,0.07309,0.77532,0.67984,0.73196,0.45361,0.46713,0.44758,0.07234,0.0007492,0.0007492,0.0007492
40,6239.01,0.54404,0.46158,0.07137,0.77224,0.68118,0.73674,0.45211,0.46752,0.43911,0.0718,0.0007426,0.0007426,0.0007426
41,6390.43,0.54795,0.467,0.07155,0.75905,0.69451,0.74747,0.46233,0.4616,0.42885,0.07108,0.000736,0.000736,0.000736
42,6543.21,0.5479,0.46643,0.07134,0.78502,0.68932,0.73277,0.45587,0.46369,0.44171,0.06977,0.0007294,0.0007294,0.0007294
43,6694.78,0.53358,0.46081,0.06913,0.75717,0.71432,0.75979,0.47475,0.46496,0.43242,0.0697,0.0007228,0.0007228,0.0007228
44,6847.24,0.54634,0.45974,0.0694,0.75175,0.69885,0.73834,0.45261,0.46312,0.45689,0.07008,0.0007162,0.0007162,0.0007162
45,6999.2,0.53569,0.46108,0.07048,0.75138,0.69758,0.75752,0.47063,0.45789,0.43407,0.07063,0.0007096,0.0007096,0.0007096
46,7151.4,0.52924,0.45187,0.06717,0.78526,0.71531,0.76417,0.47724,0.45323,0.43695,0.06732,0.000703,0.000703,0.000703
47,7303.79,0.52586,0.44729,0.06611,0.78588,0.70455,0.76014,0.47701,0.45451,0.43145,0.06812,0.0006964,0.0006964,0.0006964
48,7455.6,0.52306,0.44671,0.06693,0.78757,0.72999,0.77529,0.47575,0.455,0.42568,0.06728,0.0006898,0.0006898,0.0006898
49,7608.38,0.51362,0.44344,0.06503,0.82161,0.7085,0.78384,0.49281,0.44768,0.41768,0.06624,0.0006832,0.0006832,0.0006832
