epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,203.232,1.96245,0.73123,0.87957,0.016,0.02547,0.00517,0.00092,1.44895,0.56639,0.51107,0.000332428,0.000332428,0.000332428
2,363.878,1.36082,0.47271,0.37539,0.74768,0.09481,0.05512,0.01908,1.2879,0.5336,0.43544,0.000661367,0.000661367,0.000661367
3,543.072,1.16294,0.56137,0.27917,0.76852,0.11695,0.09171,0.03679,0.88946,0.75171,0.21912,0.000985906,0.000985906,0.000985906
4,710.455,1.06836,0.59186,0.23306,0.58235,0.1779,0.12873,0.06066,0.83176,0.72259,0.18492,0.0009802,0.0009802,0.0009802
5,866.303,0.98232,0.60115,0.20213,0.36176,0.23583,0.188,0.08458,0.78523,0.68532,0.17158,0.0009736,0.0009736,0.0009736
6,1024.14,0.95529,0.59559,0.19669,0.49314,0.20182,0.19953,0.094,0.7562,0.71453,0.1586,0.000967,0.000967,0.000967
7,1180.47,0.906,0.58911,0.17603,0.44216,0.25067,0.25208,0.11435,0.73911,0.68697,0.15802,0.0009604,0.0009604,0.0009604
8,1336.7,0.91264,0.57441,0.17816,0.37267,0.34021,0.28022,0.14129,0.67873,0.63915,0.12998,0.0009538,0.0009538,0.0009538
9,1493.43,0.84216,0.56675,0.15037,0.36461,0.36298,0.31669,0.16374,0.68323,0.60061,0.13356,0.0009472,0.0009472,0.0009472
10,1649.72,0.81092,0.54938,0.13923,0.48086,0.35056,0.32013,0.16468,0.68323,0.60252,0.13412,0.0009406,0.0009406,0.0009406
11,1805.34,0.78985,0.55501,0.13635,0.43296,0.40482,0.35207,0.19527,0.63481,0.60877,0.11035,0.000934,0.000934,0.000934
12,1961.75,0.78226,0.5544,0.13064,0.4552,0.38751,0.36337,0.19477,0.63706,0.61346,0.11472,0.0009274,0.0009274,0.0009274
13,2117.73,0.74688,0.54541,0.11955,0.43544,0.4341,0.38529,0.21748,0.61153,0.58809,0.11006,0.0009208,0.0009208,0.0009208
14,2273.78,0.72766,0.5445,0.11588,0.52808,0.41897,0.41681,0.22683,0.62974,0.56648,0.11899,0.0009142,0.0009142,0.0009142
15,2429.72,0.71741,0.54668,0.11536,0.53993,0.46423,0.45908,0.24885,0.59928,0.55238,0.10851,0.0009076,0.0009076,0.0009076
16,2585.49,0.69663,0.53169,0.10867,0.53641,0.45164,0.46177,0.27572,0.57179,0.54641,0.09719,0.000901,0.000901,0.000901
17,2741.54,0.68463,0.52945,0.10462,0.53382,0.50106,0.48874,0.28151,0.57574,0.53149,0.10067,0.0008944,0.0008944,0.0008944
18,2897.02,0.67632,0.51603,0.10171,0.55389,0.50797,0.50999,0.29765,0.55963,0.52923,0.10047,0.0008878,0.0008878,0.0008878
19,3053.26,0.66034,0.51417,0.09809,0.57939,0.51573,0.52635,0.30405,0.54932,0.51945,0.09514,0.0008812,0.0008812,0.0008812
20,3208.72,0.6625,0.51203,0.09706,0.61753,0.5301,0.54965,0.3251,0.55097,0.50114,0.09186,0.0008746,0.0008746,0.0008746
21,3364.85,0.65241,0.50636,0.09476,0.58379,0.49918,0.51324,0.28835,0.57538,0.51996,0.10121,0.000868,0.000868,0.000868
22,3520.42,0.63216,0.50883,0.09193,0.64853,0.52871,0.56269,0.32752,0.5287,0.51649,0.08983,0.0008614,0.0008614,0.0008614
23,3676.51,0.62098,0.5034,0.08945,0.67025,0.5556,0.59573,0.34572,0.5126,0.48968,0.08334,0.0008548,0.0008548,0.0008548
24,3832.27,0.62083,0.49736,0.08994,0.64687,0.57025,0.59868,0.34506,0.51872,0.48804,0.08917,0.0008482,0.0008482,0.0008482
25,3987.64,0.61146,0.49555,0.08796,0.68015,0.59806,0.62436,0.36682,0.51452,0.48632,0.08608,0.0008416,0.0008416,0.0008416
26,4143.97,0.59398,0.49005,0.08445,0.68233,0.54061,0.59741,0.33908,0.52085,0.4955,0.08564,0.000835,0.000835,0.000835
27,4299.41,0.59554,0.4855,0.08415,0.6718,0.59379,0.6293,0.37417,0.50756,0.47872,0.08258,0.0008284,0.0008284,0.0008284
28,4455.87,0.60032,0.48805,0.08328,0.68928,0.62195,0.65145,0.38517,0.49766,0.47185,0.07955,0.0008218,0.0008218,0.0008218
29,4611.48,0.59111,0.48508,0.08163,0.74252,0.59914,0.66642,0.3914,0.49331,0.45976,0.07924,0.0008152,0.0008152,0.0008152
30,4767.91,0.5787,0.47877,0.07785,0.71521,0.60047,0.64028,0.39644,0.49297,0.45868,0.07972,0.0008086,0.0008086,0.0008086
31,4923.86,0.57846,0.47879,0.0783,0.68421,0.57549,0.61582,0.37395,0.50709,0.46749,0.08597,0.000802,0.000802,0.000802
32,5079.57,0.58459,0.47759,0.08026,0.71317,0.64945,0.69142,0.42428,0.47684,0.45932,0.07585,0.0007954,0.0007954,0.0007954
33,5235.91,0.56804,0.47379,0.07728,0.67127,0.62134,0.65427,0.40278,0.48985,0.46077,0.07902,0.0007888,0.0007888,0.0007888
34,5391.33,0.56247,0.46832,0.07402,0.72053,0.63152,0.68235,0.42171,0.47497,0.45103,0.07708,0.0007822,0.0007822,0.0007822
35,5547.69,0.56145,0.46199,0.07281,0.75366,0.63699,0.69454,0.43193,0.47556,0.44796,0.07518,0.0007756,0.0007756,0.0007756
