epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,219.47,2.05514,0.6827,0.86706,0.34827,0.04052,0.00583,0.0013,1.42859,0.46158,0.50709,0.000332428,0.000332428,0.000332428
2,732.48,1.41796,0.4569,0.39588,0.74311,0.08619,0.05212,0.01831,1.02901,0.66969,0.29276,0.000661367,0.000661367,0.000661367
3,1493.53,1.17902,0.56701,0.28333,0.63841,0.12459,0.09193,0.03888,0.90568,0.71645,0.21927,0.000985906,0.000985906,0.000985906
4,1887.89,1.08502,0.58757,0.24046,0.47555,0.17582,0.11258,0.05066,0.8609,0.7136,0.19214,0.0009802,0.0009802,0.0009802
5,2583.32,1.04597,0.58975,0.22576,0.52337,0.20536,0.16096,0.07608,0.82322,0.74544,0.18026,0.0009736,0.0009736,0.0009736
6,3006.99,0.98977,0.58821,0.20228,0.28681,0.29663,0.20264,0.08993,0.78396,0.69504,0.16425,0.000967,0.000967,0.000967
7,3538.87,0.95355,0.58452,0.19335,0.35212,0.29211,0.2441,0.10598,0.74355,0.70159,0.14973,0.0009604,0.0009604,0.0009604
8,3830.17,0.89747,0.59235,0.16962,0.52174,0.26443,0.26874,0.12956,0.70609,0.65275,0.1342,0.0009538,0.0009538,0.0009538
9,4206.95,0.87037,0.56221,0.15966,0.42,0.36288,0.32823,0.1656,0.67278,0.62844,0.12782,0.0009472,0.0009472,0.0009472
10,4476.22,0.83427,0.55031,0.14851,0.45472,0.38976,0.36902,0.18598,0.65402,0.60012,0.127,0.0009406,0.0009406,0.0009406
11,4755.91,0.79994,0.56078,0.14076,0.48785,0.40541,0.40241,0.20974,0.62554,0.59371,0.12008,0.000934,0.000934,0.000934
12,5076.45,0.77629,0.54822,0.13503,0.44107,0.40204,0.34932,0.18839,0.63711,0.60481,0.12067,0.0009274,0.0009274,0.0009274
13,5329.16,0.75443,0.54197,0.12617,0.51086,0.42977,0.4271,0.21594,0.62383,0.57412,0.11763,0.0009208,0.0009208,0.0009208
14,5545.09,0.74182,0.55927,0.12322,0.55505,0.41785,0.4444,0.22663,nan,nan,nan,0.0009142,0.0009142,0.0009142
15,5797.93,0.69863,0.54425,0.11378,0.54475,0.46444,0.46442,0.26891,nan,nan,nan,0.0009076,0.0009076,0.0009076
16,6037.96,0.67444,0.53778,0.10802,0.56241,0.48845,0.4853,0.27173,0.56542,0.54491,0.10347,0.000901,0.000901,0.000901
17,6292.35,0.67642,0.53581,0.10749,0.58752,0.48062,0.50183,0.2822,nan,nan,nan,0.0008944,0.0008944,0.0008944
18,6507.96,0.66416,0.53536,0.10355,0.60729,0.4937,0.51157,0.2969,0.55003,0.55031,0.09971,0.0008878,0.0008878,0.0008878
19,6739.85,0.6402,0.53937,0.09842,0.61327,0.52102,0.55533,0.31325,0.52795,0.53396,0.09282,0.0008812,0.0008812,0.0008812
20,6990.53,0.6415,0.52864,0.09822,0.6226,0.54561,0.57397,0.33731,nan,nan,nan,0.0008746,0.0008746,0.0008746
21,7242.06,0.62621,0.51103,0.09206,0.67053,0.5698,0.59373,0.34819,0.50246,0.50882,0.08738,0.000868,0.000868,0.000868
22,7457.75,0.60619,0.51594,0.09069,0.66244,0.59026,0.60932,0.36021,0.50156,0.50666,0.0888,0.0008614,0.0008614,0.0008614
23,7727.95,0.5986,0.5136,0.0888,0.66009,0.59558,0.63713,0.38498,0.48699,0.49244,0.08101,0.0008548,0.0008548,0.0008548
24,7969.27,0.5947,0.51344,0.08723,0.63311,0.57906,0.60223,0.35632,0.5034,0.4996,0.09064,0.0008482,0.0008482,0.0008482
25,8216.45,0.59961,0.5065,0.08942,0.6692,0.60535,0.62371,0.35657,nan,nan,nan,0.0008416,0.0008416,0.0008416
26,8431.15,0.59087,0.51386,0.08998,0.63556,0.56053,0.5937,0.35466,0.50821,0.51938,0.09281,0.000835,0.000835,0.000835
27,8678.94,0.5748,0.50045,0.0836,0.69667,0.60844,0.64119,0.37971,nan,nan,nan,0.0008284,0.0008284,0.0008284
