epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,333.642,1.79646,0.662,0.67772,0.72209,0.06457,0.03144,0.01001,1.09585,0.67042,0.32848,0.00033288,0.00033288,0.00033288
2,3441.29,1.2173,0.54631,0.32447,0.76175,0.09582,0.07164,0.02992,0.95176,0.70038,0.26086,0.000661816,0.000661816,0.000661816
3,6495.7,1.08719,0.60686,0.2679,0.73462,0.13554,0.12028,0.05646,0.83597,0.74727,0.21614,0.000986352,0.000986352,0.000986352
4,7851.65,0.98585,0.61643,0.21714,0.45429,0.22201,0.18952,0.08239,0.78765,0.7079,0.18195,0.0009802,0.0009802,0.0009802
5,9359.42,0.92528,0.60832,0.20143,0.43831,0.27008,0.23369,0.11497,0.71851,0.67902,0.1579,0.0009736,0.0009736,0.0009736
6,10705.6,0.87364,0.60727,0.175,0.50823,0.27016,0.28125,0.13778,0.68313,0.67822,0.14689,0.000967,0.000967,0.000967
7,12156.2,0.8322,0.60072,0.1645,0.32844,0.4022,0.30727,0.16222,0.63328,0.65369,0.1316,0.0009604,0.0009604,0.0009604
8,13528.7,0.79151,0.58669,0.14899,0.437,0.38835,0.35221,0.19042,0.61705,0.62817,0.11952,0.0009538,0.0009538,0.0009538
9,14922.5,0.76437,0.5711,0.13798,0.44605,0.38283,0.35648,0.198,0.59798,0.63744,0.11647,0.0009472,0.0009472,0.0009472
10,16184.6,0.73655,0.57923,0.12982,0.49715,0.43605,0.42294,0.23838,0.56415,0.58482,0.10874,0.0009406,0.0009406,0.0009406
11,17638.9,0.71274,0.579,0.12537,0.5206,0.43846,0.43549,0.24264,0.55995,0.59189,0.10583,0.000934,0.000934,0.000934
12,18991.4,0.69998,0.57802,0.12251,0.51503,0.41938,0.40561,0.22701,0.56986,0.5945,0.1087,0.0009274,0.0009274,0.0009274
13,20353.5,0.69138,0.56511,0.1178,0.50129,0.50587,0.48163,0.2728,0.53886,0.58158,0.09982,0.0009208,0.0009208,0.0009208
14,21662.2,0.66359,0.57672,0.11245,0.53928,0.48133,0.47991,0.27395,0.53747,0.56658,0.0988,0.0009142,0.0009142,0.0009142
15,23100.1,0.63524,0.55968,0.10544,0.53002,0.48725,0.49752,0.29147,0.51953,0.55025,0.09219,0.0009076,0.0009076,0.0009076
16,24405,0.61487,0.54488,0.09894,0.5628,0.52005,0.52985,0.3147,0.49887,0.54095,0.08603,0.000901,0.000901,0.000901
17,25748,0.60421,0.54191,0.09705,0.53833,0.56355,0.56014,0.33709,0.49957,0.53153,0.08764,0.0008944,0.0008944,0.0008944
18,27031.1,0.61871,0.55472,0.10156,0.5365,0.52266,0.49283,0.28798,0.5114,0.5724,0.09082,0.0008878,0.0008878,0.0008878
19,28443.6,0.59913,0.54025,0.09457,0.63489,0.55287,0.59229,0.35199,0.48251,0.51408,0.08466,0.0008812,0.0008812,0.0008812
20,29758.4,0.58449,0.53586,0.09125,0.61927,0.55908,0.59313,0.35989,0.48265,0.52244,0.08618,0.0008746,0.0008746,0.0008746
21,31141.8,0.57944,0.52912,0.09,0.62959,0.59371,0.61539,0.37108,0.47879,0.50291,0.08122,0.000868,0.000868,0.000868
22,32445.8,0.57776,0.52759,0.0911,0.66234,0.57986,0.60084,0.35801,0.47956,0.50316,0.08181,0.0008614,0.0008614,0.0008614
23,33799.7,0.5682,0.52201,0.0893,0.63769,0.59348,0.62617,0.38586,0.46356,0.49355,0.07831,0.0008548,0.0008548,0.0008548
24,35124.2,0.54746,0.50781,0.08297,0.66377,0.63193,0.65501,0.40706,0.46005,0.47232,0.07642,0.0008482,0.0008482,0.0008482
25,36472.2,0.55396,0.50786,0.08488,0.65002,0.61384,0.62226,0.38669,0.4647,0.4986,0.07872,0.0008416,0.0008416,0.0008416
26,37780.8,0.54668,0.51432,0.08282,0.63238,0.6161,0.63949,0.40087,0.45419,0.5051,0.0759,0.000835,0.000835,0.000835
27,39203.6,0.55372,0.51232,0.08392,0.67811,0.63318,0.6762,0.40852,0.46328,0.47603,0.07658,0.0008284,0.0008284,0.0008284
