epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,244.521,1.98977,0.64012,0.81829,0.68619,0.0221,0.00837,0.00211,1.58473,0.4076,0.61095,0.00033288,0.00033288,0.00033288
2,484.27,1.61439,0.38362,0.53709,0.82035,0.049,0.0369,0.01402,1.24103,0.58031,0.40048,0.000661816,0.000661816,0.000661816
3,720.332,1.2665,0.53145,0.34241,0.41866,0.09612,0.07008,0.02985,0.95886,0.70014,0.25766,0.000986352,0.000986352,0.000986352
4,960.53,1.11454,0.59562,0.26992,0.48302,0.15065,0.10596,0.05048,0.84659,0.73428,0.21892,0.0009802,0.0009802,0.0009802
5,1192.97,1.04159,0.60272,0.24748,0.5252,0.20501,0.15351,0.07585,0.78789,0.70453,0.18919,0.0009736,0.0009736,0.0009736
6,1426.02,0.97849,0.60622,0.22003,0.35701,0.24215,0.17848,0.08801,0.76534,0.78843,0.1773,0.000967,0.000967,0.000967
7,1661.07,0.9448,0.59993,0.20631,0.32628,0.27675,0.23146,0.11506,0.70539,0.71306,0.15857,0.0009604,0.0009604,0.0009604
8,1901.33,0.90454,0.59603,0.19017,0.47984,0.29745,0.28383,0.13947,0.69794,0.66325,0.14559,0.0009538,0.0009538,0.0009538
9,2141.12,0.86747,0.5968,0.1711,0.41233,0.29255,0.25384,0.12774,0.70189,0.67101,0.1522,0.0009472,0.0009472,0.0009472
10,2383.88,0.84629,0.58361,0.16345,0.4492,0.35717,0.31579,0.16919,0.65512,0.62094,0.13335,0.0009406,0.0009406,0.0009406
11,2623.13,0.81814,0.59349,0.15654,0.40276,0.35486,0.31127,0.16823,0.65592,0.66031,0.1369,0.000934,0.000934,0.000934
12,2866.01,0.80173,0.59409,0.14993,0.42018,0.40156,0.33148,0.18333,0.62649,0.66005,0.12533,0.0009274,0.0009274,0.0009274
