epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,269.945,1.79286,0.60203,0.68886,0.71768,0.0647,0.02703,0.00812,1.12168,0.6273,0.35745,0.00033288,0.00033288,0.00033288
2,506.229,1.19442,0.56231,0.3149,0.76605,0.10968,0.07721,0.03313,nan,nan,nan,0.000661816,0.000661816,0.000661816
3,739.684,1.09843,0.5867,0.26722,0.77317,0.12856,0.11029,0.05069,nan,nan,nan,0.000986352,0.000986352,0.000986352
4,977.175,0.99341,0.59622,0.21709,0.46163,0.20926,0.17496,0.08621,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,1213.98,0.90474,0.62282,0.19262,0.46321,0.23807,0.23257,0.11291,0.80483,0.65249,0.2218,0.0009736,0.0009736,0.0009736
6,1447.32,0.88513,0.60216,0.18169,0.49185,0.26963,0.23584,0.12052,0.66352,0.70327,0.14481,0.000967,0.000967,0.000967
7,1680.02,0.84934,0.59087,0.16956,0.36547,0.33632,0.26735,0.13556,0.69433,0.65924,0.15101,0.0009604,0.0009604,0.0009604
8,1912.86,0.8221,0.5963,0.16101,0.4062,0.33375,0.31321,0.1641,0.64628,0.6315,0.13082,0.0009538,0.0009538,0.0009538
9,2146.39,0.78892,0.59006,0.14437,0.48373,0.32135,0.30564,0.15911,0.67469,0.61952,0.14463,0.0009472,0.0009472,0.0009472
10,2378.9,0.77625,0.60468,0.1411,0.42314,0.41514,0.36476,0.19792,0.59919,0.63536,0.11722,0.0009406,0.0009406,0.0009406
11,2612,0.73212,0.58094,0.12831,0.45101,0.42395,0.39517,0.22108,0.58273,0.59679,0.11342,0.000934,0.000934,0.000934
12,2845.2,0.70817,0.56998,0.12289,0.52997,0.45792,0.45665,0.25669,0.56265,0.57147,0.0996,0.0009274,0.0009274,0.0009274
13,3080.93,0.68148,0.55716,0.11284,0.56571,0.4609,0.4648,0.26818,0.53151,0.56789,0.09324,0.0009208,0.0009208,0.0009208
14,3317.27,0.64982,0.56087,0.10514,0.53629,0.52217,0.50586,0.29772,0.52001,0.54034,0.0943,0.0009142,0.0009142,0.0009142
15,3550.38,0.64602,0.55663,0.10487,0.54253,0.4799,0.48503,0.28082,0.53779,0.55072,0.09448,0.0009076,0.0009076,0.0009076
16,3783.54,0.63368,0.56195,0.10099,0.52373,0.51096,0.48373,0.27625,0.52642,0.57787,0.09737,0.000901,0.000901,0.000901
17,4016.73,0.63069,0.55461,0.10188,0.59425,0.54118,0.56161,0.33717,0.50549,0.52671,0.08785,0.0008944,0.0008944,0.0008944
18,4249.48,0.61866,0.53609,0.09755,0.60365,0.51624,0.54363,0.32702,0.50643,0.52043,0.08742,0.0008878,0.0008878,0.0008878
19,4482.59,0.60637,0.52841,0.09423,0.65665,0.55714,0.5936,0.35342,0.48983,0.52329,0.08416,0.0008812,0.0008812,0.0008812
20,4718.24,0.58656,0.52773,0.0892,0.64834,0.54054,0.57882,0.35325,0.48415,0.51935,0.08249,0.0008746,0.0008746,0.0008746
21,4958.8,0.59019,0.52509,0.09021,0.701,0.57582,0.62567,0.36385,0.48035,0.50225,0.07862,0.000868,0.000868,0.000868
22,5192.16,0.57302,0.52796,0.08565,0.65858,0.59094,0.62204,0.37649,0.47364,0.49157,0.08006,0.0008614,0.0008614,0.0008614
23,5428.11,0.57331,0.5181,0.08833,0.68581,0.58211,0.64099,0.38669,0.47168,0.50501,0.07761,0.0008548,0.0008548,0.0008548
24,5663.89,0.5576,0.50701,0.08322,0.65035,0.58523,0.62318,0.38781,0.46555,0.50732,0.07656,0.0008482,0.0008482,0.0008482
25,5897.19,0.56119,0.50682,0.08482,0.69185,0.6191,0.66424,0.40499,0.46297,0.49048,0.07691,0.0008416,0.0008416,0.0008416
26,6133.08,0.55361,0.51724,0.08301,0.68936,0.64201,0.67436,0.40895,0.4662,0.4757,0.07651,0.000835,0.000835,0.000835
27,6369.9,0.55393,0.49925,0.08217,0.74619,0.64084,0.69583,0.42116,0.45778,0.47661,0.07491,0.0008284,0.0008284,0.0008284
28,6603.07,0.54604,0.49516,0.07813,0.67885,0.66665,0.68335,0.4329,0.4436,0.47429,0.07055,0.0008218,0.0008218,0.0008218
29,6836.02,0.52843,0.48007,0.07557,0.71813,0.67743,0.70706,0.43903,0.44642,0.46,0.07316,0.0008152,0.0008152,0.0008152
30,7068.19,0.53001,0.47919,0.07457,0.72865,0.68656,0.71976,0.44911,0.43926,0.46299,0.07129,0.0008086,0.0008086,0.0008086
31,7300.68,0.53673,0.48346,0.07773,0.71471,0.67189,0.71279,0.4517,0.43934,0.45708,0.06997,0.000802,0.000802,0.000802
32,7533.78,0.53718,0.48404,0.07504,0.73624,0.68349,0.7207,0.45243,0.44057,0.46085,0.07187,0.0007954,0.0007954,0.0007954
33,7766.83,0.51997,0.4845,0.07482,0.76111,0.68651,0.72608,0.46389,0.43577,0.4483,0.06957,0.0007888,0.0007888,0.0007888
34,8001.88,0.51873,0.48006,0.07292,0.76639,0.67266,0.74489,0.46384,0.431,0.45357,0.06836,0.0007822,0.0007822,0.0007822
35,8234.93,0.51614,0.47226,0.07181,0.77686,0.68348,0.73651,0.46462,0.43283,0.44988,0.07135,0.0007756,0.0007756,0.0007756
36,8467.89,0.50774,0.47337,0.07168,0.78446,0.69103,0.75822,0.47656,0.42287,0.45132,0.06712,0.000769,0.000769,0.000769
37,8707.86,0.50167,0.47039,0.07138,0.75323,0.72011,0.75426,0.48005,0.43067,0.44643,0.07032,0.0007624,0.0007624,0.0007624
38,8943.5,0.51499,0.47751,0.07394,0.78784,0.709,0.76675,0.48274,0.42616,0.44146,0.0664,0.0007558,0.0007558,0.0007558
39,9180.12,0.49201,0.46515,0.06878,0.77093,0.70929,0.75758,0.4826,0.42752,0.43857,0.06916,0.0007492,0.0007492,0.0007492
40,9413.99,0.48819,0.45294,0.06744,0.76235,0.72859,0.75627,0.48131,0.41346,0.44172,0.06496,0.0007426,0.0007426,0.0007426
41,9646.85,0.51276,0.48311,0.07095,0.77579,0.74102,0.76183,0.48469,0.41844,0.45894,0.06732,0.000736,0.000736,0.000736
42,9880.31,0.49654,0.46506,0.06881,0.78691,0.7252,0.77045,0.49326,0.41723,0.43481,0.06676,0.0007294,0.0007294,0.0007294
43,10113.9,0.48026,0.45255,0.06482,0.81201,0.73174,0.78421,0.50269,0.41247,0.4251,0.06525,0.0007228,0.0007228,0.0007228
44,10346.9,0.47701,0.44996,0.06461,0.80768,0.74876,0.784,0.50068,0.41073,0.43245,0.06416,0.0007162,0.0007162,0.0007162
45,10580.2,0.47693,0.44983,0.06625,0.8061,0.75094,0.80061,0.51122,0.41194,0.4265,0.06471,0.0007096,0.0007096,0.0007096
46,10813.6,0.47693,0.45276,0.06543,0.78852,0.7544,0.79592,0.50495,0.40928,0.42497,0.06395,0.000703,0.000703,0.000703
47,11046.7,0.48145,0.44969,0.06336,0.8189,0.74688,0.79631,0.51268,0.40822,0.41852,0.06439,0.0006964,0.0006964,0.0006964
48,11280,0.47784,0.4541,0.06591,0.83523,0.74237,0.80476,0.51467,0.41415,0.42365,0.06504,0.0006898,0.0006898,0.0006898
49,11513.4,0.48127,0.446,0.06496,0.78887,0.72824,0.79267,0.51004,0.41374,0.42643,0.0658,0.0006832,0.0006832,0.0006832
50,11747.2,0.4675,0.44553,0.0628,0.81611,0.75179,0.8,0.51496,0.41079,0.42036,0.06386,0.0006766,0.0006766,0.0006766
51,11980.2,0.46407,0.43808,0.06223,0.83953,0.78066,0.82367,0.53639,0.39723,0.41399,0.06234,0.00067,0.00067,0.00067
52,12213.7,0.45994,0.4345,0.06115,0.81185,0.78028,0.81582,0.53104,0.3995,0.42304,0.06185,0.0006634,0.0006634,0.0006634
53,12447.1,0.47162,0.44388,0.06371,0.79813,0.76868,0.79669,0.51521,0.40411,0.42069,0.06329,0.0006568,0.0006568,0.0006568
54,12680.2,0.46884,0.44258,0.06334,0.79187,0.75262,0.79925,0.5063,0.40282,0.42252,0.06416,0.0006502,0.0006502,0.0006502
55,12913.4,0.47024,0.44438,0.0655,0.82661,0.7581,0.81635,0.52499,0.40138,0.4154,0.0632,0.0006436,0.0006436,0.0006436
56,13146.7,0.46309,0.44318,0.06395,0.82673,0.77466,0.81999,0.53071,0.39702,0.4129,0.06282,0.000637,0.000637,0.000637
57,13379.8,0.45492,0.43579,0.05919,0.82275,0.78255,0.81809,0.53832,0.39704,0.41477,0.06111,0.0006304,0.0006304,0.0006304
58,13612.5,0.45188,0.43165,0.05898,0.82421,0.78139,0.82676,0.53967,0.391,0.41087,0.06029,0.0006238,0.0006238,0.0006238
59,13845.7,0.44342,0.42876,0.06039,0.81385,0.79735,0.83507,0.54137,0.39373,0.40888,0.06103,0.0006172,0.0006172,0.0006172
60,14078.8,0.44998,0.43294,0.0594,0.83232,0.76423,0.83185,0.54219,0.38921,0.41738,0.05964,0.0006106,0.0006106,0.0006106
61,14311.8,0.44455,0.42998,0.05794,0.83664,0.79236,0.83554,0.54881,0.38891,0.40539,0.05848,0.000604,0.000604,0.000604
62,14545.2,0.45179,0.43535,0.06135,0.83376,0.78262,0.82857,0.54171,nan,nan,nan,0.0005974,0.0005974,0.0005974
63,14778.4,0.44119,0.42765,0.05832,0.83818,0.78881,0.83523,0.55149,0.38866,0.40574,0.05971,0.0005908,0.0005908,0.0005908
64,15011.8,0.44324,0.42478,0.05831,0.83943,0.78143,0.83813,0.55491,0.39049,0.40618,0.0598,0.0005842,0.0005842,0.0005842
65,15245.2,0.43836,0.42386,0.05703,0.83978,0.78524,0.83965,0.55595,0.3857,0.4052,0.05812,0.0005776,0.0005776,0.0005776
66,15478.4,0.44069,0.42137,0.05606,0.83437,0.81839,0.84572,0.55573,0.38286,0.40449,0.05789,0.000571,0.000571,0.000571
67,15711.2,0.43689,0.42536,0.0561,0.84446,0.79089,0.84025,0.54981,0.38434,0.4089,0.05818,0.0005644,0.0005644,0.0005644
68,15944.3,0.4349,0.42178,0.05738,0.81861,0.80292,0.82526,0.54883,0.38047,0.41184,0.05776,0.0005578,0.0005578,0.0005578
69,16177.4,0.4363,0.42259,0.05517,0.82764,0.82405,0.846,0.56063,0.38426,0.40806,0.05784,0.0005512,0.0005512,0.0005512
70,16410.8,0.43039,0.42155,0.05567,0.84491,0.81798,0.84474,0.5572,0.38162,0.40089,0.05789,0.0005446,0.0005446,0.0005446
71,16644.4,0.43082,0.41787,0.05588,0.86013,0.79986,0.84794,0.55734,0.3845,0.4048,0.05868,0.000538,0.000538,0.000538
72,16877.6,0.42732,0.42411,0.05663,0.8575,0.79599,0.83953,0.55133,0.38234,0.40841,0.05839,0.0005314,0.0005314,0.0005314
73,17110.6,0.43791,0.42424,0.05668,0.82449,0.81486,0.84987,0.56202,0.3839,0.40554,0.05885,0.0005248,0.0005248,0.0005248
74,17343.9,0.42795,0.42073,0.05651,0.85552,0.81879,0.85652,0.56335,0.37945,0.39836,0.05656,0.0005182,0.0005182,0.0005182
75,17577,0.43075,0.41791,0.0559,0.84287,0.80868,0.84439,0.56462,0.382,0.40212,0.05686,0.0005116,0.0005116,0.0005116
76,17810.3,0.4276,0.41456,0.05592,0.84529,0.7951,0.83735,0.55868,0.37694,0.40011,0.05686,0.000505,0.000505,0.000505
77,18043.7,0.4224,0.41392,0.05544,0.83242,0.81599,0.85166,0.56703,0.37743,0.39788,0.05725,0.0004984,0.0004984,0.0004984
78,18276.8,0.41994,0.41032,0.05393,0.82952,0.82781,0.8534,0.56189,0.37878,0.39891,0.05877,0.0004918,0.0004918,0.0004918
79,18510.1,0.41824,0.41103,0.05305,0.87522,0.80604,0.85606,0.56346,0.3786,0.39974,0.05765,0.0004852,0.0004852,0.0004852
80,18743.3,0.41514,0.41054,0.05268,0.84096,0.82572,0.85788,0.56843,0.37535,0.39678,0.05554,0.0004786,0.0004786,0.0004786
81,18976.8,0.41783,0.41202,0.05233,0.87803,0.82425,0.86406,0.57674,0.37202,0.39642,0.05628,0.000472,0.000472,0.000472
82,19210.1,0.41188,0.40695,0.05245,0.87717,0.82391,0.86146,0.57464,0.37497,0.39624,0.056,0.0004654,0.0004654,0.0004654
83,19443.6,0.417,0.40923,0.05383,0.86773,0.80577,0.85674,0.57134,0.3735,0.3974,0.05479,0.0004588,0.0004588,0.0004588
84,19676.9,0.40823,0.40747,0.05286,0.86424,0.81839,0.86151,0.57683,0.37218,0.39846,0.05487,0.0004522,0.0004522,0.0004522
85,19910.1,0.41494,0.40951,0.05285,0.87226,0.80968,0.86183,0.57635,0.37213,0.39668,0.05441,0.0004456,0.0004456,0.0004456
86,20143.2,0.40774,0.4015,0.05116,0.84111,0.82688,0.85745,0.57025,0.37217,0.39452,0.05708,0.000439,0.000439,0.000439
87,20376.2,0.41127,0.40318,0.05133,0.85469,0.82857,0.85624,0.57466,0.37097,0.39446,0.05583,0.0004324,0.0004324,0.0004324
88,20609.5,0.41152,0.40542,0.05184,0.88441,0.80715,0.85778,0.57186,0.37502,0.39614,0.0558,0.0004258,0.0004258,0.0004258
89,20842.7,0.41078,0.40628,0.05289,0.8849,0.81415,0.8788,0.58333,0.36869,0.39533,0.05548,0.0004192,0.0004192,0.0004192
90,21075.8,0.40738,0.40014,0.05094,0.84826,0.82205,0.85926,0.58098,0.3682,0.39363,0.05437,0.0004126,0.0004126,0.0004126
91,21308.8,0.40617,0.3988,0.05077,0.86763,0.81807,0.86392,0.58335,0.36755,0.39332,0.05421,0.000406,0.000406,0.000406
92,21541.9,0.39917,0.39814,0.05012,0.87941,0.81272,0.86779,0.5836,0.3712,0.3897,0.05544,0.0003994,0.0003994,0.0003994
93,21775.1,0.3929,0.39359,0.05059,0.8642,0.826,0.86847,0.5819,0.36861,0.39235,0.05444,0.0003928,0.0003928,0.0003928
94,22008.1,0.403,0.39881,0.04983,0.87424,0.82216,0.86255,0.57895,0.36754,0.3937,0.0542,0.0003862,0.0003862,0.0003862
95,22240.8,0.40034,0.39689,0.04916,0.84658,0.84538,0.87089,0.58695,0.36889,0.38826,0.05538,0.0003796,0.0003796,0.0003796
96,22474.3,0.3968,0.39433,0.04821,0.85505,0.84478,0.87141,0.58327,0.3652,0.39254,0.05355,0.000373,0.000373,0.000373
97,22707.4,0.40031,0.3982,0.04983,0.88236,0.81782,0.86336,0.58042,0.36723,0.3913,0.05395,0.0003664,0.0003664,0.0003664
98,22940.8,0.38915,0.39361,0.04908,0.84698,0.84328,0.86611,0.5815,0.36525,0.3907,0.05391,0.0003598,0.0003598,0.0003598
99,23174.5,0.39018,0.39419,0.04808,0.85597,0.8172,0.85766,0.58045,0.36559,0.39234,0.0545,0.0003532,0.0003532,0.0003532
100,23407.7,0.39954,0.39559,0.04987,0.8529,0.83791,0.86298,0.58295,0.36567,0.39175,0.05416,0.0003466,0.0003466,0.0003466
101,23640.2,0.39278,0.39552,0.04917,0.87741,0.81422,0.86714,0.58475,0.36836,0.38956,0.05539,0.00034,0.00034,0.00034
102,23873.3,0.38983,0.39223,0.0485,0.86396,0.82632,0.86798,0.59034,0.36269,0.39242,0.05382,0.0003334,0.0003334,0.0003334
103,24106.4,0.38932,0.39144,0.04818,0.88008,0.81577,0.8734,0.5973,0.36221,0.38706,0.05337,0.0003268,0.0003268,0.0003268
104,24340.9,0.39015,0.38935,0.04849,0.88096,0.82381,0.87465,0.59319,0.36323,0.39038,0.05412,0.0003202,0.0003202,0.0003202
105,24574.3,0.38657,0.38764,0.0465,0.87118,0.83831,0.87104,0.58698,0.3628,0.38999,0.05422,0.0003136,0.0003136,0.0003136
106,24807.5,0.38401,0.38923,0.04682,0.87133,0.8423,0.87151,0.58645,0.36082,0.38741,0.0529,0.000307,0.000307,0.000307
107,25040.8,0.38214,0.39223,0.04825,0.86156,0.83535,0.87573,0.59109,0.36334,0.38862,0.05366,0.0003004,0.0003004,0.0003004
108,25274.3,0.38542,0.38869,0.04761,0.87395,0.83302,0.87516,0.59269,0.36378,0.38475,0.05404,0.0002938,0.0002938,0.0002938
109,25507.6,0.38257,0.38627,0.04684,0.87318,0.84409,0.87779,0.59232,0.36062,0.38604,0.05327,0.0002872,0.0002872,0.0002872
110,25740.5,0.38144,0.38795,0.04747,0.88343,0.83709,0.87586,0.5914,0.36276,0.38565,0.05306,0.0002806,0.0002806,0.0002806
111,25973.6,0.38257,0.38771,0.04679,0.85943,0.84105,0.87754,0.5931,0.3606,0.38779,0.05248,0.000274,0.000274,0.000274
112,26206.8,0.38291,0.38652,0.04617,0.86804,0.84507,0.88659,0.59567,0.35905,0.3857,0.05293,0.0002674,0.0002674,0.0002674
113,26440.1,0.38013,0.38531,0.04525,0.88205,0.84119,0.87711,0.59297,0.36363,0.38726,0.0538,0.0002608,0.0002608,0.0002608
114,26673.6,0.3809,0.38517,0.0458,0.87064,0.8334,0.87045,0.58902,0.3612,0.38593,0.05332,0.0002542,0.0002542,0.0002542
115,26907,0.37516,0.38267,0.04534,0.866,0.84029,0.87295,0.59188,0.36126,0.38397,0.05415,0.0002476,0.0002476,0.0002476
116,27140.3,0.37998,0.38702,0.04536,0.87816,0.83211,0.86981,0.58796,0.36078,0.38822,0.05344,0.000241,0.000241,0.000241
117,27374,0.37169,0.38299,0.04611,0.86132,0.84234,0.87224,0.59391,0.35937,0.38764,0.05293,0.0002344,0.0002344,0.0002344
118,27607.2,0.37581,0.38203,0.04486,0.8835,0.83989,0.88334,0.59686,0.35778,0.38432,0.05326,0.0002278,0.0002278,0.0002278
119,27840.4,0.36619,0.37967,0.04588,0.8815,0.83978,0.88283,0.60088,0.35791,0.38365,0.0538,0.0002212,0.0002212,0.0002212
120,28073.9,0.37008,0.38037,0.04426,0.88963,0.85048,0.88455,0.59865,0.35946,0.38391,0.05382,0.0002146,0.0002146,0.0002146
121,28307.1,0.36577,0.37761,0.04622,0.89729,0.85061,0.88465,0.59803,0.35858,0.38236,0.05308,0.000208,0.000208,0.000208
122,28540.3,0.37301,0.38131,0.04613,0.87719,0.84517,0.88044,0.59825,0.35862,0.38441,0.05367,0.0002014,0.0002014,0.0002014
