epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,326.51,1.99109,0.6019,0.87133,0.36824,0.04665,0.01446,0.00373,1.34507,0.52681,0.49573,0.00033288,0.00033288,0.00033288
2,1739,1.34427,0.50049,0.39124,0.74138,0.08349,0.04693,0.01732,1.07216,0.70576,0.35537,0.000661816,0.000661816,0.000661816
3,3112.69,1.18213,0.54038,0.30908,0.77161,0.10513,0.08669,0.03816,0.93955,0.65886,0.24666,0.000986352,0.000986352,0.000986352
4,3778.7,1.05045,0.60016,0.24552,0.54866,0.16404,0.12193,0.05716,0.84053,0.73406,0.23976,0.0009802,0.0009802,0.0009802
5,4818.39,0.96624,0.6303,0.22782,0.69861,0.17934,0.16043,0.07474,0.76965,0.74123,0.17992,0.0009736,0.0009736,0.0009736
6,5513.98,0.9105,0.65437,0.19832,0.53157,0.21898,0.18238,0.09096,0.74105,0.72274,0.17622,0.000967,0.000967,0.000967
7,6591.96,0.86692,0.62103,0.18279,0.343,0.2984,0.25258,0.11579,0.70482,0.67367,0.15121,0.0009604,0.0009604,0.0009604
8,7498.64,0.81943,0.60787,0.16356,0.36139,0.35932,0.28817,0.15029,0.63079,0.70296,0.13389,0.0009538,0.0009538,0.0009538
9,8791.34,0.79014,0.60071,0.15538,0.44755,0.34169,0.30517,0.16086,0.62197,0.65313,0.12883,0.0009472,0.0009472,0.0009472
10,9493.94,0.77896,0.5884,0.14719,0.42922,0.41037,0.37538,0.20016,0.60141,0.59229,0.11816,0.0009406,0.0009406,0.0009406
11,10824.4,0.72794,0.57682,0.13296,0.45527,0.40754,0.37747,0.19339,0.59823,0.62582,0.12216,0.000934,0.000934,0.000934
12,11488.5,0.71321,0.58054,0.12672,0.49306,0.45871,0.4303,0.23594,0.56948,0.59069,0.10763,0.0009274,0.0009274,0.0009274
13,12001.1,0.69866,0.57563,0.12197,0.53603,0.41035,0.42585,0.24017,0.55559,0.60027,0.10554,0.0009208,0.0009208,0.0009208
14,12471.3,0.67554,0.58125,0.11767,0.51007,0.39822,0.42884,0.24447,0.57346,0.59728,0.11539,0.0009142,0.0009142,0.0009142
15,12967.3,0.65998,0.57606,0.11326,0.54178,0.44519,0.47533,0.28149,0.53978,0.5567,0.09786,0.0009076,0.0009076,0.0009076
16,13468,0.63493,0.55677,0.10513,0.56021,0.49187,0.52168,0.30336,0.51371,0.54435,0.091,0.000901,0.000901,0.000901
17,13915.1,0.62058,0.54876,0.10437,0.57565,0.47492,0.51441,0.30347,0.52825,0.54049,0.09549,0.0008944,0.0008944,0.0008944
18,14408.3,0.63205,0.54695,0.10627,0.53936,0.51584,0.52341,0.30823,0.51068,0.56258,0.09233,0.0008878,0.0008878,0.0008878
19,14877.6,0.61675,0.53816,0.09999,0.55417,0.5304,0.52838,0.3147,0.50109,0.55232,0.08822,0.0008812,0.0008812,0.0008812
20,15338.6,0.60425,0.54007,0.09698,0.64481,0.54288,0.57184,0.3442,0.49405,0.52623,0.08745,0.0008746,0.0008746,0.0008746
21,15794.4,0.6036,0.53974,0.097,0.65549,0.56141,0.59007,0.34622,0.49814,0.53225,0.08907,0.000868,0.000868,0.000868
22,16255.2,0.58883,0.53148,0.09463,0.62406,0.55625,0.57907,0.34483,0.49892,0.51828,0.08963,0.0008614,0.0008614,0.0008614
23,16739.2,0.57768,0.52607,0.09195,0.68049,0.58755,0.642,0.38456,0.47898,0.48889,0.08272,0.0008548,0.0008548,0.0008548
24,17186.3,0.57426,0.52352,0.09109,0.62393,0.5859,0.61005,0.37835,0.47147,0.49896,0.08135,0.0008482,0.0008482,0.0008482
25,17715.5,0.56686,0.51178,0.08982,0.72241,0.59543,0.66434,0.3975,0.46226,0.49348,0.07691,0.0008416,0.0008416,0.0008416
26,18168.7,0.5569,0.50813,0.08658,0.68389,0.60532,0.6575,0.3964,0.46205,0.48629,0.07944,0.000835,0.000835,0.000835
