epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,251.445,1.88438,0.62856,0.75155,0.2072,0.05144,0.01819,0.00494,1.27026,0.54936,0.44948,0.00033288,0.00033288,0.00033288
2,490.474,1.30473,0.50953,0.36194,0.75586,0.08739,0.05882,0.02088,nan,nan,nan,0.000661816,0.000661816,0.000661816
3,726.652,1.13106,0.56979,0.27463,0.53027,0.13659,0.10589,0.04872,0.88578,0.71012,0.22348,0.000986352,0.000986352,0.000986352
4,962.863,1.04379,0.5936,0.23483,0.44059,0.18309,0.16201,0.07519,0.80597,0.71302,0.18481,0.0009802,0.0009802,0.0009802
5,1199.59,0.96517,0.61163,0.21244,0.41112,0.23245,0.18383,0.08824,0.79494,0.70094,0.1761,0.0009736,0.0009736,0.0009736
6,1435.73,0.93138,0.60362,0.2018,0.32762,0.30657,0.23969,0.12262,nan,nan,nan,0.000967,0.000967,0.000967
7,1672.62,0.87879,0.60056,0.18003,0.3381,0.32782,0.26174,0.13607,0.68853,0.68409,0.14219,0.0009604,0.0009604,0.0009604
8,1909.78,0.84528,0.58858,0.16573,0.37655,0.34766,0.293,0.15728,nan,nan,nan,0.0009538,0.0009538,0.0009538
9,2146.07,0.81595,0.58887,0.15354,0.42854,0.33377,0.30445,0.15635,nan,nan,nan,0.0009472,0.0009472,0.0009472
10,2382.64,0.78692,0.5817,0.14487,0.48924,0.40586,0.3895,0.20512,0.6011,0.59671,0.1169,0.0009406,0.0009406,0.0009406
11,2619.36,0.7507,0.56961,0.1384,0.46669,0.43302,0.40014,0.22,0.59413,0.59942,0.12043,0.000934,0.000934,0.000934
12,2856.21,0.75041,0.57114,0.13665,0.50855,0.43391,0.43052,0.2439,0.5703,0.59608,0.11049,0.0009274,0.0009274,0.0009274
13,3092.46,0.71131,0.56082,0.12433,0.48935,0.45933,0.43812,0.24454,0.55946,0.58123,0.10511,0.0009208,0.0009208,0.0009208
14,3329.26,0.68611,0.55486,0.11859,0.50497,0.46518,0.43051,0.24721,0.56807,0.59981,0.11265,0.0009142,0.0009142,0.0009142
15,3565.83,0.67898,0.55991,0.11679,0.51942,0.52466,0.49906,0.28719,0.55093,0.54646,0.09918,0.0009076,0.0009076,0.0009076
16,3802.19,0.68397,0.54913,0.1196,0.50699,0.48193,0.48052,0.2782,0.54984,0.56101,0.10447,0.000901,0.000901,0.000901
17,4038.27,0.66,0.54254,0.11254,0.57363,0.52916,0.53549,0.31707,0.52405,0.52136,0.09329,0.0008944,0.0008944,0.0008944
18,4274.77,0.63834,0.53302,0.10558,0.58404,0.50315,0.52981,0.31202,0.50613,0.52596,0.09194,0.0008878,0.0008878,0.0008878
19,4510.97,0.63196,0.53842,0.1013,0.56831,0.53781,0.53384,0.31249,0.50575,0.54668,0.09119,0.0008812,0.0008812,0.0008812
20,4747.02,0.62005,0.54347,0.09995,0.58611,0.55714,0.54918,0.32445,0.50041,0.52392,0.08881,0.0008746,0.0008746,0.0008746
21,4983.56,0.61461,0.51798,0.09819,0.60316,0.55633,0.57818,0.34256,0.49022,0.50433,0.08713,0.000868,0.000868,0.000868
22,5220.09,0.59949,0.52128,0.09472,0.65942,0.56522,0.60434,0.36466,0.48995,0.49947,0.08515,0.0008614,0.0008614,0.0008614
23,5456.62,0.59573,0.52525,0.09453,0.6126,0.56343,0.59386,0.36038,0.48512,0.50203,0.084,0.0008548,0.0008548,0.0008548
24,5693.12,0.57441,0.51352,0.08904,0.67009,0.57857,0.61861,0.37454,0.48566,0.50556,0.08542,0.0008482,0.0008482,0.0008482
25,5929.66,0.57948,0.5113,0.09063,0.69979,0.61565,0.66226,0.40028,0.46467,0.48898,0.07847,0.0008416,0.0008416,0.0008416
26,6166.25,0.56014,0.50097,0.08548,0.71346,0.60314,0.66704,0.41291,0.46358,0.47645,0.07558,0.000835,0.000835,0.000835
27,6402.96,0.55871,0.49003,0.08355,0.68602,0.63633,0.67694,0.40768,0.46253,0.4731,0.07711,0.0008284,0.0008284,0.0008284
28,6639.89,0.55043,0.48604,0.08036,0.67842,0.62756,0.65727,0.40648,0.47037,0.47758,0.07802,0.0008218,0.0008218,0.0008218
29,6876.77,0.54484,0.4904,0.08131,0.72297,0.66299,0.69967,0.4447,0.45343,0.46358,0.07568,0.0008152,0.0008152,0.0008152
30,7113.19,0.54544,0.48635,0.07858,0.7367,0.64556,0.70376,0.43717,0.45107,0.45641,0.07401,0.0008086,0.0008086,0.0008086
31,7349.89,0.53316,0.48147,0.07685,0.73735,0.67806,0.71037,0.43604,0.44998,0.46678,0.07629,0.000802,0.000802,0.000802
32,7586.01,0.53721,0.47904,0.07683,0.75435,0.68455,0.7362,0.46029,0.43958,0.44761,0.07287,0.0007954,0.0007954,0.0007954
33,7822.9,0.52018,0.47587,0.07537,0.7287,0.67959,0.72294,0.45681,0.43913,0.44464,0.07129,0.0007888,0.0007888,0.0007888
34,8059.35,0.531,0.48297,0.07687,0.77,0.69781,0.73917,0.4576,0.44033,0.46146,0.072,0.0007822,0.0007822,0.0007822
35,8295.42,0.52687,0.47628,0.07602,0.75299,0.67042,0.73075,0.46092,0.44197,0.44976,0.07281,0.0007756,0.0007756,0.0007756
36,8532.36,0.51346,0.47123,0.07336,0.73152,0.72385,0.73552,0.46681,0.43905,0.4413,0.07245,0.000769,0.000769,0.000769
37,8769.37,0.51194,0.478,0.07508,0.763,0.7073,0.75372,0.47554,0.43083,0.45344,0.06852,0.0007624,0.0007624,0.0007624
