epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,274.159,1.93812,0.5915,0.77526,0.01392,0.02086,0.00563,0.00131,1.43882,0.46751,0.4839,0.00033288,0.00033288,0.00033288
2,537.825,1.31611,0.49857,0.3649,0.74982,0.09546,0.06563,0.02444,0.97666,0.67627,0.27159,0.000661816,0.000661816,0.000661816
3,800.14,1.13895,0.56233,0.274,0.75561,0.12181,0.08381,0.03222,0.93674,0.72432,0.255,0.000986352,0.000986352,0.000986352
4,1062.62,1.06055,0.59898,0.23476,0.30433,0.24349,0.16766,0.07017,0.81182,0.70967,0.19698,0.0009802,0.0009802,0.0009802
5,1326.1,0.98072,0.59537,0.21301,0.49092,0.23759,0.229,0.10254,0.73512,0.68492,0.16018,0.0009736,0.0009736,0.0009736
6,1587.18,0.93692,0.59257,0.19375,0.34686,0.31537,0.23461,0.10649,0.76635,0.64049,0.18034,0.000967,0.000967,0.000967
7,1850.17,0.91063,0.587,0.19022,0.33938,0.30593,0.24336,0.1208,0.70475,0.6648,0.15384,0.0009604,0.0009604,0.0009604
8,2115.12,0.85651,0.57375,0.1685,0.43313,0.3695,0.32462,0.17281,0.66685,0.61312,0.1302,0.0009538,0.0009538,0.0009538
9,2377.24,0.80438,0.5769,0.14728,0.43262,0.36925,0.3437,0.18033,0.63911,0.61833,0.12189,0.0009472,0.0009472,0.0009472
10,2638.88,0.78641,0.56964,0.14188,0.45896,0.43202,0.38916,0.20889,0.62658,0.57917,0.1215,0.0009406,0.0009406,0.0009406
11,2903.52,0.73737,0.55771,0.12781,0.4936,0.4218,0.39264,0.21408,0.60418,0.57964,0.1149,0.000934,0.000934,0.000934
12,3168.44,0.74044,0.5613,0.12982,0.45987,0.45853,0.41922,0.23885,0.59741,0.55565,0.11458,0.0009274,0.0009274,0.0009274
13,3434.85,0.71619,0.5486,0.12107,0.46927,0.44353,0.40647,0.22879,0.57303,0.56225,0.10786,0.0009208,0.0009208,0.0009208
14,3706.35,0.6856,0.55852,0.11424,0.53277,0.46666,0.46306,0.26562,0.55665,0.56308,0.09925,0.0009142,0.0009142,0.0009142
15,3971.37,0.65953,0.56641,0.10792,0.53825,0.44755,0.45271,0.27059,0.56199,0.55726,0.10499,0.0009076,0.0009076,0.0009076
16,4236.78,0.6695,0.53992,0.11098,0.55487,0.50504,0.50139,0.29034,0.55295,0.5222,0.1013,0.000901,0.000901,0.000901
17,4502.86,0.65421,0.54837,0.10625,0.54139,0.50714,0.52283,0.31008,0.51209,0.53043,0.08743,0.0008944,0.0008944,0.0008944
18,4766.34,0.64481,0.53815,0.10372,0.61541,0.5342,0.55198,0.32667,0.5041,0.52309,0.08467,0.0008878,0.0008878,0.0008878
19,5031.31,0.62365,0.52314,0.097,0.59833,0.51038,0.55759,0.32925,0.50051,0.51559,0.08416,0.0008812,0.0008812,0.0008812
20,5296.83,0.6099,0.52758,0.09361,0.59483,0.56636,0.55249,0.32883,0.4971,0.5145,0.08464,0.0008746,0.0008746,0.0008746
21,5558.62,0.60585,0.51691,0.09209,0.64775,0.58984,0.60238,0.35752,0.49394,0.49613,0.08359,0.000868,0.000868,0.000868
22,5821.05,0.58949,0.5107,0.08921,0.67658,0.57421,0.60833,0.3668,0.48779,0.49084,0.07855,0.0008614,0.0008614,0.0008614
23,6086.84,0.57325,0.51242,0.08612,0.63066,0.61509,0.62538,0.37755,0.47767,0.49091,0.07933,0.0008548,0.0008548,0.0008548
24,6354.76,0.56322,0.49578,0.08374,0.6313,0.60409,0.62139,0.38339,0.47665,0.48935,0.08001,0.0008482,0.0008482,0.0008482
25,6621.47,0.57343,0.50326,0.0851,0.70486,0.57677,0.64146,0.38919,0.47984,0.48562,0.07975,0.0008416,0.0008416,0.0008416
26,6884.33,0.56456,0.49968,0.08512,0.66356,0.60887,0.63646,0.39331,0.47197,0.48068,0.07817,0.000835,0.000835,0.000835
27,7154.91,0.55911,0.49365,0.08105,0.67134,0.63512,0.65334,0.40517,0.46633,0.46797,0.07654,0.0008284,0.0008284,0.0008284
28,7424.26,0.55086,0.48969,0.0787,0.68506,0.6428,0.67634,0.4129,0.45791,0.46872,0.07393,0.0008218,0.0008218,0.0008218
29,7693.75,0.54421,0.49148,0.07903,0.71343,0.65647,0.69178,0.42917,0.453,0.46277,0.07539,0.0008152,0.0008152,0.0008152
30,7961.43,0.54316,0.48497,0.07669,0.7285,0.66662,0.71258,0.44328,0.44501,0.45191,0.07118,0.0008086,0.0008086,0.0008086
31,8223.92,0.52511,0.47383,0.07264,0.71044,0.69109,0.71818,0.4558,0.4443,0.45081,0.07025,0.000802,0.000802,0.000802
32,8492.93,0.54238,0.4787,0.0762,0.73918,0.69373,0.72108,0.44451,0.44879,0.45463,0.07393,0.0007954,0.0007954,0.0007954
33,8765.12,0.53189,0.47426,0.07617,0.7082,0.6846,0.72347,0.45578,0.44078,0.45372,0.07075,0.0007888,0.0007888,0.0007888
34,9032.07,0.53026,0.47323,0.07494,0.75088,0.71353,0.76192,0.47838,0.43188,0.45409,0.06791,0.0007822,0.0007822,0.0007822
35,9292.63,0.52859,0.47441,0.07569,0.753,0.6764,0.71619,0.44829,0.44515,0.44905,0.07048,0.0007756,0.0007756,0.0007756
36,9550.25,0.52637,0.47643,0.07506,0.73962,0.72926,0.75463,0.4704,0.43868,0.45092,0.06995,0.000769,0.000769,0.000769
37,9806.19,0.51581,0.4753,0.07442,0.67702,0.70659,0.74452,0.47142,0.44229,0.44868,0.07063,0.0007624,0.0007624,0.0007624
38,10063.1,0.50298,0.46307,0.07103,0.7468,0.71331,0.76048,0.48743,0.42974,0.43252,0.06726,0.0007558,0.0007558,0.0007558
39,10319.6,0.49621,0.46302,0.06909,0.7638,0.74102,0.78175,0.50154,0.43045,0.42627,0.06794,0.0007492,0.0007492,0.0007492
40,10575.5,0.49622,0.45436,0.06796,0.80343,0.72757,0.78536,0.4969,0.42348,0.43149,0.0659,0.0007426,0.0007426,0.0007426
41,10831.6,0.50602,0.4586,0.06807,0.79528,0.73812,0.7774,0.48838,0.43005,0.43427,0.06917,0.000736,0.000736,0.000736
42,11087.6,0.50894,0.46869,0.07012,0.76632,0.74489,0.76831,0.47524,0.43157,0.44045,0.06842,0.0007294,0.0007294,0.0007294
