epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,246.68,1.92414,0.644,0.76095,0.53474,0.04826,0.01443,0.00341,1.29638,0.50921,0.43421,0.00033288,0.00033288,0.00033288
2,482.521,1.34994,0.48929,0.38003,0.75627,0.08559,0.05963,0.02374,0.98289,0.75046,0.28335,0.000661816,0.000661816,0.000661816
3,717.91,1.14103,0.57522,0.27838,0.76838,0.11514,0.09208,0.04199,0.90672,0.77565,0.24315,0.000986352,0.000986352,0.000986352
4,952.192,1.05393,0.59995,0.24083,0.43143,0.18226,0.13606,0.06137,0.82077,0.72544,0.19606,0.0009802,0.0009802,0.0009802
5,1186.37,0.97712,0.60611,0.21448,0.47122,0.2174,0.16552,0.08079,0.78291,0.72534,0.186,0.0009736,0.0009736,0.0009736
6,1421.23,0.95255,0.60811,0.20563,0.48163,0.22054,0.21708,0.1022,0.74482,0.66156,0.17827,0.000967,0.000967,0.000967
7,1655.62,0.88803,0.599,0.18214,0.38586,0.30811,0.2492,0.12813,0.70796,0.65458,0.14686,0.0009604,0.0009604,0.0009604
8,1890.04,0.85101,0.59032,0.16694,0.30888,0.31968,0.25344,0.12407,0.71342,0.78447,0.15862,0.0009538,0.0009538,0.0009538
9,2124.84,0.82806,0.59929,0.15766,0.35844,0.37633,0.30388,0.16187,0.63193,0.66306,0.12293,0.0009472,0.0009472,0.0009472
10,2359.17,0.78443,0.57706,0.14465,0.47683,0.38813,0.36301,0.19622,0.61984,0.59269,0.12214,0.0009406,0.0009406,0.0009406
11,2593.67,0.7542,0.58036,0.13922,0.41752,0.38031,0.33671,0.18719,0.59371,0.62228,0.11457,0.000934,0.000934,0.000934
12,2827.74,0.73426,0.57112,0.13293,0.48638,0.4032,0.39826,0.21663,0.58664,0.59507,0.11057,0.0009274,0.0009274,0.0009274
13,3062.68,0.70644,0.56131,0.12326,0.50993,0.48849,0.44526,0.24961,0.55256,0.61563,0.10246,0.0009208,0.0009208,0.0009208
14,3298.47,0.68537,0.56816,0.11823,0.52055,0.46403,0.44559,0.24597,0.56093,0.56571,0.10293,0.0009142,0.0009142,0.0009142
15,3534.86,0.67078,0.55941,0.11506,0.51771,0.45908,0.46505,0.26835,0.5283,0.57041,0.09562,0.0009076,0.0009076,0.0009076
16,3770.92,0.66402,0.54784,0.11277,0.55886,0.49549,0.49395,0.28348,0.52045,0.55502,0.09207,0.000901,0.000901,0.000901
17,4009.75,0.6471,0.54915,0.10906,0.54335,0.50179,0.51419,0.30092,0.52165,0.52944,0.0945,0.0008944,0.0008944,0.0008944
18,4245.57,0.63093,0.53959,0.10306,0.56804,0.53433,0.5347,0.31561,0.51312,0.52884,0.08884,0.0008878,0.0008878,0.0008878
19,4481.15,0.62894,0.55437,0.10326,0.5285,0.52826,0.51336,0.30711,0.50647,0.54609,0.09399,0.0008812,0.0008812,0.0008812
20,4717.51,0.60278,0.53165,0.09555,0.61974,0.54691,0.58006,0.35032,0.4872,0.50938,0.08319,0.0008746,0.0008746,0.0008746
21,4954.47,0.59648,0.52628,0.09435,0.58762,0.56746,0.57413,0.34623,0.48732,0.50334,0.08464,0.000868,0.000868,0.000868
22,5190.32,0.58474,0.52036,0.09152,0.59262,0.57275,0.57424,0.3424,0.48441,0.50808,0.08303,0.0008614,0.0008614,0.0008614
23,5426.86,0.59833,0.53285,0.09627,0.60084,0.58729,0.59739,0.35454,0.49312,0.51225,0.08657,0.0008548,0.0008548,0.0008548
