epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,255.322,1.98864,0.53049,0.83701,0.68298,0.0236,0.00672,0.00173,1.53363,0.42296,0.55127,0.00033288,0.00033288,0.00033288
2,502.996,1.53124,0.41319,0.48478,0.7322,0.07012,0.04027,0.01512,1.1715,0.63884,0.38354,0.000661816,0.000661816,0.000661816
3,754.427,1.21192,0.5527,0.31039,0.65583,0.11612,0.07407,0.033,0.93818,0.71804,0.26494,0.000986352,0.000986352,0.000986352
4,1000.9,1.1019,0.58773,0.2613,0.49787,0.16386,0.1141,0.05469,0.84309,0.73854,0.20889,0.0009802,0.0009802,0.0009802
5,1242.4,1.05568,0.58904,0.25796,0.23763,0.23639,0.16016,0.07853,0.80015,0.70791,0.19578,0.0009736,0.0009736,0.0009736
6,1484.54,0.97916,0.60554,0.21636,0.30894,0.25943,0.17545,0.08693,0.75771,0.73293,0.16622,0.000967,0.000967,0.000967
7,1726.12,0.93854,0.60127,0.20584,0.37771,0.2552,0.22186,0.10523,0.74233,0.74602,0.17594,0.0009604,0.0009604,0.0009604
8,1967.35,0.89612,0.62223,0.18695,0.47719,0.2967,0.24573,0.12666,0.71604,0.7797,0.15754,0.0009538,0.0009538,0.0009538
9,2209.07,0.86286,0.58359,0.16969,0.36316,0.34084,0.282,0.14797,0.65186,0.64765,0.13655,0.0009472,0.0009472,0.0009472
10,2450.2,0.8375,0.5674,0.16144,0.39885,0.37195,0.33557,0.17618,0.62854,0.62556,0.1233,0.0009406,0.0009406,0.0009406
11,2691.85,0.80067,0.57519,0.15218,0.36814,0.40552,0.33335,0.17686,0.6401,0.63002,0.12742,0.000934,0.000934,0.000934
12,2934.42,0.76876,0.56917,0.14261,0.49412,0.38924,0.36791,0.20584,0.59899,0.60262,0.11146,0.0009274,0.0009274,0.0009274
13,3176,0.74665,0.55381,0.13359,0.4498,0.43333,0.38609,0.21534,0.58398,0.59638,0.10942,0.0009208,0.0009208,0.0009208
14,3417.26,0.72222,0.56212,0.12747,0.49412,0.43975,0.41783,0.24062,0.56059,0.58679,0.10413,0.0009142,0.0009142,0.0009142
