epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,264.213,1.98136,0.6305,0.82176,0.6881,0.02111,0.00902,0.00252,1.38188,0.50329,0.48755,0.00033288,0.00033288,0.00033288
2,524.988,1.43321,0.44994,0.4272,0.7417,0.07648,0.04533,0.01514,1.08957,0.66344,0.34637,0.000661816,0.000661816,0.000661816
3,778.788,1.2019,0.53405,0.30671,0.76403,0.11532,0.08425,0.034,nan,nan,nan,0.000986352,0.000986352,0.000986352
4,1036.26,1.10302,0.58467,0.25491,0.3552,0.1768,0.11265,0.05174,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,1280.51,1.01758,0.61079,0.22623,0.41832,0.22305,0.16325,0.08104,nan,nan,nan,0.0009736,0.0009736,0.0009736
6,1527.63,0.99349,0.58895,0.21861,0.48013,0.20523,0.17293,0.08546,nan,nan,nan,0.000967,0.000967,0.000967
7,1774.46,0.94924,0.589,0.20069,0.33917,0.33314,0.24644,0.11949,0.73046,0.64209,0.16061,0.0009604,0.0009604,0.0009604
8,2021.67,0.88675,0.58284,0.17737,0.39275,0.33856,0.27978,0.14892,0.67351,0.64214,0.13298,0.0009538,0.0009538,0.0009538
9,2267.52,0.852,0.57915,0.16073,0.37885,0.37465,0.31893,0.15904,0.63971,0.64139,0.1213,0.0009472,0.0009472,0.0009472
10,2513.83,0.82549,0.57446,0.15239,0.42899,0.40535,0.35679,0.19429,0.62972,0.58718,0.11847,0.0009406,0.0009406,0.0009406
11,2760.88,0.78502,0.56561,0.14096,0.45707,0.41144,0.38527,0.20863,0.60059,0.58252,0.11484,0.000934,0.000934,0.000934
12,3007.85,0.76427,0.55543,0.13528,0.46257,0.40953,0.39506,0.21379,0.61177,0.57197,0.11518,0.0009274,0.0009274,0.0009274
13,3254.73,0.7494,0.5533,0.12914,0.45827,0.45633,0.39718,0.21837,0.62121,0.57792,0.12055,0.0009208,0.0009208,0.0009208
14,3500.88,0.7315,0.56385,0.12555,0.47625,0.45599,0.41841,0.23692,0.58001,0.56627,0.10469,0.0009142,0.0009142,0.0009142
15,3746.47,0.70843,0.55142,0.11834,0.468,0.47835,0.45237,0.26235,0.57427,0.5529,0.10211,0.0009076,0.0009076,0.0009076
