epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,244.522,1.90073,0.64324,0.81286,0.54902,0.05405,0.02335,0.00673,1.24565,0.58405,0.44904,0.00033288,0.00033288,0.00033288
2,476.797,1.24331,0.54113,0.33331,0.76498,0.10216,0.08216,0.03067,0.94573,0.69617,0.2509,0.000661816,0.000661816,0.000661816
3,708.301,1.10683,0.59542,0.26716,0.78058,0.11527,0.1062,0.0433,0.88006,0.73147,0.21174,0.000986352,0.000986352,0.000986352
4,938.627,1.03325,0.61313,0.22959,0.33592,0.22791,0.1921,0.08783,0.79842,0.76435,0.19398,0.0009802,0.0009802,0.0009802
5,1171.22,0.97894,0.63464,0.22175,0.5484,0.20801,0.18277,0.0897,0.78071,0.72029,0.18817,0.0009736,0.0009736,0.0009736
6,1405.41,0.91161,0.61565,0.18538,0.51994,0.1788,0.17731,0.08407,0.73895,0.77207,0.16957,0.000967,0.000967,0.000967
7,1638.04,0.87011,0.59428,0.17591,0.34935,0.32162,0.27514,0.14332,0.68345,0.64931,0.14185,0.0009604,0.0009604,0.0009604
8,1871.41,0.83852,0.57942,0.16355,0.43526,0.35589,0.31341,0.16462,0.64132,0.60552,0.12545,0.0009538,0.0009538,0.0009538
9,2104.57,0.82632,0.57533,0.15639,0.41332,0.3705,0.32311,0.17362,nan,nan,nan,0.0009472,0.0009472,0.0009472
10,2338.8,0.77336,0.57133,0.13969,0.51285,0.37792,0.36672,0.19621,0.5927,0.62199,0.10964,0.0009406,0.0009406,0.0009406
11,2569.52,0.72813,0.57143,0.12914,0.48822,0.41398,0.4016,0.22767,0.56619,0.6346,0.11239,0.000934,0.000934,0.000934
12,2800.42,0.71848,0.56258,0.1279,0.52636,0.39972,0.41291,0.23801,0.5669,0.57348,0.10956,0.0009274,0.0009274,0.0009274
13,3033.47,0.70825,0.5661,0.12352,0.52073,0.46156,0.44419,0.25116,0.55368,0.57553,0.10475,0.0009208,0.0009208,0.0009208
14,3269.38,0.68223,0.57675,0.11801,0.54744,0.44263,0.46293,0.26549,0.53454,0.59155,0.09576,0.0009142,0.0009142,0.0009142
15,3506.7,0.66364,0.56978,0.11427,0.578,0.45751,0.48575,0.2867,0.53483,0.54728,0.09647,0.0009076,0.0009076,0.0009076
16,3740.75,0.63887,0.55358,0.10684,0.55779,0.48277,0.49695,0.30039,0.52425,0.54496,0.09417,0.000901,0.000901,0.000901
17,3975.63,0.64755,0.55163,0.1099,0.49312,0.48866,0.47316,0.28878,0.52832,0.56593,0.09642,0.0008944,0.0008944,0.0008944
18,4207.37,0.64551,0.56046,0.10987,0.59578,0.47231,0.50677,0.30357,0.51866,0.53693,0.09414,0.0008878,0.0008878,0.0008878
19,4439.67,0.62974,0.5509,0.10289,0.5959,0.52207,0.54431,0.32441,0.50443,0.53569,0.08957,0.0008812,0.0008812,0.0008812
20,4671.96,0.60354,0.54401,0.09747,0.5856,0.51579,0.54736,0.3312,0.4896,0.52629,0.08765,0.0008746,0.0008746,0.0008746
21,4903.93,0.59408,0.53428,0.09465,0.64175,0.54611,0.58891,0.35565,0.48819,0.51176,0.08548,0.000868,0.000868,0.000868
22,5136.16,0.58963,0.53409,0.09441,0.66477,0.57312,0.59814,0.35866,0.48139,0.50582,0.08334,0.0008614,0.0008614,0.0008614
23,5367.15,0.58265,0.54059,0.09527,0.69197,0.52132,0.57961,0.34668,0.5006,0.5226,0.09156,0.0008548,0.0008548,0.0008548
24,5597.66,0.56764,0.52916,0.09054,0.63338,0.574,0.59119,0.36677,0.47704,0.50255,0.08321,0.0008482,0.0008482,0.0008482
25,5828.81,0.56213,0.53093,0.08839,0.64381,0.60967,0.62822,0.38319,0.46252,0.50023,0.0784,0.0008416,0.0008416,0.0008416
26,6059.57,0.56524,0.52313,0.0897,0.65011,0.57132,0.60146,0.37153,0.47016,0.51856,0.08366,0.000835,0.000835,0.000835
27,6290.28,0.55724,0.51899,0.08531,0.69368,0.59981,0.64275,0.39489,0.46132,0.50156,0.07793,0.0008284,0.0008284,0.0008284
28,6520.76,0.54103,0.52215,0.08127,0.6792,0.62688,0.66227,0.41106,0.45295,0.50635,0.07605,0.0008218,0.0008218,0.0008218
29,6751.28,0.53184,0.50964,0.08038,0.67623,0.62126,0.65451,0.39632,0.45692,0.49553,0.08001,0.0008152,0.0008152,0.0008152
30,6981.69,0.54638,0.51199,0.08217,0.70713,0.57528,0.63208,0.38525,0.46045,0.49559,0.08044,0.0008086,0.0008086,0.0008086
