epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,244.347,1.79867,0.58668,0.69435,0.71625,0.06352,0.02945,0.00973,1.09362,0.68274,0.34221,0.00033288,0.00033288,0.00033288
2,482.869,1.24331,0.55268,0.33467,0.73764,0.08856,0.05144,0.01745,nan,nan,nan,0.000661816,0.000661816,0.000661816
3,717.509,1.11747,0.60243,0.26876,0.45989,0.14547,0.11069,0.0487,0.8618,0.73108,0.20976,0.000986352,0.000986352,0.000986352
4,948.696,1.03746,0.60641,0.2343,0.36709,0.22526,0.15117,0.07289,0.80429,0.71977,0.19333,0.0009802,0.0009802,0.0009802
5,1182.74,0.94579,0.63127,0.20565,0.29036,0.2532,0.1602,0.0805,nan,nan,nan,0.0009736,0.0009736,0.0009736
6,1417.1,0.9138,0.61519,0.18531,0.31446,0.31322,0.24195,0.1221,0.69501,0.68768,0.14245,0.000967,0.000967,0.000967
7,1651.24,0.87187,0.5998,0.17636,0.38405,0.3531,0.28871,0.14849,nan,nan,nan,0.0009604,0.0009604,0.0009604
8,1886.28,0.82837,0.58705,0.15946,0.37335,0.38449,0.30722,0.1553,0.66125,0.63335,0.13448,0.0009538,0.0009538,0.0009538
9,2123.19,0.79481,0.57795,0.14584,0.46758,0.36695,0.33608,0.17691,0.62736,0.61727,0.12252,0.0009472,0.0009472,0.0009472
10,2361.52,0.76946,0.56839,0.13803,0.4798,0.40642,0.39099,0.20963,0.59246,0.60402,0.11228,0.0009406,0.0009406,0.0009406
11,2595.76,0.74931,0.57877,0.13419,0.40486,0.38521,0.35698,0.1933,nan,nan,nan,0.000934,0.000934,0.000934
12,2827.49,0.71603,0.55981,0.1248,0.45604,0.44192,0.40846,0.22884,nan,nan,nan,0.0009274,0.0009274,0.0009274
13,3058.8,0.72484,0.56335,0.12705,0.52745,0.41755,0.4305,0.2434,0.54811,0.58753,0.0996,0.0009208,0.0009208,0.0009208
14,3289.73,0.67272,0.55847,0.11292,0.48626,0.43998,0.41942,0.2479,0.5548,0.70504,0.10501,0.0009142,0.0009142,0.0009142
15,3520.92,0.67056,0.55659,0.11433,0.5436,0.48423,0.48894,0.2849,0.53436,0.55295,0.09404,0.0009076,0.0009076,0.0009076
16,3751.32,0.64093,0.54619,0.10348,0.59325,0.50638,0.50932,0.29765,0.51407,0.53755,0.0914,0.000901,0.000901,0.000901
17,3982.48,0.63629,0.54498,0.10267,0.57099,0.48425,0.51275,0.30183,0.51867,0.53042,0.09086,0.0008944,0.0008944,0.0008944
18,4213.57,0.62712,0.53339,0.10059,0.57444,0.46549,0.47579,0.27419,0.54105,0.54601,0.10128,0.0008878,0.0008878,0.0008878
19,4444.3,0.62797,0.52752,0.10068,0.59582,0.54528,0.54502,0.32335,0.49522,0.52536,0.08466,0.0008812,0.0008812,0.0008812
20,4675.95,0.61517,0.5332,0.0967,0.63452,0.55861,0.56943,0.33181,0.49887,0.52336,0.08904,0.0008746,0.0008746,0.0008746
21,4906.82,0.60123,0.52044,0.09283,0.68436,0.54823,0.60987,0.36837,0.48443,0.5032,0.08197,0.000868,0.000868,0.000868
22,5138.08,0.59549,0.52959,0.0931,0.62768,0.55128,0.57406,0.34966,0.49066,0.50692,0.08584,0.0008614,0.0008614,0.0008614
23,5374.08,0.58034,0.51479,0.08992,0.65376,0.58605,0.60895,0.36687,0.48731,0.49764,0.08554,0.0008548,0.0008548,0.0008548
24,5604.73,0.57651,0.51159,0.08872,0.66724,0.56999,0.60703,0.36784,0.48053,0.48873,0.0834,0.0008482,0.0008482,0.0008482
25,5835.59,0.56759,0.50485,0.08638,0.66549,0.61223,0.63676,0.38489,0.47191,0.49009,0.08009,0.0008416,0.0008416,0.0008416
26,6067.03,0.57076,0.51423,0.08656,0.62371,0.60958,0.63128,0.38311,0.47706,0.50395,0.07902,0.000835,0.000835,0.000835
27,6298.18,0.56922,0.49987,0.08551,0.71773,0.63039,0.68049,0.41258,0.46263,0.47909,0.0782,0.0008284,0.0008284,0.0008284
28,6529.33,0.56329,0.5007,0.08241,0.68772,0.65367,0.6895,0.4345,0.46003,0.47064,0.07733,0.0008218,0.0008218,0.0008218
29,6760.59,0.5515,0.50619,0.08146,0.6945,0.6214,0.66547,0.41344,0.45249,0.48245,0.07649,0.0008152,0.0008152,0.0008152
30,6991.03,0.53936,0.48188,0.07736,0.7577,0.65242,0.69668,0.43414,0.44669,0.45865,0.07296,0.0008086,0.0008086,0.0008086
31,7225.26,0.52812,0.47248,0.0759,0.72448,0.67024,0.71793,0.45051,0.44176,0.455,0.07241,0.000802,0.000802,0.000802
32,7462.65,0.53983,0.47743,0.07742,0.73777,0.66001,0.70628,0.43762,0.44182,0.46425,0.07309,0.0007954,0.0007954,0.0007954
33,7700.92,0.52381,0.48078,0.07559,0.74951,0.653,0.71341,0.44579,0.44181,0.45735,0.07194,0.0007888,0.0007888,0.0007888
34,7932.7,0.53185,0.47824,0.07736,0.74634,0.67212,0.70913,0.44506,0.4461,0.45821,0.07335,0.0007822,0.0007822,0.0007822
35,8163.67,0.52608,0.47538,0.07485,0.72236,0.68332,0.70289,0.44271,0.43904,0.465,0.0706,0.0007756,0.0007756,0.0007756
36,8394.25,0.5275,0.48602,0.07702,0.7896,0.68679,0.74175,0.46811,0.43544,0.4471,0.06986,0.000769,0.000769,0.000769
37,8626.08,0.51277,0.46976,0.07479,0.73514,0.70505,0.7338,0.45757,0.43414,0.44535,0.07031,0.0007624,0.0007624,0.0007624
38,8857.01,0.50885,0.46691,0.07343,0.75494,0.68916,0.738,0.46073,0.42865,0.45222,0.0693,0.0007558,0.0007558,0.0007558
39,9088.16,0.50978,0.46958,0.07491,0.79476,0.68564,0.74732,0.47525,0.42754,0.44307,0.07006,0.0007492,0.0007492,0.0007492
40,9319.8,0.49937,0.45675,0.07044,0.79562,0.7167,0.77492,0.49454,0.42207,0.42973,0.06768,0.0007426,0.0007426,0.0007426
41,9552.8,0.50344,0.45388,0.06847,0.7945,0.72917,0.77552,0.49582,0.42642,0.42914,0.06861,0.000736,0.000736,0.000736
42,9787.08,0.50777,0.4644,0.07205,0.771,0.70634,0.74868,0.47937,0.42823,0.43739,0.06741,0.0007294,0.0007294,0.0007294
