epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,253.311,2.00687,0.63014,0.83156,0.35078,0.01864,0.00725,0.00192,1.72248,0.35641,0.67457,0.00033288,0.00033288,0.00033288
2,494.147,1.58218,0.40041,0.51887,0.71262,0.04393,0.03401,0.01403,1.24225,0.57489,0.39916,0.000661816,0.000661816,0.000661816
3,728.155,1.38283,0.49544,0.40164,0.53877,0.07858,0.04709,0.02018,1.12643,0.62732,0.37279,0.000986352,0.000986352,0.000986352
4,963.155,1.15955,0.5698,0.29014,0.76143,0.11072,0.09237,0.04235,0.87844,0.74755,0.24252,0.0009802,0.0009802,0.0009802
5,1199.5,1.06418,0.59311,0.25999,0.59854,0.15603,0.13493,0.06769,0.79739,0.73674,0.1996,0.0009736,0.0009736,0.0009736
6,1431.81,0.99637,0.60024,0.22367,0.52049,0.18287,0.18319,0.08589,0.79051,0.69983,0.18991,0.000967,0.000967,0.000967
7,1663.97,0.94859,0.62283,0.20898,0.3599,0.26749,0.21846,0.10588,0.7217,0.69253,0.1596,0.0009604,0.0009604,0.0009604
8,1897.25,0.90403,0.60459,0.18871,0.45115,0.28348,0.24321,0.12249,0.68721,0.70326,0.14556,0.0009538,0.0009538,0.0009538
9,2129.21,0.88546,0.59866,0.18063,0.40194,0.30947,0.24205,0.12381,0.69697,0.6783,0.14785,0.0009472,0.0009472,0.0009472
10,2361.41,0.852,0.61253,0.17029,0.38092,0.35509,0.29273,0.15508,0.63214,0.66307,0.13051,0.0009406,0.0009406,0.0009406
11,2593.93,0.80665,0.60639,0.15909,0.37114,0.34868,0.2982,0.16107,0.61844,0.69066,0.1273,0.000934,0.000934,0.000934
12,2826.6,0.80208,0.60589,0.1566,0.47356,0.35438,0.34907,0.18058,0.61616,0.64996,0.12857,0.0009274,0.0009274,0.0009274
13,3059.09,0.77269,0.60097,0.14694,0.43896,0.37228,0.36047,0.19767,0.59818,0.61952,0.11538,0.0009208,0.0009208,0.0009208
14,3291.51,0.75124,0.60914,0.1411,0.46662,0.38356,0.34866,0.18264,0.61826,0.66427,0.12573,0.0009142,0.0009142,0.0009142
15,3523.56,0.74515,0.60139,0.14207,0.44657,0.43061,0.40193,0.22654,0.57694,0.61917,0.10988,0.0009076,0.0009076,0.0009076
16,3759.18,0.70707,0.58755,0.12859,0.44744,0.43666,0.39215,0.22206,0.59063,0.65876,0.11548,0.000901,0.000901,0.000901
17,3991.44,0.70136,0.6108,0.12637,0.51355,0.41854,0.43028,0.24959,0.54796,0.60897,0.10482,0.0008944,0.0008944,0.0008944
18,4223.75,0.70125,0.58173,0.12657,0.50183,0.44878,0.44212,0.25556,0.54111,0.59364,0.09868,0.0008878,0.0008878,0.0008878
19,4456.66,0.67871,0.56652,0.11934,0.54607,0.47237,0.46975,0.27311,0.52742,0.58399,0.09727,0.0008812,0.0008812,0.0008812
20,4688.92,0.66343,0.56765,0.11593,0.5577,0.48476,0.49271,0.28075,0.53159,0.58122,0.09628,0.0008746,0.0008746,0.0008746
21,4921.06,0.65512,0.57502,0.11205,0.54168,0.45059,0.48812,0.28897,0.53898,0.58242,0.09951,0.000868,0.000868,0.000868
22,5153.99,0.64017,0.56479,0.10801,0.58282,0.50371,0.51906,0.30931,0.51945,0.55316,0.09443,0.0008614,0.0008614,0.0008614
23,5386.64,0.63323,0.56969,0.10856,0.52319,0.55145,0.52592,0.31704,0.51056,0.55606,0.09165,0.0008548,0.0008548,0.0008548
24,5618.76,0.61171,0.5498,0.10078,0.56662,0.52893,0.53573,0.32252,0.51818,0.56365,0.09579,0.0008482,0.0008482,0.0008482
25,5851.79,0.61203,0.55182,0.10057,0.5591,0.55576,0.54822,0.33187,0.49941,0.54033,0.09033,0.0008416,0.0008416,0.0008416
26,6083.88,0.60767,0.55995,0.1012,0.52128,0.49426,0.47595,0.27608,0.5986,0.59325,0.12071,0.000835,0.000835,0.000835
27,6315.99,0.61089,0.54405,0.10136,0.58919,0.56449,0.57309,0.34942,0.49007,0.53286,0.08555,0.0008284,0.0008284,0.0008284
28,6548.5,0.5948,0.53301,0.09416,0.63959,0.58679,0.61389,0.37305,0.48502,0.51348,0.08322,0.0008218,0.0008218,0.0008218
29,6780.97,0.59072,0.5338,0.09559,0.64826,0.55791,0.59241,0.35791,0.48826,0.52817,0.08384,0.0008152,0.0008152,0.0008152
30,7015.77,0.58877,0.52056,0.09282,0.68237,0.57762,0.62439,0.37669,0.48513,0.50845,0.08513,0.0008086,0.0008086,0.0008086
31,7252.57,0.57866,0.52231,0.09059,0.6704,0.61283,0.64559,0.39215,0.46733,0.50814,0.08106,0.000802,0.000802,0.000802
32,7484.82,0.58137,0.52045,0.08906,0.66162,0.6077,0.62855,0.37314,0.49425,0.51473,0.0884,0.0007954,0.0007954,0.0007954
33,7717.72,0.56578,0.52412,0.08862,0.63604,0.64225,0.66148,0.41321,0.45985,0.49322,0.07646,0.0007888,0.0007888,0.0007888
34,7950.75,0.57024,0.5214,0.0886,0.72125,0.60368,0.66797,0.41608,0.46384,0.48498,0.07673,0.0007822,0.0007822,0.0007822
35,8187.54,0.56291,0.50938,0.08636,0.72022,0.62356,0.67149,0.41893,0.45936,0.48743,0.07581,0.0007756,0.0007756,0.0007756
36,8420.89,0.56908,0.51656,0.08889,0.67605,0.67409,0.69034,0.42931,0.4629,0.48281,0.07916,0.000769,0.000769,0.000769
37,8653.14,0.55006,0.50951,0.08529,0.64284,0.64497,0.6621,0.40898,0.46826,0.5007,0.08023,0.0007624,0.0007624,0.0007624
38,8885.64,0.54581,0.49985,0.0849,0.74966,0.65697,0.71904,0.4431,0.44702,0.47398,0.07501,0.0007558,0.0007558,0.0007558
39,9118.77,0.5402,0.4973,0.08358,0.75679,0.62342,0.70597,0.43588,0.45521,0.47696,0.07742,0.0007492,0.0007492,0.0007492
40,9355.09,0.53894,0.49267,0.08293,0.71446,0.68002,0.72794,0.44691,0.45267,0.46563,0.07506,0.0007426,0.0007426,0.0007426
41,9591.17,0.54613,0.49378,0.08191,0.77184,0.65987,0.72817,0.44838,0.44311,0.4732,0.07324,0.000736,0.000736,0.000736
42,9823.84,0.53923,0.50385,0.08091,0.71429,0.65291,0.71335,0.43898,0.4421,0.47862,0.07299,0.0007294,0.0007294,0.0007294
43,10055.7,0.52849,0.49298,0.07816,0.77017,0.66054,0.71946,0.44752,0.44141,0.4653,0.07038,0.0007228,0.0007228,0.0007228
44,10288.1,0.52754,0.49189,0.07846,0.77992,0.65777,0.7345,0.45568,0.44105,0.46596,0.07168,0.0007162,0.0007162,0.0007162
45,10524,0.51609,0.48375,0.07637,0.75899,0.6757,0.73724,0.46647,0.44112,0.47097,0.07193,0.0007096,0.0007096,0.0007096
46,10759.3,0.52501,0.4902,0.08035,0.70881,0.67508,0.70866,0.44412,0.45723,0.48043,0.07855,0.000703,0.000703,0.000703
47,10991.5,0.51876,0.48286,0.07449,0.75682,0.68094,0.73606,0.46267,0.43652,0.46336,0.07076,0.0006964,0.0006964,0.0006964
48,11224.4,0.52316,0.49019,0.07838,0.77124,0.6826,0.7517,0.46747,0.43526,0.45561,0.07222,0.0006898,0.0006898,0.0006898
49,11456.6,0.51242,0.47708,0.07458,0.71919,0.70184,0.73897,0.46909,0.43004,0.46153,0.06975,0.0006832,0.0006832,0.0006832
50,11691.9,0.5062,0.47757,0.07324,0.82597,0.68039,0.76489,0.48863,0.42788,0.44643,0.06968,0.0006766,0.0006766,0.0006766
51,11927.9,0.50581,0.46879,0.07249,0.8008,0.75439,0.79753,0.50156,0.42146,0.44082,0.06795,0.00067,0.00067,0.00067
52,12160.3,0.50717,0.47344,0.07326,0.78604,0.73644,0.77954,0.48802,0.42174,0.44923,0.06827,0.0006634,0.0006634,0.0006634
53,12392.9,0.50431,0.46799,0.07276,0.74033,0.70655,0.74714,0.47394,0.42272,0.45923,0.06822,0.0006568,0.0006568,0.0006568
54,12625,0.50541,0.47274,0.07362,0.79658,0.72849,0.77886,0.4952,0.42105,0.44455,0.06743,0.0006502,0.0006502,0.0006502
55,12857.1,0.49434,0.46612,0.07195,0.8253,0.73974,0.80215,0.50853,0.41935,0.43249,0.06639,0.0006436,0.0006436,0.0006436
56,13090.1,0.4986,0.47732,0.07359,0.77883,0.7288,0.77073,0.4937,0.42271,0.4432,0.06866,0.000637,0.000637,0.000637
57,13322,0.49172,0.46669,0.06854,0.81059,0.70633,0.78281,0.50107,0.42056,0.43671,0.06755,0.0006304,0.0006304,0.0006304
58,13554.1,0.48685,0.46231,0.06704,0.79576,0.73333,0.77723,0.49866,0.41156,0.43842,0.06431,0.0006238,0.0006238,0.0006238
59,13787.6,0.48446,0.46436,0.07029,0.79336,0.74025,0.79385,0.50495,0.42173,0.4409,0.06856,0.0006172,0.0006172,0.0006172
60,14020,0.48974,0.46128,0.07012,0.80666,0.76437,0.80633,0.51221,0.41536,0.43391,0.06568,0.0006106,0.0006106,0.0006106
