epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,252.653,1.82762,0.64553,0.71376,0.38101,0.06185,0.0236,0.00723,nan,nan,nan,0.00033288,0.00033288,0.00033288
2,498.611,1.24505,0.53525,0.32482,0.42824,0.10671,0.07781,0.03193,nan,nan,nan,0.000661816,0.000661816,0.000661816
3,743.259,1.12122,0.58815,0.27613,0.68523,0.13506,0.10977,0.05201,0.90257,0.66619,0.25411,0.000986352,0.000986352,0.000986352
4,984.388,1.02008,0.60546,0.22641,0.34992,0.24376,0.17879,0.08224,0.78625,0.69794,0.17664,0.0009802,0.0009802,0.0009802
5,1222.52,0.9771,0.59645,0.21703,0.27606,0.20645,0.15691,0.07734,0.88254,0.65601,0.24207,0.0009736,0.0009736,0.0009736
6,1460.84,0.94785,0.61234,0.2018,0.40127,0.24472,0.222,0.10691,0.71336,0.69447,0.1587,0.000967,0.000967,0.000967
7,1699.09,0.87705,0.60818,0.17923,0.35437,0.32516,0.2686,0.13351,0.67055,0.66966,0.13053,0.0009604,0.0009604,0.0009604
8,1982.85,0.84152,0.59834,0.16494,0.38335,0.37036,0.30313,0.16446,0.65592,0.61842,0.12893,0.0009538,0.0009538,0.0009538
9,2283.01,0.80311,0.59613,0.14965,0.38323,0.39665,0.34055,0.18206,0.61754,0.62258,0.11699,0.0009472,0.0009472,0.0009472
10,2582.79,0.77468,0.56393,0.14157,0.45732,0.40361,0.38976,0.21805,0.57958,0.59889,0.10747,0.0009406,0.0009406,0.0009406
11,2881.55,0.73311,0.57394,0.13045,0.41047,0.40083,0.3701,0.19836,0.57916,0.61655,0.10717,0.000934,0.000934,0.000934
12,3177.16,0.72162,0.56293,0.12881,0.4845,0.41521,0.39822,0.21865,0.5877,0.63552,0.10821,0.0009274,0.0009274,0.0009274
13,3472.81,0.71586,0.55806,0.12462,0.5553,0.43963,0.43618,0.24957,0.55135,0.60445,0.10041,0.0009208,0.0009208,0.0009208
14,3768.18,0.67637,0.56684,0.11551,0.55293,0.4882,0.48292,0.26854,0.55599,0.56222,0.09617,0.0009142,0.0009142,0.0009142
15,4062.87,0.67568,0.57005,0.11468,0.53912,0.47986,0.47508,0.27137,0.53767,0.56444,0.09708,0.0009076,0.0009076,0.0009076
