epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,253.525,1.78848,0.63041,0.67853,0.54685,0.06958,0.02351,0.00659,nan,nan,nan,0.00033288,0.00033288,0.00033288
2,494.587,1.21722,0.57057,0.32084,0.75542,0.10515,0.07487,0.03253,0.89325,0.75428,0.23625,0.000661816,0.000661816,0.000661816
3,735.424,1.09333,0.60044,0.26155,0.78084,0.131,0.11741,0.05273,0.85864,0.77368,0.20495,0.000986352,0.000986352,0.000986352
4,977.38,1.02534,0.61773,0.22913,0.47187,0.18511,0.15402,0.07509,0.78942,0.72946,0.1846,0.0009802,0.0009802,0.0009802
5,1216.21,0.95167,0.59979,0.20791,0.47883,0.22991,0.22521,0.11114,0.76133,0.65978,0.16811,0.0009736,0.0009736,0.0009736
6,1456.34,0.88607,0.59375,0.1771,0.34533,0.35932,0.2887,0.14391,0.66393,0.63376,0.13294,0.000967,0.000967,0.000967
7,1700.55,0.8426,0.57924,0.16561,0.43909,0.33127,0.31203,0.16053,0.67509,0.61528,0.14693,0.0009604,0.0009604,0.0009604
8,1941.22,0.82762,0.56479,0.15818,0.43472,0.37277,0.35002,0.19349,0.62088,0.59997,0.12005,0.0009538,0.0009538,0.0009538
9,2184.28,0.76817,0.55962,0.13707,0.49619,0.42819,0.40228,0.22238,0.59792,0.58245,0.11361,0.0009472,0.0009472,0.0009472
10,2422.98,0.78784,0.57316,0.14808,0.47618,0.42994,0.41402,0.22639,0.60034,0.58101,0.11203,0.0009406,0.0009406,0.0009406
11,2661.82,0.73855,0.55879,0.13138,0.4671,0.4292,0.41801,0.23344,0.57744,0.60344,0.11474,0.000934,0.000934,0.000934
12,2902.6,0.71317,0.55155,0.12386,0.51799,0.46424,0.45005,0.24851,0.55771,0.56646,0.1023,0.0009274,0.0009274,0.0009274
13,3144.54,0.69219,0.54975,0.11606,0.53409,0.46343,0.44916,0.24844,0.56665,0.57543,0.10243,0.0009208,0.0009208,0.0009208
14,3382.89,0.66935,0.55024,0.1098,0.51437,0.45515,0.45669,0.26448,0.53774,0.57121,0.09694,0.0009142,0.0009142,0.0009142
15,3624.5,0.6737,0.54277,0.11229,0.57016,0.46562,0.47217,0.25315,0.59151,0.57505,0.10806,0.0009076,0.0009076,0.0009076
16,3864.23,0.65947,0.54666,0.1093,0.54234,0.49812,0.49185,0.28876,0.5427,0.5532,0.10253,0.000901,0.000901,0.000901
17,4104.97,0.65528,0.54323,0.10928,0.56438,0.48785,0.49533,0.2994,0.52648,0.53919,0.09583,0.0008944,0.0008944,0.0008944
18,4349.56,0.63009,0.53035,0.10196,0.63645,0.53382,0.55171,0.32874,0.50408,0.52342,0.08733,0.0008878,0.0008878,0.0008878
19,4593.54,0.62216,0.53754,0.09772,0.63136,0.51646,0.5238,0.30867,0.49918,0.54037,0.08616,0.0008812,0.0008812,0.0008812
20,4840.64,0.60165,0.53035,0.09313,0.59244,0.55226,0.56742,0.33324,0.48595,0.52085,0.08315,0.0008746,0.0008746,0.0008746
21,5079.67,0.61241,0.52261,0.09597,0.60006,0.54988,0.56408,0.34481,0.49509,0.52362,0.08489,0.000868,0.000868,0.000868
22,5317.83,0.59119,0.51879,0.09134,0.71936,0.56822,0.62929,0.37766,0.48098,0.48719,0.08018,0.0008614,0.0008614,0.0008614
23,5556.74,0.58867,0.5406,0.09247,0.67867,0.5508,0.58399,0.34742,0.49226,0.51609,0.08671,0.0008548,0.0008548,0.0008548
24,5795.54,0.56822,0.50869,0.08615,0.72189,0.58182,0.64418,0.38964,0.46865,0.48889,0.07882,0.0008482,0.0008482,0.0008482
25,6033.8,0.56947,0.51755,0.08748,0.6057,0.57206,0.61851,0.37616,0.46978,0.50805,0.07873,0.0008416,0.0008416,0.0008416
26,6272.31,0.56553,0.51867,0.087,0.64215,0.63025,0.64287,0.39606,0.46185,0.49113,0.07702,0.000835,0.000835,0.000835
27,6510.76,0.55735,0.50179,0.08253,0.70397,0.61292,0.66241,0.40917,0.45286,0.47857,0.07573,0.0008284,0.0008284,0.0008284
28,6749.02,0.54642,0.49327,0.07976,0.71026,0.65867,0.68768,0.42813,0.44655,0.47467,0.07294,0.0008218,0.0008218,0.0008218
29,6987.68,0.54083,0.49132,0.08048,0.71315,0.63016,0.68013,0.41963,0.44451,0.47041,0.07246,0.0008152,0.0008152,0.0008152
30,7229.1,0.53853,0.48951,0.07772,0.74467,0.6421,0.7002,0.43063,0.44957,0.46964,0.07392,0.0008086,0.0008086,0.0008086
31,7471.71,0.52882,0.48435,0.07675,0.72158,0.67451,0.7025,0.43949,0.44214,0.4648,0.07375,0.000802,0.000802,0.000802
32,7710.13,0.54605,0.49267,0.07893,0.71536,0.67379,0.70144,0.44032,0.44568,0.45867,0.0735,0.0007954,0.0007954,0.0007954
33,7948.97,0.52787,0.48842,0.07753,0.72039,0.65998,0.7144,0.44583,0.44217,0.46928,0.07254,0.0007888,0.0007888,0.0007888
34,8187.08,0.52482,0.48655,0.07622,0.73174,0.65669,0.72429,0.45349,0.4346,0.45701,0.07081,0.0007822,0.0007822,0.0007822
35,8426.15,0.52441,0.48014,0.07545,0.70058,0.65294,0.69176,0.43025,0.44674,0.46525,0.07534,0.0007756,0.0007756,0.0007756
36,8665.09,0.52214,0.48408,0.07618,0.71005,0.69036,0.72487,0.46362,0.43439,0.44478,0.07212,0.000769,0.000769,0.000769
37,8905.53,0.50594,0.47186,0.07291,0.74527,0.70258,0.74991,0.47737,0.4315,0.44419,0.07025,0.0007624,0.0007624,0.0007624
38,9147.85,0.50045,0.47095,0.07221,0.78564,0.70802,0.76701,0.48524,0.42703,0.43839,0.07001,0.0007558,0.0007558,0.0007558
39,9389.46,0.50115,0.4718,0.0723,0.73668,0.69568,0.73973,0.47389,0.42886,0.4473,0.06956,0.0007492,0.0007492,0.0007492
40,9629.92,0.50366,0.47632,0.07205,0.72126,0.68788,0.73295,0.47763,0.42413,0.46586,0.06997,0.0007426,0.0007426,0.0007426
41,9876.29,0.50727,0.47435,0.07132,0.76095,0.69726,0.75089,0.47977,0.42232,0.44324,0.06975,0.000736,0.000736,0.000736
42,10115.2,0.4955,0.46854,0.07009,0.77498,0.69216,0.75609,0.48545,0.41957,0.44036,0.06821,0.0007294,0.0007294,0.0007294
43,10353.3,0.48832,0.46481,0.06902,0.79564,0.71523,0.77532,0.49822,0.41628,0.43611,0.06708,0.0007228,0.0007228,0.0007228
44,10594,0.48272,0.46531,0.06761,0.7602,0.73132,0.7712,0.49202,0.41579,0.43904,0.06563,0.0007162,0.0007162,0.0007162
45,10834.6,0.48062,0.4619,0.06858,0.75326,0.73807,0.77626,0.50068,0.42201,0.43078,0.06652,0.0007096,0.0007096,0.0007096
46,11076.3,0.47937,0.46268,0.06755,0.76927,0.72728,0.76349,0.48475,0.42174,0.43738,0.06762,0.000703,0.000703,0.000703
47,11317.1,0.48463,0.47285,0.06661,0.75434,0.73487,0.75393,0.48541,0.41961,0.43508,0.06779,0.0006964,0.0006964,0.0006964
48,11566,0.48175,0.46273,0.06789,0.79121,0.71888,0.77486,0.49831,0.41034,0.43821,0.06532,0.0006898,0.0006898,0.0006898
49,11811.3,0.48145,0.46349,0.06648,0.79321,0.72794,0.78795,0.51131,0.41689,0.42717,0.06684,0.0006832,0.0006832,0.0006832
50,12049.9,0.46591,0.45062,0.0638,0.7993,0.74895,0.78801,0.5132,0.40795,0.42016,0.06415,0.0006766,0.0006766,0.0006766
51,12289.7,0.47599,0.45856,0.06614,0.7938,0.74982,0.79043,0.51338,0.40886,0.42794,0.0657,0.00067,0.00067,0.00067
52,12527.9,0.46816,0.44777,0.06522,0.79332,0.73445,0.78426,0.51835,0.40904,0.4196,0.06444,0.0006634,0.0006634,0.0006634
53,12766.3,0.48047,0.45501,0.06876,0.77839,0.71455,0.78048,0.50278,0.41684,0.43456,0.07009,0.0006568,0.0006568,0.0006568
54,13005.5,0.48585,0.46064,0.06881,0.81785,0.72909,0.78277,0.49354,0.41256,0.43319,0.06607,0.0006502,0.0006502,0.0006502
55,13243.7,0.47281,0.45899,0.06724,0.79997,0.76248,0.79954,0.51989,0.40202,0.41952,0.06294,0.0006436,0.0006436,0.0006436
56,13482.1,0.47267,0.46045,0.06772,0.77648,0.74808,0.78759,0.50751,0.40631,0.43063,0.06433,0.000637,0.000637,0.000637
57,13721.2,0.46251,0.44879,0.06256,0.77254,0.75894,0.78705,0.5072,0.40813,0.42406,0.0645,0.0006304,0.0006304,0.0006304
58,13960,0.46926,0.45035,0.06405,0.80345,0.75465,0.80665,0.52051,0.40507,0.42332,0.06531,0.0006238,0.0006238,0.0006238
59,14199.2,0.45468,0.44398,0.06377,0.80136,0.77265,0.82057,0.54001,0.39904,0.41724,0.06185,0.0006172,0.0006172,0.0006172
60,14438.5,0.45626,0.44772,0.06249,0.79205,0.77701,0.80985,0.51399,0.40024,0.42263,0.0619,0.0006106,0.0006106,0.0006106
61,14677.3,0.45822,0.45093,0.06287,0.80156,0.76284,0.814,0.52824,0.40032,0.4214,0.06285,0.000604,0.000604,0.000604
62,14916.5,0.46326,0.44698,0.0656,0.80386,0.76979,0.81333,0.53158,0.40184,0.41928,0.06251,0.0005974,0.0005974,0.0005974
63,15156,0.45629,0.44721,0.06344,0.80237,0.74125,0.80194,0.5227,0.40396,0.4225,0.06335,0.0005908,0.0005908,0.0005908
64,15394.6,0.45689,0.44722,0.0627,0.81678,0.77605,0.81405,0.54285,0.39452,0.41592,0.06189,0.0005842,0.0005842,0.0005842
65,15633.1,0.44903,0.43685,0.0608,0.83069,0.75256,0.82062,0.54289,0.39384,0.41274,0.06158,0.0005776,0.0005776,0.0005776
66,15872.4,0.45354,0.44495,0.06114,0.8317,0.77072,0.82217,0.54161,0.39463,0.42154,0.06146,0.000571,0.000571,0.000571
