epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,246.685,1.78583,0.69592,0.68466,0.71414,0.07391,0.03459,0.01235,1.07541,0.6828,0.33768,0.00033288,0.00033288,0.00033288
2,486.109,1.21421,0.55783,0.31891,0.62518,0.10089,0.08825,0.03327,0.97993,0.68941,0.27189,0.000661816,0.000661816,0.000661816
3,725.106,1.08637,0.60616,0.2606,0.49316,0.16344,0.13028,0.0593,0.82432,0.74974,0.19806,0.000986352,0.000986352,0.000986352
4,960.327,1.01483,0.61052,0.2246,0.48959,0.18933,0.17346,0.08709,0.75549,0.72407,0.17896,0.0009802,0.0009802,0.0009802
5,1196.07,0.91796,0.62609,0.19399,0.24349,0.24162,0.18663,0.09276,0.70757,0.72136,0.15837,0.0009736,0.0009736,0.0009736
6,1428.49,0.8881,0.60307,0.17999,0.41941,0.29414,0.25893,0.12882,0.67557,0.71563,0.13849,0.000967,0.000967,0.000967
7,1660.83,0.84471,0.59094,0.16632,0.35263,0.35916,0.29115,0.15214,0.62965,0.6508,0.12079,0.0009604,0.0009604,0.0009604
8,1893.4,0.80119,0.5958,0.15205,0.41543,0.35382,0.31958,0.16974,0.67112,0.64874,0.13776,0.0009538,0.0009538,0.0009538
9,2125.56,0.76785,0.58254,0.13867,0.44994,0.34509,0.33354,0.17225,0.63444,0.61093,0.12754,0.0009472,0.0009472,0.0009472
10,2357.36,0.74819,0.57662,0.13276,0.49717,0.4156,0.40846,0.22507,0.59379,0.58098,0.11081,0.0009406,0.0009406,0.0009406
11,2589.43,0.71729,0.56241,0.12637,0.43561,0.44873,0.41763,0.23109,0.58372,0.57518,0.11587,0.000934,0.000934,0.000934
12,2821.21,0.70545,0.55678,0.12227,0.54507,0.43902,0.44484,0.24026,0.5612,0.56512,0.1023,0.0009274,0.0009274,0.0009274
13,3052.97,0.68499,0.551,0.11609,0.53136,0.45752,0.45685,0.25156,0.54402,0.58048,0.10156,0.0009208,0.0009208,0.0009208
14,3285.58,0.65726,0.54971,0.10892,0.56541,0.50462,0.51083,0.29444,0.52172,0.5424,0.09361,0.0009142,0.0009142,0.0009142
15,3517.72,0.64891,0.53942,0.1058,0.59796,0.49982,0.52092,0.30294,0.52325,0.53631,0.09397,0.0009076,0.0009076,0.0009076
16,3750.09,0.63365,0.54575,0.10239,0.58519,0.51852,0.53476,0.32266,0.50286,0.53675,0.08755,0.000901,0.000901,0.000901
17,3982.51,0.63229,0.55531,0.10257,0.49886,0.50047,0.48677,0.28893,0.53065,0.54887,0.09705,0.0008944,0.0008944,0.0008944
18,4214.62,0.65922,0.53793,0.11234,0.53889,0.49832,0.49561,0.2896,0.51324,0.53636,0.08917,0.0008878,0.0008878,0.0008878
19,4445.83,0.63076,0.53216,0.10122,0.66383,0.5011,0.56463,0.32833,0.51702,0.50816,0.09788,0.0008812,0.0008812,0.0008812
