epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,255.264,1.73201,0.71952,0.63448,0.72668,0.06117,0.02944,0.00924,nan,nan,nan,0.00033288,0.00033288,0.00033288
2,506.582,1.21446,0.55373,0.32514,0.75429,0.12562,0.07978,0.03275,0.90176,0.76356,0.25489,0.000661816,0.000661816,0.000661816
3,752.613,1.07265,0.59036,0.25167,0.66395,0.13749,0.10952,0.05036,0.84304,0.74511,0.21929,0.000986352,0.000986352,0.000986352
4,995.266,0.99222,0.61082,0.21851,0.46972,0.22745,0.18042,0.08379,0.77769,0.71665,0.1718,0.0009802,0.0009802,0.0009802
5,1237.71,0.90553,0.63564,0.19095,0.47236,0.24551,0.21885,0.10414,0.71415,0.68616,0.15659,0.0009736,0.0009736,0.0009736
6,1482.78,0.88187,0.60356,0.17789,0.48833,0.2926,0.2669,0.13857,0.67838,0.67061,0.14215,0.000967,0.000967,0.000967
7,1726.39,0.82085,0.62588,0.15764,0.45944,0.32643,0.29597,0.14724,0.65092,0.66127,0.12954,0.0009604,0.0009604,0.0009604
8,1969.14,0.80234,0.58499,0.14924,0.51013,0.35624,0.35434,0.18383,0.62997,0.63167,0.12285,0.0009538,0.0009538,0.0009538
9,2209.69,0.7605,0.58948,0.13533,0.3955,0.41697,0.34747,0.18792,0.62174,0.66863,0.12073,0.0009472,0.0009472,0.0009472
10,2449.79,0.74291,0.56995,0.12852,0.47828,0.45623,0.41604,0.22156,0.59573,0.57945,0.11287,0.0009406,0.0009406,0.0009406
11,2689.74,0.71841,0.58539,0.12375,0.4051,0.47616,0.40092,0.22365,0.56564,0.61037,0.10592,0.000934,0.000934,0.000934
12,2927.79,0.70055,0.56665,0.12087,0.54372,0.43405,0.44633,0.25054,0.55786,0.58361,0.10223,0.0009274,0.0009274,0.0009274
13,3166.74,0.6842,0.55439,0.11485,0.55594,0.45951,0.49532,0.28262,0.53278,0.58901,0.09514,0.0009208,0.0009208,0.0009208
14,3405.35,0.65274,0.55551,0.10649,0.55949,0.47416,0.49681,0.28217,0.54084,0.55946,0.10256,0.0009142,0.0009142,0.0009142
15,3643.96,0.64862,0.55514,0.10701,0.5676,0.50273,0.51436,0.30054,0.52297,0.54134,0.09321,0.0009076,0.0009076,0.0009076
16,3883.18,0.62881,0.54404,0.10053,0.60196,0.50392,0.52678,0.30886,0.5122,0.52776,0.08961,0.000901,0.000901,0.000901
17,4121.79,0.6129,0.53727,0.09807,0.6102,0.55574,0.58245,0.34154,0.49156,0.52138,0.08507,0.0008944,0.0008944,0.0008944
18,4359.91,0.62566,0.53735,0.10064,0.60314,0.54457,0.5641,0.33219,0.49759,0.53223,0.08505,0.0008878,0.0008878,0.0008878
19,4598.61,0.60268,0.52991,0.09386,0.64438,0.54815,0.58138,0.34023,0.49268,0.52274,0.08937,0.0008812,0.0008812,0.0008812
20,4836.94,0.59345,0.52489,0.09181,0.65611,0.53259,0.58449,0.34183,0.49518,0.52512,0.08721,0.0008746,0.0008746,0.0008746
21,5075.37,0.59091,0.51961,0.09027,0.63051,0.5884,0.60832,0.35615,0.48031,0.52566,0.07934,0.000868,0.000868,0.000868
22,5313.68,0.58065,0.50799,0.08832,0.6869,0.59347,0.63903,0.37895,0.46719,0.49334,0.07661,0.0008614,0.0008614,0.0008614
23,5552.06,0.57005,0.50468,0.08726,0.6191,0.59635,0.61026,0.35821,0.48696,0.49897,0.08535,0.0008548,0.0008548,0.0008548
24,5790.36,0.56329,0.5052,0.08464,0.69999,0.59134,0.65152,0.39578,0.46586,0.49224,0.07807,0.0008482,0.0008482,0.0008482
25,6029.21,0.56158,0.50609,0.08494,0.69058,0.5971,0.64811,0.39316,0.4572,0.48871,0.07579,0.0008416,0.0008416,0.0008416
26,6267.44,0.55349,0.49641,0.08291,0.67714,0.63856,0.66034,0.40158,0.45845,0.47662,0.07672,0.000835,0.000835,0.000835
27,6505.77,0.552,0.49461,0.08058,0.69261,0.62699,0.66788,0.40426,0.45678,0.47679,0.07692,0.0008284,0.0008284,0.0008284
28,6744.78,0.53802,0.48538,0.07701,0.71756,0.65713,0.68828,0.42564,0.44538,0.4679,0.07277,0.0008218,0.0008218,0.0008218
29,6982.98,0.52901,0.47789,0.0761,0.76051,0.66085,0.70134,0.4407,0.43531,0.46192,0.0696,0.0008152,0.0008152,0.0008152
