epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,246.339,1.86426,0.63251,0.74423,0.56315,0.06713,0.0304,0.00918,1.14469,0.61903,0.37469,0.00033288,0.00033288,0.00033288
2,483.543,1.22118,0.55768,0.3235,0.66962,0.12682,0.07343,0.03073,0.94087,0.78408,0.26713,0.000661816,0.000661816,0.000661816
3,723.059,1.12033,0.59129,0.27552,0.51617,0.14019,0.10108,0.04927,0.85837,0.79488,0.21321,0.000986352,0.000986352,0.000986352
4,961.027,1.02536,0.6094,0.22761,0.42421,0.18925,0.17456,0.08034,0.77506,0.72869,0.17178,0.0009802,0.0009802,0.0009802
5,1198.51,0.93711,0.61178,0.19866,0.57097,0.19639,0.20249,0.09639,0.71791,0.70696,0.14899,0.0009736,0.0009736,0.0009736
6,1435.21,0.89445,0.60416,0.18096,0.34558,0.3221,0.24361,0.12084,0.69716,0.72193,0.14253,0.000967,0.000967,0.000967
7,1670.97,0.88182,0.60997,0.17812,0.38743,0.3179,0.27502,0.13639,0.68379,0.64525,0.14115,0.0009604,0.0009604,0.0009604
8,1908.2,0.82683,0.5858,0.15759,0.42023,0.36547,0.31876,0.17001,0.6585,0.6199,0.13253,0.0009538,0.0009538,0.0009538
9,2147.26,0.78408,0.57711,0.14202,0.37681,0.42774,0.34841,0.18926,0.62041,0.63396,0.11988,0.0009472,0.0009472,0.0009472
10,2383.72,0.76281,0.57037,0.13607,0.43189,0.37413,0.34717,0.1894,0.62378,0.60428,0.12096,0.0009406,0.0009406,0.0009406
11,2620.63,0.74067,0.58252,0.1315,0.45787,0.43426,0.38113,0.2086,0.58922,0.6113,0.11255,0.000934,0.000934,0.000934
12,2856.19,0.71611,0.56241,0.12455,0.50727,0.41535,0.42375,0.2383,0.56303,0.57887,0.10269,0.0009274,0.0009274,0.0009274
13,3092.94,0.69067,0.56023,0.11406,0.49742,0.46095,0.43367,0.24229,0.55105,0.58235,0.10105,0.0009208,0.0009208,0.0009208
14,3328.98,0.6791,0.56378,0.11245,0.4936,0.42254,0.43195,0.24777,0.55667,0.61683,0.10588,0.0009142,0.0009142,0.0009142
15,3564.88,0.65789,0.55191,0.1068,0.56092,0.45559,0.48569,0.28924,0.54795,0.54862,0.09708,0.0009076,0.0009076,0.0009076
16,3799.06,0.64352,0.55008,0.10448,0.53382,0.51187,0.49327,0.29097,0.52943,0.55092,0.09511,0.000901,0.000901,0.000901
17,4035.49,0.63603,0.54814,0.10294,0.58006,0.50881,0.53645,0.31352,0.51019,0.53245,0.08796,0.0008944,0.0008944,0.0008944
18,4267.66,0.62675,0.53879,0.10022,0.60952,0.52621,0.54283,0.31614,0.51043,0.52616,0.09217,0.0008878,0.0008878,0.0008878
19,4503.7,0.61632,0.53066,0.09732,0.64114,0.53566,0.58455,0.34441,0.4926,0.51938,0.08316,0.0008812,0.0008812,0.0008812
20,4740.05,0.59637,0.52305,0.09291,0.61639,0.54736,0.58639,0.33373,0.49897,0.52543,0.08722,0.0008746,0.0008746,0.0008746
21,4972.6,0.59068,0.51714,0.09095,0.65119,0.56955,0.61116,0.36308,0.48291,0.49927,0.08268,0.000868,0.000868,0.000868
22,5204.52,0.58777,0.51965,0.09014,0.66985,0.58918,0.62182,0.36391,0.47984,0.49192,0.0829,0.0008614,0.0008614,0.0008614
