epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,246.605,1.81326,0.63915,0.70422,0.72942,0.06236,0.03335,0.01143,1.16551,0.64932,0.37142,0.00033288,0.00033288,0.00033288
2,483.845,1.21977,0.55604,0.32321,0.61804,0.11401,0.07421,0.02733,0.98767,0.70487,0.2446,0.000661816,0.000661816,0.000661816
3,715.602,1.09711,0.60856,0.25925,0.6077,0.12812,0.09373,0.0437,0.89508,0.76728,0.21477,0.000986352,0.000986352,0.000986352
4,946.464,1.01533,0.61589,0.21796,0.53978,0.19525,0.15751,0.07137,0.83471,0.76098,0.19458,0.0009802,0.0009802,0.0009802
5,1177.86,0.95955,0.61328,0.2073,0.65491,0.16781,0.1848,0.09233,0.74418,0.72215,0.15904,0.0009736,0.0009736,0.0009736
6,1411.19,0.90582,0.61109,0.18406,0.44793,0.26295,0.23618,0.11311,0.70178,0.71257,0.15127,0.000967,0.000967,0.000967
7,1647.55,0.87664,0.60778,0.17779,0.40432,0.32348,0.27475,0.13452,0.71752,0.63168,0.14912,0.0009604,0.0009604,0.0009604
8,1883.34,0.8343,0.58745,0.15923,0.45582,0.33631,0.31375,0.16356,0.65143,0.62812,0.12451,0.0009538,0.0009538,0.0009538
9,2118.13,0.78837,0.57595,0.14117,0.50166,0.34059,0.32338,0.17436,0.62258,0.6321,0.12042,0.0009472,0.0009472,0.0009472
10,2349.29,0.76716,0.55577,0.13672,0.46091,0.42718,0.39803,0.21973,0.59891,0.57258,0.11284,0.0009406,0.0009406,0.0009406
11,2580.88,0.73597,0.56402,0.12996,0.50246,0.45419,0.43166,0.23583,0.56955,0.57332,0.10462,0.000934,0.000934,0.000934
12,2811.81,0.72539,0.55303,0.12624,0.50898,0.4089,0.40342,0.22764,0.57015,0.57009,0.10638,0.0009274,0.0009274,0.0009274
13,3043.06,0.70867,0.54535,0.12016,0.51346,0.44913,0.43949,0.24864,0.55173,0.56351,0.09834,0.0009208,0.0009208,0.0009208
14,3274.4,0.68231,0.55139,0.11495,0.57316,0.47753,0.48164,0.26892,0.54838,0.55397,0.09878,0.0009142,0.0009142,0.0009142
15,3507.69,0.6668,0.53975,0.11158,0.6306,0.48216,0.52932,0.30749,0.52827,0.53897,0.09306,0.0009076,0.0009076,0.0009076
16,3742.99,0.646,0.53203,0.10298,0.5977,0.51099,0.53028,0.29552,0.53386,0.53906,0.09411,0.000901,0.000901,0.000901
17,3976.82,0.64181,0.5338,0.10299,0.56451,0.54929,0.55644,0.3292,0.51047,0.51509,0.08785,0.0008944,0.0008944,0.0008944
18,4211.26,0.62629,0.51933,0.09849,0.57962,0.55933,0.54919,0.33011,0.4982,0.50807,0.0855,0.0008878,0.0008878,0.0008878
19,4442.52,0.62536,0.52954,0.09785,0.65821,0.509,0.5566,0.32102,0.51067,0.51768,0.08989,0.0008812,0.0008812,0.0008812
20,4673.41,0.61712,0.52722,0.09606,0.66219,0.54461,0.57761,0.3373,0.5003,0.51114,0.08759,0.0008746,0.0008746,0.0008746
21,4903.92,0.6131,0.52344,0.09629,0.56909,0.54066,0.53955,0.31894,0.50471,0.51706,0.09085,0.000868,0.000868,0.000868
22,5135.43,0.58469,0.50995,0.08943,0.65022,0.57661,0.61128,0.37495,0.47472,0.47814,0.0802,0.0008614,0.0008614,0.0008614
23,5366.93,0.58666,0.51806,0.09222,0.68916,0.55887,0.61691,0.37682,0.488,0.4954,0.08257,0.0008548,0.0008548,0.0008548
24,5598.14,0.57779,0.50756,0.08821,0.63283,0.56968,0.6039,0.3604,0.4946,0.49992,0.08424,0.0008482,0.0008482,0.0008482
25,5829.56,0.57253,0.50796,0.08699,0.67649,0.61221,0.64829,0.39875,0.46455,0.47617,0.0788,0.0008416,0.0008416,0.0008416
26,6064.44,0.55774,0.50872,0.08501,0.66447,0.60683,0.64885,0.39427,0.46894,0.484,0.07884,0.000835,0.000835,0.000835
27,6295.24,0.56617,0.49423,0.08498,0.68125,0.6332,0.6578,0.40066,0.46043,0.47217,0.07856,0.0008284,0.0008284,0.0008284
28,6526.58,0.55184,0.49036,0.07975,0.72862,0.66413,0.70264,0.42855,0.45237,0.45988,0.0744,0.0008218,0.0008218,0.0008218
29,6759.96,0.5335,0.48075,0.0781,0.71714,0.65408,0.69789,0.42871,0.44756,0.46483,0.07337,0.0008152,0.0008152,0.0008152
30,6998.37,0.54476,0.48241,0.07826,0.73132,0.65422,0.70377,0.43317,0.45093,0.46528,0.07426,0.0008086,0.0008086,0.0008086
31,7229.79,0.5354,0.48287,0.07744,0.7199,0.6859,0.71268,0.43343,0.44416,0.45297,0.0718,0.000802,0.000802,0.000802
32,7460.67,0.53794,0.48125,0.07599,0.73666,0.67721,0.71389,0.44159,0.44296,0.45517,0.07275,0.0007954,0.0007954,0.0007954
33,7694.55,0.53006,0.48103,0.07703,0.72621,0.64679,0.70008,0.43644,0.44472,0.45078,0.07254,0.0007888,0.0007888,0.0007888
34,7932.91,0.52816,0.47627,0.07568,0.75847,0.6598,0.70955,0.44471,0.44262,0.44757,0.07219,0.0007822,0.0007822,0.0007822
35,8166.09,0.52505,0.47383,0.0747,0.76401,0.67222,0.73455,0.46296,0.43469,0.4476,0.06905,0.0007756,0.0007756,0.0007756
36,8401.63,0.50648,0.47005,0.0719,0.77779,0.69946,0.75287,0.47668,0.42786,0.43666,0.0702,0.000769,0.000769,0.000769
37,8635.4,0.50817,0.47064,0.07373,0.77322,0.69625,0.73906,0.46503,0.43725,0.44163,0.07154,0.0007624,0.0007624,0.0007624
38,8873.74,0.50889,0.47048,0.07374,0.7861,0.67243,0.73884,0.45697,0.43363,0.45487,0.06955,0.0007558,0.0007558,0.0007558
39,9112.1,0.50604,0.47609,0.07299,0.79063,0.68612,0.74355,0.46452,0.43609,0.45006,0.07165,0.0007492,0.0007492,0.0007492
