epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,261.19,1.85479,0.64607,0.73382,0.20294,0.04397,0.01571,0.00435,1.27666,0.52574,0.45645,0.00033288,0.00033288,0.00033288
2,515.631,1.3018,0.49804,0.36172,0.76556,0.09827,0.07162,0.0267,nan,nan,nan,0.000661816,0.000661816,0.000661816
3,766.656,1.13274,0.57794,0.27341,0.50089,0.16673,0.10859,0.04753,nan,nan,nan,0.000986352,0.000986352,0.000986352
4,1015.85,1.02701,0.6177,0.22359,0.47438,0.186,0.14049,0.0662,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,1264.89,0.98787,0.61073,0.21933,0.45915,0.19767,0.1853,0.08189,nan,nan,nan,0.0009736,0.0009736,0.0009736
6,1514.18,0.94484,0.59961,0.19331,0.36829,0.29151,0.25319,0.12034,nan,nan,nan,0.000967,0.000967,0.000967
7,1763.3,0.88907,0.59807,0.17927,0.40655,0.31682,0.28281,0.13821,0.70563,0.6335,0.14785,0.0009604,0.0009604,0.0009604
8,2012.69,0.86669,0.59859,0.17032,0.38386,0.33625,0.27547,0.13811,0.67229,0.70684,0.13288,0.0009538,0.0009538,0.0009538
9,2261.55,0.85329,0.59399,0.16445,0.36674,0.34063,0.29325,0.15122,nan,nan,nan,0.0009472,0.0009472,0.0009472
10,2510.26,0.80584,0.56304,0.14727,0.44346,0.37535,0.37041,0.20128,0.62561,0.59914,0.12098,0.0009406,0.0009406,0.0009406
11,2759.44,0.77427,0.56349,0.14078,0.44773,0.41259,0.38236,0.20686,0.60865,0.58163,0.117,0.000934,0.000934,0.000934
12,3008.96,0.74215,0.54824,0.13128,0.49654,0.41618,0.39937,0.22264,nan,nan,nan,0.0009274,0.0009274,0.0009274
13,3257.85,0.72473,0.55457,0.1237,0.50449,0.43101,0.42272,0.23556,0.57373,0.58449,0.10812,0.0009208,0.0009208,0.0009208
14,3506.85,0.69958,0.55074,0.1182,0.53639,0.44212,0.44779,0.25531,nan,nan,nan,0.0009142,0.0009142,0.0009142
15,3755.82,0.68771,0.54649,0.11589,0.56586,0.46233,0.47703,0.27665,0.56436,0.54373,0.10458,0.0009076,0.0009076,0.0009076
16,4004.55,0.66745,0.54125,0.10869,0.56463,0.50016,0.50543,0.28073,0.5365,0.55354,0.09557,0.000901,0.000901,0.000901
17,4253.23,0.6587,0.54489,0.10871,0.58046,0.4602,0.49325,0.29749,0.52805,0.53755,0.09406,0.0008944,0.0008944,0.0008944
18,4502.44,0.66344,0.53689,0.10869,0.6153,0.50416,0.52209,0.29836,0.53489,0.55998,0.09405,0.0008878,0.0008878,0.0008878
