epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,249.894,1.84055,0.64625,0.71678,0.71494,0.04739,0.0201,0.00546,1.2375,0.55609,0.41101,0.00033288,0.00033288,0.00033288
2,490.792,1.23543,0.54241,0.32355,0.7576,0.09837,0.07124,0.0289,0.94606,0.72297,0.24292,0.000661816,0.000661816,0.000661816
3,729.459,1.1019,0.59573,0.25928,0.66104,0.1263,0.10094,0.0481,0.83845,0.73322,0.1972,0.000986352,0.000986352,0.000986352
4,968.194,1.01986,0.61403,0.22907,0.5265,0.18399,0.15823,0.074,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,1210.72,0.93172,0.61258,0.20092,0.42716,0.23017,0.19768,0.10393,0.7163,0.71557,0.15308,0.0009736,0.0009736,0.0009736
6,1452.37,0.89305,0.60862,0.18262,0.58051,0.23402,0.25458,0.13103,0.70702,0.65208,0.15437,0.000967,0.000967,0.000967
7,1695.65,0.86537,0.58247,0.17647,0.41674,0.35192,0.279,0.14948,0.68127,0.62141,0.13965,0.0009604,0.0009604,0.0009604
8,1940.21,0.82688,0.57914,0.16127,0.3338,0.3791,0.27845,0.14318,0.66091,0.72875,0.1458,0.0009538,0.0009538,0.0009538
9,2178.77,0.79493,0.58706,0.1486,0.49597,0.36834,0.38077,0.2022,0.6063,0.63128,0.11628,0.0009472,0.0009472,0.0009472
10,2420.98,0.77352,0.56855,0.14101,0.4398,0.39161,0.37017,0.20577,0.60634,0.59423,0.11635,0.0009406,0.0009406,0.0009406
11,2663.43,0.76052,0.56106,0.14126,0.4321,0.39789,0.36189,0.20226,0.60529,0.59701,0.12022,0.000934,0.000934,0.000934
12,2901.95,0.73135,0.5568,0.13178,0.48002,0.44425,0.42931,0.24609,0.56924,0.56324,0.10556,0.0009274,0.0009274,0.0009274
13,3141.09,0.70516,0.55205,0.12099,0.48428,0.44436,0.41468,0.24325,0.57017,0.57879,0.11031,0.0009208,0.0009208,0.0009208
14,3382.03,0.69186,0.56427,0.12274,0.51621,0.45076,0.44686,0.25738,0.56937,0.58286,0.10925,0.0009142,0.0009142,0.0009142
15,3624.86,0.67287,0.55282,0.11509,0.56138,0.45888,0.47751,0.27137,0.58266,0.54482,0.11278,0.0009076,0.0009076,0.0009076
16,3878.74,0.65608,0.54467,0.10836,0.62673,0.49777,0.53739,0.30877,0.53061,0.52678,0.09283,0.000901,0.000901,0.000901
17,4121.44,0.62921,0.53377,0.10179,0.58461,0.52888,0.54123,0.32764,0.52106,0.52208,0.09369,0.0008944,0.0008944,0.0008944
18,4360.51,0.62048,0.52855,0.09916,0.64241,0.53882,0.58839,0.34391,0.50248,0.50797,0.08713,0.0008878,0.0008878,0.0008878
19,4599.57,0.61763,0.52124,0.09754,0.62007,0.58396,0.59985,0.3497,0.4961,0.5218,0.08616,0.0008812,0.0008812,0.0008812
20,4838.45,0.60288,0.53211,0.09391,0.69316,0.55407,0.60345,0.35781,0.49972,0.50008,0.08671,0.0008746,0.0008746,0.0008746
21,5079.84,0.60961,0.5205,0.09661,0.63415,0.59546,0.60194,0.36331,0.48247,0.50358,0.0836,0.000868,0.000868,0.000868
22,5326.32,0.58644,0.52082,0.0904,0.63089,0.62052,0.63481,0.38424,0.48048,0.48797,0.08053,0.0008614,0.0008614,0.0008614
23,5569.19,0.5706,0.5165,0.0874,0.70692,0.57188,0.62778,0.38438,0.48887,0.48886,0.08529,0.0008548,0.0008548,0.0008548
24,5807.84,0.5604,0.50338,0.08484,0.68149,0.62279,0.65694,0.40531,0.47953,0.46716,0.0801,0.0008482,0.0008482,0.0008482
25,6046.78,0.56861,0.49705,0.08718,0.69227,0.62769,0.67218,0.40169,0.47412,0.49013,0.07848,0.0008416,0.0008416,0.0008416
26,6285.84,0.5539,0.49792,0.08314,0.70193,0.62365,0.6646,0.41781,0.47326,0.47853,0.07927,0.000835,0.000835,0.000835
27,6526.71,0.56018,0.50328,0.08353,0.64601,0.63672,0.64859,0.39242,0.47974,0.49184,0.08263,0.0008284,0.0008284,0.0008284
28,6774.4,0.5591,0.49389,0.08283,0.71261,0.67496,0.70731,0.4376,0.45514,0.4571,0.07438,0.0008218,0.0008218,0.0008218
29,7013.5,0.54564,0.49046,0.08156,0.76236,0.63637,0.68804,0.42321,0.45425,0.46851,0.07624,0.0008152,0.0008152,0.0008152
30,7255.92,0.54879,0.48718,0.0795,0.72011,0.66442,0.68891,0.43679,0.4492,0.46944,0.07354,0.0008086,0.0008086,0.0008086
31,7497.28,0.53123,0.48067,0.0762,0.75747,0.66214,0.71793,0.44909,0.44266,0.44809,0.07232,0.000802,0.000802,0.000802
32,7740.07,0.53348,0.47915,0.07527,0.73641,0.68374,0.73381,0.45002,0.44333,0.45264,0.07424,0.0007954,0.0007954,0.0007954
