epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,251.888,1.76195,0.70462,0.66755,0.86382,0.03351,0.0211,0.0075,1.07302,0.85118,0.32678,0.00033288,0.00033288,0.00033288
2,491.727,1.19691,0.58389,0.30984,0.73868,0.089,0.05831,0.02733,0.88789,0.80676,0.22514,0.000661816,0.000661816,0.000661816
3,770.261,1.08046,0.61264,0.25594,0.64953,0.17442,0.12757,0.05873,0.83388,0.71378,0.21007,0.000986352,0.000986352,0.000986352
4,1065.3,0.99172,0.60961,0.21372,0.40232,0.20822,0.14775,0.07213,0.77967,0.7191,0.17258,0.0009802,0.0009802,0.0009802
5,1304.46,0.9334,0.60153,0.19983,0.47756,0.20578,0.19913,0.09334,0.78481,0.65317,0.17563,0.0009736,0.0009736,0.0009736
6,1537.03,0.90659,0.61108,0.18703,0.40547,0.26916,0.24316,0.12542,0.67724,0.70633,0.13431,0.000967,0.000967,0.000967
7,1770.13,0.84037,0.59238,0.16545,0.414,0.35028,0.30065,0.1618,0.63431,0.63029,0.12722,0.0009604,0.0009604,0.0009604
8,2001.99,0.81622,0.58709,0.15501,0.45774,0.34133,0.31612,0.17551,0.62391,0.60235,0.11765,0.0009538,0.0009538,0.0009538
9,2233.82,0.77247,0.5746,0.1397,0.39509,0.39644,0.34646,0.1855,0.61981,0.5986,0.11996,0.0009472,0.0009472,0.0009472
10,2465.59,0.73993,0.55939,0.12858,0.44618,0.45439,0.41166,0.22993,nan,nan,nan,0.0009406,0.0009406,0.0009406
11,2697.3,0.71587,0.56243,0.1234,0.51425,0.41008,0.40831,0.22573,0.58001,0.57222,0.10932,0.000934,0.000934,0.000934
12,2929.44,0.714,0.55631,0.1238,0.49284,0.4634,0.4415,0.24988,0.56653,0.55836,0.10507,0.0009274,0.0009274,0.0009274
