epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,248.241,1.8607,0.57307,0.73978,0.39448,0.05458,0.02787,0.00879,nan,nan,nan,0.00033288,0.00033288,0.00033288
2,485.605,1.24548,0.55732,0.34158,0.75304,0.08703,0.05811,0.02523,0.95102,0.74993,0.27236,0.000661816,0.000661816,0.000661816
3,720.458,1.10066,0.59438,0.26744,0.44084,0.19307,0.11821,0.0563,0.84237,0.73043,0.2217,0.000986352,0.000986352,0.000986352
4,955.084,1.0296,0.62234,0.23789,0.47238,0.17986,0.14344,0.06965,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,1193.82,0.96444,0.61527,0.21737,0.44447,0.22156,0.17332,0.08763,0.76352,0.66548,0.19284,0.0009736,0.0009736,0.0009736
6,1428.97,0.89646,0.59404,0.18559,0.55548,0.24395,0.23999,0.1237,0.70587,0.6619,0.15937,0.000967,0.000967,0.000967
7,1663.89,0.86401,0.58667,0.17836,0.41437,0.34841,0.30716,0.15213,0.69381,0.62643,0.15398,0.0009604,0.0009604,0.0009604
8,1899.7,0.83647,0.58945,0.16749,0.50229,0.31764,0.31985,0.1664,0.66471,0.6072,0.13737,0.0009538,0.0009538,0.0009538
9,2134.48,0.7989,0.57934,0.15093,0.543,0.30403,0.29265,0.16199,0.65388,0.6285,0.13624,0.0009472,0.0009472,0.0009472
10,2373.39,0.78935,0.5678,0.14626,0.46343,0.39882,0.37692,0.2059,0.60364,0.59525,0.11703,0.0009406,0.0009406,0.0009406
11,2611.79,0.75389,0.56984,0.139,0.41587,0.43858,0.38773,0.21092,0.59062,0.58271,0.111,0.000934,0.000934,0.000934
12,2846.49,0.72901,0.55241,0.13159,0.46778,0.43257,0.40142,0.22951,0.58375,0.57019,0.11296,0.0009274,0.0009274,0.0009274
13,3086.23,0.7086,0.55561,0.1234,0.4165,0.4227,0.38462,0.22181,0.57535,0.64717,0.10665,0.0009208,0.0009208,0.0009208
14,3321.3,0.67731,0.55574,0.11371,0.56783,0.48037,0.49361,0.28968,0.54322,0.5384,0.10063,0.0009142,0.0009142,0.0009142
15,3556.65,0.66728,0.54601,0.11422,0.58744,0.45805,0.47869,0.28099,0.54985,0.53803,0.10305,0.0009076,0.0009076,0.0009076
16,3791.36,0.65617,0.53916,0.10944,0.5292,0.49677,0.49026,0.28991,0.5305,0.53866,0.09569,0.000901,0.000901,0.000901
17,4026.46,0.64274,0.54363,0.107,0.58208,0.49936,0.51381,0.30566,0.529,0.53002,0.09413,0.0008944,0.0008944,0.0008944
18,4260.94,0.63715,0.53206,0.10382,0.57621,0.48156,0.51237,0.31063,0.51253,0.52411,0.08961,0.0008878,0.0008878,0.0008878
19,4496.19,0.62265,0.53156,0.09848,0.58997,0.55481,0.56414,0.33214,0.50886,0.52237,0.08793,0.0008812,0.0008812,0.0008812
20,4731.34,0.61061,0.5193,0.09426,0.60285,0.58016,0.58833,0.35434,0.48796,0.49585,0.08315,0.0008746,0.0008746,0.0008746
21,4966.26,0.60875,0.51906,0.09677,0.65442,0.5525,0.58949,0.3496,0.49866,0.52217,0.08653,0.000868,0.000868,0.000868
22,5203.96,0.60648,0.52758,0.096,0.64214,0.55817,0.59688,0.34726,0.50183,0.51986,0.08772,0.0008614,0.0008614,0.0008614
23,5447.37,0.59041,0.52565,0.09257,0.64721,0.58441,0.61957,0.38896,0.47945,0.49025,0.08022,0.0008548,0.0008548,0.0008548
24,5684.65,0.56713,0.50344,0.08565,0.67257,0.5857,0.634,0.38773,0.47084,0.48682,0.08092,0.0008482,0.0008482,0.0008482
25,5920.32,0.57334,0.5047,0.08803,0.68273,0.6012,0.64135,0.39251,0.46896,0.48788,0.08307,0.0008416,0.0008416,0.0008416
26,6155.3,0.55966,0.49924,0.08543,0.68191,0.60102,0.64761,0.40094,0.47147,0.47143,0.08049,0.000835,0.000835,0.000835
27,6389.92,0.56256,0.50507,0.085,0.66816,0.61316,0.64936,0.4058,0.46093,0.48079,0.07682,0.0008284,0.0008284,0.0008284
28,6624.91,0.55638,0.49354,0.08226,0.70655,0.64689,0.68127,0.42264,0.46046,0.47012,0.07701,0.0008218,0.0008218,0.0008218
29,6859.39,0.54823,0.49283,0.08134,0.75479,0.6056,0.67839,0.42103,0.4508,0.47192,0.07495,0.0008152,0.0008152,0.0008152
30,7093.48,0.54834,0.49066,0.07981,0.69959,0.62048,0.6656,0.41116,0.45512,0.47277,0.0763,0.0008086,0.0008086,0.0008086
31,7328.9,0.54216,0.49103,0.07815,0.76354,0.63646,0.7139,0.4415,0.44426,0.45902,0.07028,0.000802,0.000802,0.000802
32,7566.35,0.54532,0.48807,0.07863,0.7489,0.65023,0.71001,0.44352,0.44597,0.4585,0.07212,0.0007954,0.0007954,0.0007954
33,7805.31,0.52932,0.48003,0.07712,0.72597,0.63842,0.69607,0.44574,0.45027,0.4579,0.07443,0.0007888,0.0007888,0.0007888
34,8043.98,0.53529,0.47824,0.07824,0.73002,0.68324,0.71623,0.44578,0.44047,0.44965,0.07092,0.0007822,0.0007822,0.0007822
