epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,250.93,1.8251,0.67753,0.69546,0.55077,0.07418,0.02422,0.00662,1.1413,0.64592,0.33659,0.00033288,0.00033288,0.00033288
2,492.537,1.2344,0.54647,0.32149,0.76243,0.09785,0.07081,0.02578,0.96854,0.70265,0.27326,0.000661816,0.000661816,0.000661816
3,727.929,1.11724,0.58753,0.27055,0.76683,0.11163,0.08054,0.0366,0.86886,0.7448,0.21934,0.000986352,0.000986352,0.000986352
4,966.588,1.0247,0.61048,0.23101,0.43797,0.2041,0.14469,0.07147,0.77867,0.72388,0.17776,0.0009802,0.0009802,0.0009802
5,1202.44,0.94855,0.63635,0.20632,0.51052,0.21843,0.19154,0.08583,0.75618,0.71018,0.17604,0.0009736,0.0009736,0.0009736
6,1442.05,0.91938,0.61591,0.19301,0.46803,0.21324,0.17283,0.08818,0.75308,0.69223,0.1933,0.000967,0.000967,0.000967
7,1677.83,0.87679,0.60965,0.18056,0.43393,0.32764,0.29423,0.15161,0.66394,0.65409,0.13684,0.0009604,0.0009604,0.0009604
8,1913.45,0.84232,0.59852,0.16428,0.31149,0.36135,0.27146,0.14597,0.67497,0.70674,0.13941,0.0009538,0.0009538,0.0009538
9,2148.44,0.79506,0.58632,0.14712,0.37717,0.33724,0.30365,0.16045,0.6202,0.63078,0.12237,0.0009472,0.0009472,0.0009472
10,2384.08,0.77953,0.57543,0.14012,0.4197,0.39174,0.34445,0.18768,0.59786,0.5997,0.1142,0.0009406,0.0009406,0.0009406
11,2620.3,0.7415,0.57489,0.1328,0.52225,0.35126,0.38023,0.20223,0.59222,0.61376,0.10958,0.000934,0.000934,0.000934
12,2855.87,0.75271,0.56901,0.13617,0.45722,0.39215,0.38694,0.20399,0.60765,0.58178,0.11563,0.0009274,0.0009274,0.0009274
13,3091.13,0.71246,0.5579,0.1228,0.46435,0.37429,0.36943,0.19171,0.60845,0.59804,0.1284,0.0009208,0.0009208,0.0009208
14,3330.76,0.68614,0.56196,0.11722,0.50946,0.44378,0.4648,0.26957,0.54806,0.55044,0.10038,0.0009142,0.0009142,0.0009142
15,3565.89,0.67719,0.55598,0.11381,0.55901,0.44707,0.47618,0.27449,0.54077,0.54244,0.09779,0.0009076,0.0009076,0.0009076
16,3800.9,0.65032,0.54138,0.10626,0.50243,0.51012,0.48484,0.28421,0.53823,0.57488,0.09878,0.000901,0.000901,0.000901
17,4037.6,0.63298,0.54015,0.1015,0.57006,0.54435,0.53946,0.32358,0.51436,0.50667,0.08985,0.0008944,0.0008944,0.0008944
18,4272.78,0.63926,0.53307,0.10394,0.58821,0.51036,0.50469,0.30201,0.51968,0.52254,0.0941,0.0008878,0.0008878,0.0008878
19,4515.67,0.63597,0.53196,0.10148,0.60821,0.5411,0.55288,0.32449,0.50476,0.51346,0.08792,0.0008812,0.0008812,0.0008812
20,4756.93,0.6139,0.52145,0.09578,0.59994,0.58351,0.58026,0.34209,0.4967,0.50373,0.08685,0.0008746,0.0008746,0.0008746
21,4996.58,0.61294,0.52151,0.09575,0.57824,0.57576,0.57311,0.34463,0.49302,0.50482,0.08604,0.000868,0.000868,0.000868
22,5236.76,0.592,0.51871,0.09167,0.65718,0.56757,0.59822,0.36045,0.48831,0.49584,0.08524,0.0008614,0.0008614,0.0008614
23,5473.79,0.59285,0.52338,0.09262,0.64476,0.55271,0.59192,0.35732,0.4809,0.49742,0.08372,0.0008548,0.0008548,0.0008548
24,5710.18,0.57342,0.50787,0.08781,0.6742,0.56921,0.61235,0.383,0.46735,0.48901,0.08021,0.0008482,0.0008482,0.0008482
25,5946.95,0.57225,0.52476,0.08737,0.6877,0.58078,0.63607,0.37971,0.47268,0.51264,0.0815,0.0008416,0.0008416,0.0008416
26,6183.49,0.56937,0.51285,0.08776,0.67669,0.57793,0.61343,0.37871,0.4739,0.48801,0.08069,0.000835,0.000835,0.000835
27,6420.41,0.56264,0.49457,0.08402,0.71652,0.6237,0.6678,0.41423,0.4538,0.47392,0.07515,0.0008284,0.0008284,0.0008284
28,6656.85,0.54683,0.4908,0.07935,0.68562,0.63302,0.67717,0.42734,nan,nan,nan,0.0008218,0.0008218,0.0008218
29,6893.28,0.54317,0.49435,0.08058,0.69176,0.59866,0.63105,0.39122,0.46378,0.48789,0.07909,0.0008152,0.0008152,0.0008152
30,7129.75,0.55302,0.49235,0.08116,0.7299,0.63899,0.6752,0.42831,0.44414,0.47477,0.07327,0.0008086,0.0008086,0.0008086
31,7366.84,0.53915,0.49473,0.07842,0.72134,0.6713,0.69755,0.43419,0.44634,0.46312,0.07347,0.000802,0.000802,0.000802
32,7603.08,0.5416,0.48973,0.07721,0.69827,0.67905,0.70491,0.43911,0.44555,0.46086,0.075,0.0007954,0.0007954,0.0007954
33,7839.77,0.5281,0.48228,0.07687,0.70772,0.66557,0.70611,0.44145,0.44935,0.46074,0.07502,0.0007888,0.0007888,0.0007888
34,8076.4,0.53539,0.48387,0.07719,0.71455,0.68047,0.70694,0.44551,0.44004,0.46006,0.07187,0.0007822,0.0007822,0.0007822
35,8312.61,0.53266,0.48377,0.07708,0.77156,0.6391,0.69332,0.43309,0.43973,0.45816,0.07116,0.0007756,0.0007756,0.0007756
36,8549.17,0.51663,0.48423,0.07452,0.77771,0.70588,0.75249,0.47296,0.43139,0.44953,0.0698,0.000769,0.000769,0.000769
37,8785.97,0.51048,0.47706,0.07401,0.76431,0.66393,0.71638,0.44512,0.43699,0.45811,0.07139,0.0007624,0.0007624,0.0007624
