epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,249.385,1.85302,0.6689,0.72244,0.53992,0.07725,0.02578,0.00754,1.20057,0.6966,0.39932,0.00033288,0.00033288,0.00033288
2,490.379,1.2135,0.54684,0.3217,0.76055,0.10317,0.07211,0.02969,0.94257,0.6971,0.27728,0.000661816,0.000661816,0.000661816
3,730.021,1.07833,0.59449,0.25575,0.72723,0.14744,0.11515,0.05418,0.86057,0.69823,0.22272,0.000986352,0.000986352,0.000986352
4,969.101,0.99487,0.60673,0.21623,0.4463,0.21907,0.19947,0.08459,0.77246,0.69158,0.1837,0.0009802,0.0009802,0.0009802
5,1209.29,0.91428,0.61197,0.19435,0.47078,0.27988,0.24228,0.12038,0.6881,0.67606,0.14761,0.0009736,0.0009736,0.0009736
6,1445.36,0.87996,0.59662,0.17806,0.40106,0.33742,0.25775,0.13413,0.67368,0.69469,0.14043,0.000967,0.000967,0.000967
7,1680.94,0.83716,0.59067,0.16571,0.50214,0.28588,0.30032,0.15271,0.66374,0.64861,0.1381,0.0009604,0.0009604,0.0009604
8,1916.35,0.81027,0.58144,0.15292,0.4719,0.37126,0.34447,0.18717,0.62435,0.6055,0.12144,0.0009538,0.0009538,0.0009538
9,2151.38,0.76308,0.59355,0.13462,0.5018,0.3679,0.37221,0.19632,0.61072,0.59622,0.11483,0.0009472,0.0009472,0.0009472
10,2388.82,0.74325,0.55811,0.12775,0.49306,0.40914,0.3933,0.20983,0.59091,0.58672,0.1104,0.0009406,0.0009406,0.0009406
11,2629.46,0.72384,0.56726,0.12575,0.5286,0.413,0.42185,0.2363,0.57308,0.57284,0.10334,0.000934,0.000934,0.000934
12,2869.37,0.70353,0.5622,0.12008,0.56354,0.42515,0.44192,0.24724,0.57228,0.59016,0.10492,0.0009274,0.0009274,0.0009274
13,3105.26,0.6829,0.55388,0.11274,0.52213,0.47924,0.4742,0.27026,0.53511,0.55713,0.09846,0.0009208,0.0009208,0.0009208
14,3340.27,0.67446,0.56263,0.11153,0.57416,0.38886,0.39172,0.22015,nan,nan,nan,0.0009142,0.0009142,0.0009142
15,3575.68,0.7014,0.5739,0.12067,0.49953,0.50015,0.46149,0.26509,0.54091,0.58434,0.09929,0.0009076,0.0009076,0.0009076
16,3810.95,0.6423,0.54474,0.10322,0.54814,0.51598,0.52772,0.31562,0.51684,0.55334,0.08981,0.000901,0.000901,0.000901
17,4045.93,0.62609,0.5403,0.10067,0.58793,0.56312,0.5741,0.33366,0.50981,0.52484,0.08774,0.0008944,0.0008944,0.0008944
18,4283.45,0.63441,0.53733,0.10098,0.61652,0.52202,0.55737,0.31865,0.50633,0.54352,0.08598,0.0008878,0.0008878,0.0008878
19,4528.09,0.61464,0.53591,0.09559,0.59411,0.54513,0.54806,0.32203,0.49721,0.52832,0.0834,0.0008812,0.0008812,0.0008812
20,4772.52,0.60129,0.54692,0.09255,0.55194,0.52935,0.53176,0.31959,0.50803,0.534,0.08875,0.0008746,0.0008746,0.0008746
21,5007.78,0.59175,0.51987,0.0898,0.60498,0.60408,0.6077,0.36119,0.47916,0.51456,0.08177,0.000868,0.000868,0.000868
22,5243.57,0.58859,0.51382,0.08919,0.69151,0.59919,0.63255,0.37927,0.47973,0.4901,0.08277,0.0008614,0.0008614,0.0008614
23,5478.79,0.59148,0.52058,0.09239,0.6969,0.572,0.63265,0.37953,0.49097,0.49833,0.08284,0.0008548,0.0008548,0.0008548
24,5714.08,0.57645,0.51166,0.08691,0.65803,0.59524,0.64159,0.39283,0.46915,0.49423,0.08003,0.0008482,0.0008482,0.0008482
25,5949.9,0.56283,0.5023,0.08472,0.72516,0.64532,0.6869,0.41913,0.45844,0.47983,0.07661,0.0008416,0.0008416,0.0008416
26,6185.03,0.55578,0.50341,0.08243,0.69682,0.61181,0.63026,0.38648,0.47094,0.48162,0.07981,0.000835,0.000835,0.000835
27,6420.89,0.55316,0.50134,0.08042,0.74306,0.61595,0.67172,0.41441,nan,nan,nan,0.0008284,0.0008284,0.0008284
28,6656.37,0.55126,0.4933,0.07974,0.68132,0.68025,0.6766,0.42186,0.45571,0.4697,0.07624,0.0008218,0.0008218,0.0008218
29,6891.49,0.54518,0.49609,0.08028,0.70891,0.64433,0.69625,0.42784,0.44281,0.4702,0.07198,0.0008152,0.0008152,0.0008152
30,7126.84,0.53968,0.48476,0.07571,0.74143,0.64227,0.69477,0.42869,0.44314,0.46044,0.07083,0.0008086,0.0008086,0.0008086
31,7363.49,0.52672,0.48149,0.07377,0.72407,0.66737,0.71695,0.44782,0.4373,0.45752,0.06883,0.000802,0.000802,0.000802
32,7608.08,0.5323,0.48238,0.07449,0.76677,0.65829,0.72128,0.45102,0.43861,0.45812,0.07193,0.0007954,0.0007954,0.0007954
