epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,304.352,1.80813,0.63457,0.69241,0.38612,0.08026,0.03028,0.01053,1.14996,0.71298,0.36935,0.00033288,0.00033288,0.00033288
2,600.28,1.22636,0.55721,0.32582,0.75977,0.08877,0.06583,0.02689,0.94387,0.72761,0.29084,0.000661816,0.000661816,0.000661816
3,892.939,1.07626,0.6355,0.26484,0.74442,0.1295,0.09398,0.04503,0.81599,0.84042,0.19425,0.000986352,0.000986352,0.000986352
4,1184.83,1.0107,0.65033,0.23533,0.43576,0.19658,0.14776,0.07081,0.78549,0.76942,0.18935,0.0009802,0.0009802,0.0009802
5,1480.05,0.9238,0.63987,0.20663,0.35274,0.27539,0.22078,0.11334,nan,nan,nan,0.0009736,0.0009736,0.0009736
6,1772.86,0.8931,0.64043,0.18751,0.3367,0.29413,0.24756,0.12664,0.6597,0.69631,0.15697,0.000967,0.000967,0.000967
7,2065.69,0.86527,0.61898,0.1865,0.39166,0.3311,0.27402,0.12934,0.70679,0.6883,0.15491,0.0009604,0.0009604,0.0009604
8,2358.14,0.83461,0.60992,0.1697,0.41796,0.33966,0.31419,0.1637,0.65346,0.64102,0.13846,0.0009538,0.0009538,0.0009538
9,2645.84,0.81059,0.61554,0.16259,0.48643,0.32399,0.33917,0.17656,0.6046,0.68264,0.11931,0.0009472,0.0009472,0.0009472
10,2928.67,0.76099,0.59649,0.14421,0.49322,0.39768,0.38668,0.2156,0.57518,0.60406,0.10851,0.0009406,0.0009406,0.0009406
11,3211.39,0.71456,0.5977,0.13201,0.52176,0.39461,0.40825,0.23558,0.55142,0.61317,0.10407,0.000934,0.000934,0.000934
12,3494.11,0.70921,0.57774,0.12954,0.53455,0.43782,0.442,0.25301,0.55224,0.58531,0.1009,0.0009274,0.0009274,0.0009274
13,3776.87,0.69736,0.57981,0.12543,0.46783,0.41764,0.3978,0.22073,0.56769,0.67503,0.1097,0.0009208,0.0009208,0.0009208
14,4058.95,0.67604,0.59028,0.11895,0.56369,0.44954,0.47051,0.27257,0.52228,0.57582,0.09659,0.0009142,0.0009142,0.0009142
15,4341.81,0.65801,0.57027,0.1143,0.53435,0.49947,0.49059,0.29358,0.52592,0.55748,0.09534,0.0009076,0.0009076,0.0009076
16,4624.2,0.64148,0.5639,0.10949,0.60236,0.50658,0.51286,0.30008,0.52205,0.55412,0.09579,0.000901,0.000901,0.000901
17,4907.31,0.63633,0.56264,0.1084,0.56169,0.50625,0.52356,0.31562,0.50507,0.55802,0.08977,0.0008944,0.0008944,0.0008944
18,5190.02,0.63124,0.5547,0.1074,0.59318,0.53925,0.5386,0.31543,0.50582,0.54261,0.09058,0.0008878,0.0008878,0.0008878
19,5473.11,0.61536,0.55906,0.10102,0.59382,0.52379,0.54468,0.32524,0.49164,0.55632,0.08568,0.0008812,0.0008812,0.0008812
20,5756.27,0.59955,0.54534,0.0963,0.63171,0.55674,0.58889,0.3496,0.49175,0.52027,0.08755,0.0008746,0.0008746,0.0008746
21,6039.32,0.59618,0.53249,0.09609,0.6591,0.57871,0.5933,0.35605,0.48254,0.5095,0.08334,0.000868,0.000868,0.000868
22,6322.33,0.5861,0.53032,0.09423,0.64128,0.56423,0.58696,0.35667,0.48041,0.51157,0.08239,0.0008614,0.0008614,0.0008614
23,6608.3,0.57468,0.53788,0.09183,0.61231,0.59459,0.61002,0.37281,0.4889,0.51585,0.08692,0.0008548,0.0008548,0.0008548
24,6895.63,0.56344,0.53112,0.08941,0.65938,0.60633,0.62942,0.39035,0.46663,0.50885,0.08015,0.0008482,0.0008482,0.0008482
25,7183.45,0.57549,0.52713,0.09217,0.65029,0.59016,0.61821,0.37282,0.47073,0.51415,0.07776,0.0008416,0.0008416,0.0008416
26,7470.34,0.56344,0.52633,0.08915,0.66843,0.58153,0.62766,0.38674,0.47054,0.50706,0.07968,0.000835,0.000835,0.000835
27,7754.43,0.56403,0.52854,0.08818,0.67767,0.62628,0.66089,0.40174,0.45716,0.49382,0.07666,0.0008284,0.0008284,0.0008284
28,8038.43,0.54856,0.50953,0.08241,0.68834,0.66424,0.67858,0.42201,0.45987,0.47482,0.07666,0.0008218,0.0008218,0.0008218
29,8325.21,0.53565,0.50391,0.08104,0.65608,0.62351,0.64554,0.40126,0.45956,0.49692,0.08088,0.0008152,0.0008152,0.0008152
30,8612.75,0.54294,0.50617,0.08161,0.71244,0.65636,0.68436,0.41866,0.44273,0.47805,0.07395,0.0008086,0.0008086,0.0008086
31,8908.29,0.54037,0.50633,0.0811,0.72956,0.66286,0.7081,0.43669,0.44574,0.4726,0.07456,0.000802,0.000802,0.000802
32,9204.44,0.536,0.49901,0.07855,0.74258,0.67431,0.71255,0.44673,0.44706,0.47109,0.075,0.0007954,0.0007954,0.0007954
33,9490.73,0.52831,0.49382,0.07908,0.73205,0.67299,0.71665,0.45171,0.44747,0.46262,0.07515,0.0007888,0.0007888,0.0007888
34,9773.75,0.52134,0.49157,0.07685,0.74532,0.6611,0.71883,0.44907,0.43141,0.463,0.07053,0.0007822,0.0007822,0.0007822
35,10055.3,0.52104,0.49038,0.07694,0.73555,0.67914,0.72404,0.45548,0.4364,0.45879,0.07123,0.0007756,0.0007756,0.0007756
36,10337.2,0.51747,0.49299,0.076,0.78626,0.66802,0.72844,0.45578,0.43796,0.45567,0.07009,0.000769,0.000769,0.000769
37,10619.1,0.51607,0.50035,0.0767,0.7435,0.72947,0.75786,0.47224,0.43093,0.461,0.07114,0.0007624,0.0007624,0.0007624
38,10904,0.50001,0.48076,0.0737,0.77361,0.70299,0.75731,0.47766,0.42306,0.44728,0.06867,0.0007558,0.0007558,0.0007558
39,11187.6,0.50333,0.47878,0.07445,0.78219,0.69656,0.74255,0.46473,0.42928,0.45655,0.07007,0.0007492,0.0007492,0.0007492
40,11469.8,0.49845,0.46948,0.07195,0.7739,0.70308,0.76313,0.48262,0.41917,0.44748,0.06864,0.0007426,0.0007426,0.0007426
41,11752.7,0.51287,0.48413,0.07437,0.7647,0.71647,0.75848,0.47483,0.43066,0.45143,0.07065,0.000736,0.000736,0.000736
42,12035.2,0.50123,0.4771,0.07273,0.81388,0.70571,0.76916,0.48785,0.42184,0.44269,0.06865,0.0007294,0.0007294,0.0007294
43,12317.8,0.4811,0.46279,0.06852,0.79092,0.71828,0.77412,0.49768,0.41465,0.43069,0.06731,0.0007228,0.0007228,0.0007228
44,12600.4,0.47949,0.46252,0.06826,0.78599,0.72912,0.78136,0.50055,0.41281,0.44174,0.06717,0.0007162,0.0007162,0.0007162
45,12883,0.48103,0.46696,0.06863,0.77293,0.72537,0.77404,0.49843,0.41904,0.4543,0.06729,0.0007096,0.0007096,0.0007096
46,13165.4,0.48862,0.47499,0.07194,0.74422,0.7153,0.74753,0.46987,0.43114,0.45127,0.07135,0.000703,0.000703,0.000703
47,13448.1,0.49093,0.47738,0.06898,0.80568,0.72123,0.76456,0.48551,0.4202,0.44392,0.06893,0.0006964,0.0006964,0.0006964
48,13730.5,0.47806,0.46403,0.06829,0.84625,0.71719,0.7992,0.5025,0.41154,0.4362,0.06651,0.0006898,0.0006898,0.0006898
49,14012.9,0.48028,0.46193,0.0677,0.80483,0.74208,0.79919,0.51334,0.40507,0.43856,0.0654,0.0006832,0.0006832,0.0006832
50,14295.6,0.4657,0.45574,0.06448,0.84635,0.75257,0.80542,0.51675,nan,nan,nan,0.0006766,0.0006766,0.0006766
51,14578.3,0.46873,0.45273,0.0653,0.77949,0.75248,0.79318,0.51308,0.40193,0.43301,0.0642,0.00067,0.00067,0.00067
52,14861,0.46565,0.4496,0.06479,0.80713,0.75647,0.80399,0.5241,0.40531,0.42375,0.06419,0.0006634,0.0006634,0.0006634
53,15143.6,0.46734,0.4524,0.06496,0.79799,0.75995,0.80453,0.52361,0.40314,0.42814,0.06426,0.0006568,0.0006568,0.0006568
54,15425.7,0.46441,0.44737,0.06496,0.80653,0.76696,0.80953,0.51994,0.40704,0.42012,0.06509,0.0006502,0.0006502,0.0006502
55,15708.7,0.47631,0.46566,0.06917,0.81777,0.74524,0.80183,0.5181,0.40686,0.42907,0.06521,0.0006436,0.0006436,0.0006436
56,15991.2,0.46052,0.44912,0.06543,0.8111,0.76239,0.81008,0.52454,0.40129,0.42144,0.06444,0.000637,0.000637,0.000637
57,16273.7,0.45876,0.45826,0.06187,0.84149,0.75152,0.80311,0.52269,0.40302,0.42822,0.06374,0.0006304,0.0006304,0.0006304
58,16556.8,0.44881,0.43734,0.05979,0.84536,0.77466,0.83317,0.53689,0.39923,0.41701,0.06409,0.0006238,0.0006238,0.0006238
59,16839.5,0.44836,0.44207,0.06344,0.82913,0.77684,0.83206,0.54359,0.39679,0.41855,0.06201,0.0006172,0.0006172,0.0006172
60,17122,0.44751,0.44031,0.06074,0.8263,0.7871,0.83736,0.54294,0.39743,0.4113,0.06273,0.0006106,0.0006106,0.0006106
61,17404.6,0.46132,0.45579,0.06384,0.81096,0.77915,0.81836,0.52837,0.39757,0.42208,0.06575,0.000604,0.000604,0.000604
62,17687,0.45019,0.44207,0.06345,0.8043,0.79371,0.82531,0.53032,0.39781,0.41693,0.06195,0.0005974,0.0005974,0.0005974
63,17969.4,0.45153,0.44125,0.06195,0.79622,0.76695,0.80447,0.52584,0.40063,0.41751,0.06247,0.0005908,0.0005908,0.0005908
64,18252.5,0.45184,0.44178,0.06221,0.85381,0.76297,0.81725,0.54008,0.39315,0.41547,0.06153,0.0005842,0.0005842,0.0005842
65,18535.3,0.44644,0.43897,0.06102,0.80984,0.77526,0.819,0.53787,0.39175,0.41723,0.06097,0.0005776,0.0005776,0.0005776
66,18818.3,0.44897,0.43867,0.06026,0.82463,0.79217,0.8388,0.55005,0.38887,0.41347,0.05877,0.000571,0.000571,0.000571
67,19100.9,0.44424,0.44017,0.05953,0.84947,0.76369,0.83731,0.54249,0.39329,0.41606,0.06209,0.0005644,0.0005644,0.0005644
68,19383.7,0.43753,0.43478,0.05959,0.84848,0.77106,0.83954,0.55193,0.38946,0.41151,0.06078,0.0005578,0.0005578,0.0005578
69,19666.8,0.437,0.4325,0.0572,0.83346,0.78995,0.84072,0.5506,nan,nan,nan,0.0005512,0.0005512,0.0005512
70,19949.4,0.43226,0.43131,0.058,0.84408,0.79005,0.84516,0.55261,0.38955,0.40628,0.06147,0.0005446,0.0005446,0.0005446
71,20232.6,0.43761,0.4306,0.05964,0.88545,0.76093,0.83757,0.55357,0.38501,0.41408,0.05989,0.000538,0.000538,0.000538
72,20515.9,0.43055,0.43531,0.05828,0.85046,0.79526,0.83771,0.55381,0.388,0.40672,0.05961,0.0005314,0.0005314,0.0005314
73,20798.6,0.43469,0.42951,0.05739,0.84692,0.7768,0.84411,0.551,0.38784,0.40492,0.06088,0.0005248,0.0005248,0.0005248
74,21081.3,0.43283,0.42703,0.05904,0.85674,0.78322,0.84368,0.55749,0.38518,0.40982,0.05935,0.0005182,0.0005182,0.0005182
75,21363.9,0.42483,0.41754,0.05538,0.84318,0.82024,0.86304,0.56866,0.38375,0.40434,0.05837,0.0005116,0.0005116,0.0005116
76,21646.2,0.42804,0.42537,0.05787,0.83993,0.80256,0.8442,0.56227,0.38357,0.40611,0.05973,0.000505,0.000505,0.000505
77,21928.9,0.42387,0.42283,0.05714,0.86505,0.8105,0.85476,0.56417,0.38562,0.40555,0.05992,0.0004984,0.0004984,0.0004984
78,22211.6,0.42078,0.41665,0.05554,0.8489,0.81664,0.85118,0.56496,0.3779,0.40299,0.05741,0.0004918,0.0004918,0.0004918
79,22494.6,0.42061,0.42041,0.05511,0.85563,0.80048,0.85651,0.56722,0.37938,0.40016,0.05733,0.0004852,0.0004852,0.0004852
80,22776.9,0.41647,0.41663,0.05439,0.8252,0.82867,0.85412,0.56512,0.38088,0.40064,0.05861,0.0004786,0.0004786,0.0004786
81,23060.1,0.4276,0.4233,0.05607,0.84914,0.79363,0.84387,0.55458,0.38193,0.40425,0.06016,0.000472,0.000472,0.000472
82,23342.3,0.41704,0.41824,0.05481,0.83759,0.81538,0.84566,0.56047,0.37866,0.40056,0.05815,0.0004654,0.0004654,0.0004654
