epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,228.643,2.10616,0.70076,0.99469,0.67513,0.018,0.00361,0.00085,1.47419,0.4522,0.50256,0.000332428,0.000332428,0.000332428
2,442.562,1.43882,0.44169,0.41029,0.58616,0.07799,0.05259,0.01688,1.05435,0.67787,0.30394,0.000661367,0.000661367,0.000661367
3,659.198,1.22631,0.53511,0.30631,0.60579,0.11353,0.08405,0.03325,0.9438,0.75418,0.25331,0.000985906,0.000985906,0.000985906
4,872.905,1.08198,0.58437,0.2467,0.76797,0.11349,0.0941,0.04231,0.90478,0.72496,0.25425,0.0009802,0.0009802,0.0009802
5,1089.2,1.00382,0.60675,0.22046,0.47668,0.2101,0.18737,0.07884,0.81009,0.70133,0.17982,0.0009736,0.0009736,0.0009736
6,1301.83,0.95252,0.60686,0.19747,0.48989,0.24685,0.21961,0.1048,0.73423,0.68953,0.15945,0.000967,0.000967,0.000967
7,1514.65,0.89622,0.59476,0.18056,0.31806,0.29717,0.24967,0.11462,0.70503,0.69768,0.14871,0.0009604,0.0009604,0.0009604
8,1727.69,0.87264,0.59455,0.17023,0.45003,0.33138,0.2937,0.14839,0.67788,0.66304,0.13361,0.0009538,0.0009538,0.0009538
9,1940.41,0.83108,0.58938,0.15357,0.39583,0.34767,0.29551,0.15691,0.65957,0.67471,0.13302,0.0009472,0.0009472,0.0009472
10,2153.82,0.79594,0.58285,0.14396,0.40652,0.35547,0.34169,0.1794,0.62774,0.64096,0.11976,0.0009406,0.0009406,0.0009406
11,2367.41,0.77945,0.58961,0.14181,0.45314,0.39362,0.3698,0.20357,0.59009,0.62933,0.11102,0.000934,0.000934,0.000934
12,2580.39,0.74023,0.57623,0.12925,0.52305,0.40395,0.39418,0.21054,0.60322,0.60676,0.10905,0.0009274,0.0009274,0.0009274
13,2793.57,0.72868,0.56587,0.12585,0.40365,0.45086,0.36512,0.20112,0.60768,0.61386,0.12075,0.0009208,0.0009208,0.0009208
14,3006.4,0.70359,0.57432,0.11961,0.50383,0.45474,0.44184,0.24155,0.56448,0.60907,0.10394,0.0009142,0.0009142,0.0009142
15,3219.23,0.70544,0.57482,0.12114,0.55823,0.46116,0.47441,0.25916,0.56163,0.5696,0.10197,0.0009076,0.0009076,0.0009076
16,3432.42,0.67751,0.58325,0.11516,0.50408,0.45733,0.42978,0.23721,0.57725,0.60759,0.10703,0.000901,0.000901,0.000901
17,3645.11,0.64655,0.55409,0.10304,0.5428,0.5027,0.51482,0.30375,0.52855,0.55305,0.09391,0.0008944,0.0008944,0.0008944
18,3858.03,0.63675,0.54099,0.10099,0.6054,0.51417,0.54319,0.31614,0.52554,0.53639,0.09091,0.0008878,0.0008878,0.0008878
19,4070.87,0.61303,0.5349,0.09534,0.62108,0.53854,0.56524,0.32808,0.50762,0.54249,0.08579,0.0008812,0.0008812,0.0008812
20,4283.57,0.60904,0.5303,0.09413,0.63524,0.54223,0.57773,0.34278,0.50454,0.51261,0.08777,0.0008746,0.0008746,0.0008746
21,4496.55,0.60829,0.53622,0.09306,0.62622,0.56608,0.6039,0.35835,0.4975,0.51059,0.08633,0.000868,0.000868,0.000868
22,4709.64,0.58987,0.53306,0.09143,0.633,0.56429,0.59905,0.34522,0.50382,0.52222,0.09029,0.0008614,0.0008614,0.0008614
23,4922.76,0.58977,0.52576,0.09076,0.60689,0.60972,0.60734,0.36054,0.49674,0.51798,0.08811,0.0008548,0.0008548,0.0008548
24,5135.76,0.57703,0.52336,0.08691,0.63084,0.57069,0.59635,0.36252,0.49606,0.51631,0.08677,0.0008482,0.0008482,0.0008482
25,5349.04,0.58049,0.52531,0.08945,0.67678,0.57828,0.61213,0.35869,0.49514,0.50759,0.08469,0.0008416,0.0008416,0.0008416
26,5562.12,0.56604,0.52082,0.08637,0.65686,0.57882,0.62772,0.39202,0.48173,0.4985,0.08144,0.000835,0.000835,0.000835
27,5775.26,0.56512,0.51656,0.08464,0.66805,0.61991,0.65236,0.39593,0.479,0.49648,0.08323,0.0008284,0.0008284,0.0008284
28,5989,0.55407,0.5048,0.08058,0.70239,0.6518,0.69678,0.42912,0.46777,0.4707,0.08037,0.0008218,0.0008218,0.0008218
29,6202.01,0.54515,0.50078,0.07833,0.71042,0.65288,0.69919,0.42065,0.46817,0.48142,0.0781,0.0008152,0.0008152,0.0008152
30,6415.3,0.55006,0.50247,0.07965,0.67733,0.64188,0.68564,0.41709,0.46645,0.48747,0.08145,0.0008086,0.0008086,0.0008086
31,6628.39,0.54813,0.50299,0.0794,0.68212,0.68221,0.70975,0.43225,0.4561,0.47124,0.07498,0.000802,0.000802,0.000802
32,6841.59,0.54046,0.49322,0.07651,0.73166,0.69093,0.73675,0.45346,0.45534,0.47153,0.07523,0.0007954,0.0007954,0.0007954
33,7054.94,0.53897,0.50596,0.07788,0.69617,0.65246,0.68082,0.41726,0.46167,0.48725,0.07895,0.0007888,0.0007888,0.0007888
34,7268.05,0.53363,0.49526,0.07445,0.74901,0.66373,0.72092,0.45131,0.45332,0.4606,0.07587,0.0007822,0.0007822,0.0007822
35,7481.35,0.53228,0.48347,0.07352,0.74014,0.6853,0.7339,0.44864,0.4497,0.45908,0.07198,0.0007756,0.0007756,0.0007756
36,7694.52,0.52949,0.4864,0.07444,0.76731,0.68661,0.75386,0.45983,0.44334,0.45677,0.07291,0.000769,0.000769,0.000769
37,7907.62,0.51757,0.48437,0.07541,0.74986,0.68145,0.73891,0.458,0.44504,0.46988,0.07148,0.0007624,0.0007624,0.0007624
38,8120.42,0.51196,0.47496,0.0716,0.75499,0.71814,0.77022,0.47509,0.43596,0.44795,0.07092,0.0007558,0.0007558,0.0007558
39,8336.08,0.51431,0.47537,0.07272,0.78178,0.69304,0.75441,0.4689,0.43872,0.45954,0.07126,0.0007492,0.0007492,0.0007492
40,8582.06,0.50022,0.4708,0.06964,0.78883,0.72712,0.77831,0.4872,0.43134,0.44272,0.06936,0.0007426,0.0007426,0.0007426
41,8830.5,0.50602,0.48486,0.07007,0.77752,0.71857,0.77128,0.48055,0.43386,0.45606,0.07034,0.000736,0.000736,0.000736
42,9049.37,0.51379,0.48585,0.07262,0.74664,0.71066,0.75337,0.46915,0.43225,0.46638,0.07086,0.0007294,0.0007294,0.0007294
43,9262.14,0.4959,0.47418,0.06899,0.77029,0.71539,0.76619,0.47981,0.43874,0.44932,0.07158,0.0007228,0.0007228,0.0007228
44,9474.45,0.49526,0.46482,0.06667,0.78873,0.73179,0.78454,0.49586,0.42806,0.43854,0.06768,0.0007162,0.0007162,0.0007162
45,9687.14,0.4922,0.46494,0.06919,0.77966,0.75082,0.7975,0.50598,0.42965,0.43727,0.06895,0.0007096,0.0007096,0.0007096
46,9899.77,0.48625,0.46308,0.06533,0.78564,0.74461,0.78945,0.5042,0.42586,0.43532,0.06836,0.000703,0.000703,0.000703
47,10111.8,0.48743,0.46101,0.06511,0.80066,0.73286,0.78653,0.50097,0.42457,0.44012,0.06838,0.0006964,0.0006964,0.0006964
48,10325,0.48748,0.46199,0.06704,0.75779,0.77796,0.79208,0.50442,0.42995,0.43236,0.06851,0.0006898,0.0006898,0.0006898
49,10538.1,0.48147,0.4656,0.06532,0.82861,0.75707,0.80623,0.5137,0.41671,0.42863,0.06495,0.0006832,0.0006832,0.0006832
50,10751.3,0.47626,0.45336,0.06398,0.81771,0.76493,0.80759,0.51511,0.41503,0.43273,0.06373,0.0006766,0.0006766,0.0006766
51,10964.6,0.47374,0.45025,0.06241,0.8314,0.77377,0.8259,0.53394,0.41343,0.42944,0.06341,0.00067,0.00067,0.00067
52,11177.4,0.47809,0.45155,0.06337,0.7609,0.76439,0.80054,0.50885,0.41989,0.43182,0.06623,0.0006634,0.0006634,0.0006634
53,11390.8,0.48126,0.45551,0.06468,0.81664,0.77658,0.8183,0.52692,0.41287,0.4283,0.06439,0.0006568,0.0006568,0.0006568
54,11604,0.47276,0.45133,0.06162,0.83674,0.76187,0.81436,0.52437,0.41692,0.43179,0.06393,0.0006502,0.0006502,0.0006502
55,11817.1,0.47551,0.4516,0.06426,0.80827,0.78041,0.81351,0.52161,0.4141,0.42814,0.06498,0.0006436,0.0006436,0.0006436
56,12030.5,0.46988,0.45422,0.06303,0.80634,0.77755,0.81362,0.52409,0.41577,0.4305,0.06786,0.000637,0.000637,0.000637
57,12243.5,0.46718,0.44795,0.06196,0.82397,0.74226,0.8101,0.52239,0.41757,0.43287,0.06546,0.0006304,0.0006304,0.0006304
58,12456.8,0.4664,0.4384,0.0603,0.84254,0.78092,0.83323,0.54436,0.41022,0.41503,0.06285,0.0006238,0.0006238,0.0006238
59,12669.8,0.46157,0.44602,0.06232,0.81525,0.80232,0.82699,0.52921,0.41173,0.42209,0.06346,0.0006172,0.0006172,0.0006172
60,12909.7,0.45679,0.44251,0.06079,0.83444,0.79176,0.82975,0.53281,0.41119,0.41976,0.06323,0.0006106,0.0006106,0.0006106
61,13165.6,0.46651,0.44394,0.06006,0.82988,0.79319,0.8308,0.53709,0.41121,0.41536,0.0638,0.000604,0.000604,0.000604
62,13406.3,0.45722,0.44658,0.06225,0.83999,0.79287,0.83921,0.54263,0.40486,0.41864,0.0615,0.0005974,0.0005974,0.0005974
63,13647,0.45943,0.43864,0.05936,0.84368,0.78588,0.8304,0.53756,0.40497,0.41791,0.06214,0.0005908,0.0005908,0.0005908
64,13887.5,0.45596,0.43629,0.05916,0.83378,0.79277,0.84097,0.55071,0.40068,0.41325,0.06164,0.0005842,0.0005842,0.0005842
65,14128.4,0.45018,0.43363,0.05959,0.8114,0.79663,0.83532,0.54523,0.40107,0.41674,0.06097,0.0005776,0.0005776,0.0005776
66,14369.5,0.45433,0.43358,0.05825,0.84001,0.79044,0.83465,0.54467,0.40202,0.41294,0.06308,0.000571,0.000571,0.000571
67,14610.5,0.45058,0.432,0.05804,0.83359,0.81276,0.83528,0.54469,0.40031,0.41195,0.06159,0.0005644,0.0005644,0.0005644
68,14846.9,0.44868,0.43334,0.05766,0.85868,0.79807,0.84225,0.54458,0.40444,0.41101,0.06377,0.0005578,0.0005578,0.0005578
69,15082.9,0.4497,0.43017,0.05635,0.852,0.78439,0.84517,0.55054,0.40178,0.4186,0.06214,0.0005512,0.0005512,0.0005512
70,15318.6,0.44259,0.4274,0.05648,0.84638,0.81947,0.85827,0.55687,0.40021,0.40762,0.06075,0.0005446,0.0005446,0.0005446
71,15554.9,0.45118,0.43262,0.05962,0.83283,0.7899,0.83826,0.54317,0.40101,0.41519,0.06174,0.000538,0.000538,0.000538
72,15790.7,0.43964,0.43218,0.05656,0.84103,0.79681,0.83996,0.55298,0.39873,0.41543,0.06066,0.0005314,0.0005314,0.0005314
73,16026,0.44482,0.42938,0.05654,0.84993,0.80648,0.85045,0.55902,0.39741,0.4107,0.06088,0.0005248,0.0005248,0.0005248
74,16261.8,0.43651,0.42544,0.05611,0.83104,0.82658,0.85026,0.5628,0.39446,0.40865,0.05988,0.0005182,0.0005182,0.0005182
75,16497.8,0.43867,0.42148,0.05576,0.83818,0.81039,0.84735,0.56561,0.39208,0.40986,0.05911,0.0005116,0.0005116,0.0005116
76,16734,0.43859,0.42432,0.05749,0.83954,0.81583,0.83842,0.55191,0.39806,0.41012,0.06069,0.000505,0.000505,0.000505
