epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,246.779,1.86627,0.63609,0.76981,0.38658,0.05729,0.02872,0.01062,1.19035,0.6577,0.43491,0.00033288,0.00033288,0.00033288
2,483.855,1.22578,0.56258,0.33598,0.7517,0.11042,0.06929,0.02974,nan,nan,nan,0.000661816,0.000661816,0.000661816
3,718.979,1.11629,0.58907,0.27388,0.69126,0.1286,0.08552,0.03974,0.86996,0.78557,0.25117,0.000986352,0.000986352,0.000986352
4,954.692,1.01594,0.61062,0.22679,0.42585,0.19081,0.17046,0.07512,0.78376,0.71418,0.19083,0.0009802,0.0009802,0.0009802
5,1190.02,0.96342,0.65173,0.21268,0.55051,0.18488,0.20218,0.09644,0.74543,0.71835,0.16495,0.0009736,0.0009736,0.0009736
6,1425.25,0.89568,0.60309,0.18211,0.38296,0.31214,0.25435,0.12149,0.6969,0.67546,0.15639,0.000967,0.000967,0.000967
7,1663.8,0.91826,0.58976,0.20291,0.3674,0.31518,0.25538,0.13213,0.67467,0.66352,0.13657,0.0009604,0.0009604,0.0009604
8,1899.16,0.8406,0.59163,0.16619,0.37941,0.3335,0.30328,0.15783,0.66512,0.62428,0.13645,0.0009538,0.0009538,0.0009538
9,2133.85,0.80188,0.57354,0.14854,0.30452,0.3075,0.25207,0.11451,0.7314,0.62276,0.16236,0.0009472,0.0009472,0.0009472
10,2369.63,0.79423,0.58679,0.14643,0.44831,0.41806,0.38989,0.20979,0.60375,0.59749,0.11405,0.0009406,0.0009406,0.0009406
11,2605.02,0.75031,0.57535,0.13667,0.43646,0.37651,0.36105,0.1982,0.61274,0.59463,0.12554,0.000934,0.000934,0.000934
12,2839.7,0.72495,0.56312,0.12874,0.46027,0.42594,0.40865,0.23094,0.56291,0.60079,0.10649,0.0009274,0.0009274,0.0009274
13,3075.6,0.70432,0.55792,0.11937,0.52009,0.4781,0.46003,0.25748,0.55805,0.55193,0.10098,0.0009208,0.0009208,0.0009208
14,3310.7,0.6796,0.56541,0.11415,0.56677,0.47969,0.4866,0.28332,0.54022,0.55509,0.09485,0.0009142,0.0009142,0.0009142
15,3545.82,0.66276,0.54528,0.11007,0.5705,0.50799,0.52418,0.29842,0.54149,0.52892,0.09427,0.0009076,0.0009076,0.0009076
16,3781.02,0.64356,0.54439,0.10463,0.55121,0.52832,0.52311,0.31203,0.50757,0.52876,0.08761,0.000901,0.000901,0.000901
17,4016.05,0.64584,0.543,0.10686,0.55983,0.54613,0.53333,0.31243,0.50984,0.5384,0.08863,0.0008944,0.0008944,0.0008944
18,4251.07,0.63088,0.52991,0.10243,0.61073,0.51813,0.54186,0.31198,0.50895,0.52616,0.0891,0.0008878,0.0008878,0.0008878
19,4486.33,0.62224,0.52139,0.09914,0.64505,0.51521,0.57441,0.33304,0.49216,0.51185,0.08629,0.0008812,0.0008812,0.0008812
20,4721.61,0.60517,0.5278,0.09446,0.65145,0.55091,0.58213,0.34404,0.49103,0.51077,0.08457,0.0008746,0.0008746,0.0008746
21,4957.26,0.60096,0.52473,0.09389,0.66205,0.5807,0.61112,0.36018,0.48554,0.50943,0.08193,0.000868,0.000868,0.000868
22,5192.68,0.58847,0.51861,0.09118,0.65361,0.61069,0.62989,0.38206,0.48584,0.48422,0.08155,0.0008614,0.0008614,0.0008614
