epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,243.2,1.96804,0.5296,0.81499,0.67906,0.01636,0.00457,0.00136,1.57665,0.41286,0.61076,0.00033288,0.00033288,0.00033288
2,476.956,1.60143,0.41501,0.56282,0.71041,0.04494,0.01972,0.00769,1.27234,0.62237,0.44308,0.000661816,0.000661816,0.000661816
3,709.673,1.29012,0.56529,0.3778,0.60502,0.08243,0.03567,0.01537,1.16659,0.67489,0.41325,0.000986352,0.000986352,0.000986352
4,941.535,1.15617,0.61632,0.30396,0.55165,0.1032,0.06664,0.03344,0.93813,0.76461,0.26152,0.0009802,0.0009802,0.0009802
5,1174.12,1.07196,0.63924,0.27947,0.61577,0.13176,0.10394,0.05173,0.87032,0.76163,0.24012,0.0009736,0.0009736,0.0009736
6,1405.84,1.00121,0.63722,0.23751,0.30181,0.19521,0.16156,0.07965,0.74664,0.78792,0.18775,0.000967,0.000967,0.000967
7,1634.45,0.95509,0.64649,0.22027,0.34881,0.21829,0.16861,0.08827,0.75647,0.73827,0.17818,0.0009604,0.0009604,0.0009604
8,1863.69,0.90418,0.62362,0.19988,0.27735,0.28554,0.19051,0.10191,0.68428,0.73049,0.15228,0.0009538,0.0009538,0.0009538
9,2092.26,0.85257,0.6275,0.1783,0.3624,0.32603,0.25608,0.13785,0.63549,0.68902,0.13108,0.0009472,0.0009472,0.0009472
10,2320.36,0.82517,0.62809,0.1666,0.34844,0.30687,0.25348,0.13791,0.64843,0.70199,0.13759,0.0009406,0.0009406,0.0009406
11,2549.46,0.7842,0.60449,0.15608,0.36334,0.31535,0.28505,0.15603,0.63433,0.669,0.13976,0.000934,0.000934,0.000934
12,2777.49,0.787,0.59882,0.15905,0.43362,0.35493,0.31583,0.17301,0.60915,0.66662,0.12527,0.0009274,0.0009274,0.0009274
13,3005.95,0.76643,0.59818,0.15059,0.50676,0.35479,0.35656,0.19124,0.59201,0.64079,0.11899,0.0009208,0.0009208,0.0009208
14,3234.32,0.74285,0.60367,0.14193,0.44028,0.3604,0.35385,0.20831,0.57193,0.64437,0.11175,0.0009142,0.0009142,0.0009142
