epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,247.45,1.79724,0.63072,0.71138,0.54233,0.08673,0.03024,0.00974,1.16955,0.68834,0.39618,0.00033288,0.00033288,0.00033288
2,487.968,1.23768,0.556,0.34249,0.58839,0.11267,0.08266,0.03171,0.95933,0.71757,0.25704,0.000661816,0.000661816,0.000661816
3,734.416,1.09366,0.61126,0.27145,0.63128,0.15761,0.11366,0.0552,0.89688,0.84473,0.25464,0.000986352,0.000986352,0.000986352
4,976.724,1.01142,0.63049,0.22975,0.48683,0.18023,0.15918,0.07806,0.78735,0.73366,0.2,0.0009802,0.0009802,0.0009802
5,1215.48,0.92344,0.63177,0.20132,0.34552,0.29065,0.21261,0.10141,0.77097,0.68879,0.18407,0.0009736,0.0009736,0.0009736
6,1450.69,0.91497,0.61797,0.19297,0.28288,0.33259,0.21127,0.10315,nan,nan,nan,0.000967,0.000967,0.000967
7,1690.45,0.84587,0.5981,0.16884,0.39088,0.34824,0.31045,0.15906,0.65391,0.65305,0.13281,0.0009604,0.0009604,0.0009604
8,1927.95,0.81788,0.58765,0.15921,0.37937,0.36291,0.3024,0.15976,0.65604,0.70465,0.15052,0.0009538,0.0009538,0.0009538
9,2164.95,0.78949,0.58729,0.1455,0.47614,0.39581,0.38132,0.19399,0.62094,0.60979,0.12405,0.0009472,0.0009472,0.0009472
10,2404.15,0.74457,0.56788,0.13234,0.45184,0.42122,0.37866,0.20856,0.63271,0.56997,0.12763,0.0009406,0.0009406,0.0009406
11,2638.78,0.71438,0.55832,0.12463,0.51458,0.41056,0.42262,0.23799,0.56484,0.58231,0.10596,0.000934,0.000934,0.000934
12,2876.31,0.70982,0.57349,0.12505,0.50992,0.46601,0.43683,0.24379,0.56301,0.58449,0.1046,0.0009274,0.0009274,0.0009274
13,3119.6,0.6866,0.55398,0.1167,0.45582,0.48506,0.44705,0.25077,0.56035,0.57496,0.10357,0.0009208,0.0009208,0.0009208
14,3356.76,0.66266,0.56454,0.11314,0.55575,0.48458,0.49423,0.28357,0.52923,0.55722,0.09836,0.0009142,0.0009142,0.0009142
15,3595.3,0.64572,0.55375,0.10917,0.61042,0.49586,0.50234,0.29078,0.52994,0.54891,0.0941,0.0009076,0.0009076,0.0009076
16,3829.74,0.62186,0.55407,0.10128,0.5999,0.52609,0.54303,0.32054,0.50048,0.53828,0.08527,0.000901,0.000901,0.000901
17,4064.27,0.62893,0.56603,0.10574,0.55686,0.54646,0.54532,0.32599,0.49915,0.53659,0.08783,0.0008944,0.0008944,0.0008944
18,4299.38,0.61982,0.54248,0.10173,0.60237,0.53377,0.55668,0.32905,0.49046,0.52163,0.08522,0.0008878,0.0008878,0.0008878
19,4534.3,0.6119,0.55944,0.09929,0.58362,0.4608,0.47521,0.2921,0.51801,0.66922,0.09916,0.0008812,0.0008812,0.0008812
20,4771.58,0.59188,0.55061,0.09301,0.5827,0.51478,0.56218,0.33862,0.48037,0.52191,0.08478,0.0008746,0.0008746,0.0008746
21,5010.99,0.5749,0.52257,0.08953,0.62573,0.57535,0.60897,0.37354,0.47674,0.51044,0.08057,0.000868,0.000868,0.000868
22,5248.19,0.57736,0.52832,0.09024,0.65439,0.60269,0.62991,0.39078,0.47132,0.48906,0.08099,0.0008614,0.0008614,0.0008614
23,5489.49,0.56932,0.55965,0.09109,0.63865,0.58235,0.60111,0.36771,0.46484,0.52198,0.07987,0.0008548,0.0008548,0.0008548
24,5732.03,0.54683,0.52188,0.08325,0.65423,0.61083,0.62672,0.39028,0.45866,0.48845,0.07754,0.0008482,0.0008482,0.0008482
25,5966.69,0.53992,0.50529,0.08211,0.70488,0.6231,0.67773,0.41641,0.45986,0.47999,0.07753,0.0008416,0.0008416,0.0008416
26,6204.06,0.53831,0.51219,0.08284,0.6723,0.58199,0.62544,0.38697,0.48142,0.48457,0.08345,0.000835,0.000835,0.000835
27,6452.39,0.5442,0.51032,0.08195,0.67644,0.64064,0.66345,0.40931,0.45681,0.49648,0.07578,0.0008284,0.0008284,0.0008284
28,6696.62,0.53629,0.49951,0.07887,0.67647,0.66531,0.68791,0.43078,0.44856,0.4735,0.07598,0.0008218,0.0008218,0.0008218
29,6935.54,0.52407,0.50108,0.07804,0.71194,0.64078,0.68816,0.42108,0.44768,0.48389,0.07704,0.0008152,0.0008152,0.0008152
30,7170.5,0.53724,0.50312,0.07928,0.72317,0.6314,0.67151,0.4116,0.45459,0.48332,0.07745,0.0008086,0.0008086,0.0008086
31,7405.57,0.52434,0.48762,0.07709,0.73393,0.64898,0.70032,0.44384,0.44029,0.46111,0.07291,0.000802,0.000802,0.000802
32,7640.51,0.52442,0.49251,0.07594,0.72249,0.66708,0.70605,0.44123,0.43498,0.45985,0.07065,0.0007954,0.0007954,0.0007954
33,7877.55,0.51169,0.48772,0.07528,0.70914,0.68619,0.71424,0.44328,0.44508,0.45282,0.0731,0.0007888,0.0007888,0.0007888
34,8115.45,0.51141,0.48442,0.07546,0.76116,0.67189,0.73343,0.46317,0.43324,0.44855,0.07117,0.0007822,0.0007822,0.0007822
35,8350.69,0.51152,0.48646,0.07506,0.7501,0.68278,0.73057,0.46107,0.43911,0.45919,0.07221,0.0007756,0.0007756,0.0007756
36,8589.69,0.5081,0.4893,0.07475,0.76336,0.68736,0.73605,0.4576,0.43872,0.45338,0.07421,0.000769,0.000769,0.000769
37,8824.52,0.49582,0.48226,0.07168,0.74623,0.70206,0.74404,0.46964,0.42747,0.44788,0.06967,0.0007624,0.0007624,0.0007624
38,9061.9,0.48905,0.47118,0.07061,0.7448,0.68102,0.74399,0.47062,0.42266,0.44611,0.06947,0.0007558,0.0007558,0.0007558
39,9302.96,0.49366,0.48007,0.0731,0.72688,0.72042,0.74213,0.47079,0.42351,0.45405,0.06846,0.0007492,0.0007492,0.0007492
40,9545.55,0.48311,0.46745,0.06853,0.73886,0.73648,0.76492,0.49172,0.4124,0.43791,0.06743,0.0007426,0.0007426,0.0007426
41,9780.96,0.48828,0.46845,0.06772,0.78046,0.70873,0.78088,0.4952,0.42119,0.43333,0.06834,0.000736,0.000736,0.000736
42,10015.8,0.48106,0.46513,0.06789,0.77502,0.73042,0.76684,0.48623,0.41952,0.43325,0.06704,0.0007294,0.0007294,0.0007294
43,10251,0.47268,0.46715,0.06561,0.81161,0.7296,0.76945,0.49692,0.4161,0.43576,0.06607,0.0007228,0.0007228,0.0007228
44,10489.1,0.47256,0.46798,0.06648,0.80388,0.72721,0.79123,0.50812,0.41296,0.43083,0.06736,0.0007162,0.0007162,0.0007162
45,10728.7,0.47375,0.45798,0.06859,0.78088,0.72352,0.77244,0.49719,0.41705,0.43917,0.06809,0.0007096,0.0007096,0.0007096
46,10966,0.47471,0.46498,0.06917,0.77405,0.72688,0.77409,0.49403,0.41585,0.43185,0.06597,0.000703,0.000703,0.000703
47,11211.3,0.47834,0.46528,0.06634,0.80108,0.72535,0.79111,0.5037,0.41407,0.43343,0.06641,0.0006964,0.0006964,0.0006964
48,11456.1,0.47487,0.45645,0.06722,0.79676,0.73994,0.79117,0.50376,0.4186,0.42664,0.06654,0.0006898,0.0006898,0.0006898
49,11701.1,0.46532,0.44814,0.06345,0.78053,0.76252,0.7887,0.50583,0.40616,0.42361,0.06494,0.0006832,0.0006832,0.0006832
50,11946.3,0.45832,0.44681,0.06346,0.80226,0.75778,0.7972,0.52071,0.40339,0.42331,0.06425,0.0006766,0.0006766,0.0006766
51,12185.7,0.46093,0.44337,0.0631,0.84251,0.75911,0.80749,0.52485,0.40669,0.42159,0.06524,0.00067,0.00067,0.00067
52,12420.6,0.45782,0.44325,0.06292,0.81514,0.77696,0.80138,0.52193,0.4008,0.42062,0.06392,0.0006634,0.0006634,0.0006634
53,12658.8,0.46056,0.44373,0.06385,0.79565,0.78299,0.81737,0.53016,0.40128,0.42174,0.06321,0.0006568,0.0006568,0.0006568
54,12894.1,0.4562,0.44224,0.06201,0.80102,0.76125,0.79145,0.51492,0.40621,0.42622,0.06474,0.0006502,0.0006502,0.0006502
55,13131.6,0.4549,0.44267,0.06353,0.81505,0.78354,0.82197,0.53617,0.39989,0.41411,0.06151,0.0006436,0.0006436,0.0006436
56,13370.2,0.45329,0.44373,0.06289,0.82277,0.77438,0.82258,0.54156,0.39761,0.41586,0.06205,0.000637,0.000637,0.000637
57,13605.8,0.44785,0.43876,0.05977,0.83383,0.76488,0.81538,0.53089,0.39432,0.41324,0.06154,0.0006304,0.0006304,0.0006304
58,13845.1,0.44446,0.43344,0.05905,0.8369,0.78994,0.82479,0.53087,0.39571,0.41461,0.06252,0.0006238,0.0006238,0.0006238
59,14080.7,0.43775,0.43225,0.06157,0.82384,0.78368,0.8205,0.53139,0.3938,0.41405,0.06158,0.0006172,0.0006172,0.0006172
