epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,270.099,2.21106,0.41221,1.48066,0.8413,0.01168,0.00248,0.00093,1.64405,0.37506,0.63855,0.00033288,0.00033288,0.00033288
2,530.714,1.74841,0.34292,0.65096,0.72854,0.0507,0.0223,0.00847,1.17955,0.6498,0.41227,0.000661816,0.000661816,0.000661816
3,783.632,1.3714,0.54168,0.42213,0.72916,0.08309,0.0442,0.0201,0.97667,0.76379,0.29342,0.000986352,0.000986352,0.000986352
4,1036.17,1.17721,0.58675,0.31187,0.68214,0.11224,0.11262,0.0469,0.86867,0.77087,0.24245,0.0009802,0.0009802,0.0009802
5,1291,1.06835,0.62603,0.27019,0.56974,0.1398,0.12527,0.05816,0.84194,0.796,0.23546,0.0009736,0.0009736,0.0009736
6,1548.54,1.0494,0.63364,0.26025,0.43995,0.2153,0.17153,0.08202,0.8301,0.72517,0.20379,0.000967,0.000967,0.000967
7,1807.1,0.98062,0.62611,0.23223,0.31261,0.2676,0.20638,0.1031,0.75998,0.70531,0.17524,0.0009604,0.0009604,0.0009604
8,2060.56,0.90815,0.63034,0.20232,0.35889,0.26031,0.25545,0.12848,0.71119,0.68475,0.15281,0.0009538,0.0009538,0.0009538
9,2313.96,0.86309,0.61798,0.17898,0.33879,0.34086,0.28362,0.14711,0.64715,0.67835,0.12904,0.0009472,0.0009472,0.0009472
10,2567.02,0.82136,0.60146,0.16379,0.3923,0.32618,0.29778,0.16143,0.64801,0.65902,0.13397,0.0009406,0.0009406,0.0009406
11,2820.04,0.79943,0.61272,0.16095,0.42328,0.38863,0.34209,0.18256,0.61875,0.62691,0.12449,0.000934,0.000934,0.000934
12,3077.51,0.76248,0.5932,0.1467,0.51159,0.36446,0.36739,0.20387,0.59869,0.67812,0.11702,0.0009274,0.0009274,0.0009274
