epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,259.628,1.80534,0.59699,0.71011,0.54702,0.04981,0.0225,0.00709,1.2309,0.60359,0.42098,0.00033288,0.00033288,0.00033288
2,506.175,1.25396,0.54446,0.34019,0.58016,0.09844,0.0585,0.02515,0.92463,0.74516,0.25476,0.000661816,0.000661816,0.000661816
3,749.878,1.09408,0.60584,0.2588,0.75863,0.14096,0.11043,0.0513,0.85283,0.75638,0.20971,0.000986352,0.000986352,0.000986352
4,988.162,1.02598,0.61388,0.22565,0.46337,0.19408,0.14304,0.06906,0.80252,0.73226,0.20359,0.0009802,0.0009802,0.0009802
5,1228.07,0.94429,0.6218,0.19969,0.47725,0.2128,0.19024,0.09267,0.73826,0.71513,0.1506,0.0009736,0.0009736,0.0009736
6,1474.04,0.90423,0.59239,0.1789,0.44634,0.28,0.25624,0.12186,0.71644,0.67484,0.14364,0.000967,0.000967,0.000967
7,1721.46,0.87419,0.60131,0.1732,0.34664,0.38272,0.28827,0.14646,0.68349,0.65834,0.13459,0.0009604,0.0009604,0.0009604
8,1968.4,0.82553,0.58072,0.15431,0.34344,0.35851,0.28986,0.15154,0.66056,0.63806,0.13021,0.0009538,0.0009538,0.0009538
9,2214.92,0.79678,0.57401,0.14442,0.49215,0.36865,0.36993,0.19697,0.60706,0.59806,0.11616,0.0009472,0.0009472,0.0009472
10,2458.13,0.78175,0.55773,0.14171,0.45365,0.37693,0.3661,0.19294,0.60794,0.61345,0.11997,0.0009406,0.0009406,0.0009406
11,2698.79,0.74872,0.5709,0.13196,0.44854,0.40826,0.39133,0.21822,0.5767,0.6135,0.10551,0.000934,0.000934,0.000934
12,2947.14,0.73053,0.5604,0.1274,0.44589,0.43822,0.39966,0.22139,0.57566,0.61759,0.10838,0.0009274,0.0009274,0.0009274
13,3196.32,0.70694,0.55156,0.11797,0.55756,0.43322,0.46156,0.2493,0.56519,0.54285,0.10717,0.0009208,0.0009208,0.0009208
14,3443.19,0.67627,0.54724,0.1111,0.50152,0.47917,0.47781,0.27165,0.54067,0.5585,0.09861,0.0009142,0.0009142,0.0009142
15,3695.26,0.67471,0.54357,0.11295,0.5441,0.5147,0.50317,0.2875,0.54673,0.53393,0.10286,0.0009076,0.0009076,0.0009076
16,3944.99,0.65446,0.55454,0.10671,0.41439,0.49309,0.39006,0.22945,0.54231,0.88597,0.09793,0.000901,0.000901,0.000901
17,4196.01,0.67038,0.55442,0.11371,0.53834,0.52005,0.51901,0.30776,0.52585,0.53202,0.09415,0.0008944,0.0008944,0.0008944
18,4443.25,0.65011,0.53816,0.10548,0.58752,0.51792,0.52815,0.31392,0.5219,0.52994,0.09382,0.0008878,0.0008878,0.0008878
19,4692.48,0.63538,0.53028,0.10081,0.59897,0.52091,0.53878,0.30707,0.50876,0.53103,0.08761,0.0008812,0.0008812,0.0008812
20,4933.17,0.61557,0.52895,0.09534,0.63496,0.54964,0.58104,0.34166,0.49769,0.51034,0.08619,0.0008746,0.0008746,0.0008746
21,5181.72,0.59939,0.51651,0.09257,0.64081,0.60925,0.61108,0.35792,0.49545,0.50377,0.08603,0.000868,0.000868,0.000868
22,5429.78,0.59366,0.51506,0.09191,0.64226,0.58012,0.59651,0.35591,0.50676,0.48466,0.08565,0.0008614,0.0008614,0.0008614
23,5681.38,0.58988,0.52044,0.09238,0.62581,0.57023,0.59053,0.35499,0.48814,0.50542,0.08571,0.0008548,0.0008548,0.0008548
24,5934.52,0.57514,0.51662,0.08909,0.64634,0.55309,0.59263,0.36472,0.47834,0.50187,0.08061,0.0008482,0.0008482,0.0008482
25,6185.08,0.57991,0.51554,0.08921,0.64699,0.58891,0.61455,0.37608,0.47941,0.50603,0.08156,0.0008416,0.0008416,0.0008416
26,6434.71,0.56358,0.50467,0.08521,0.64747,0.58966,0.60922,0.38007,0.47031,0.49497,0.07874,0.000835,0.000835,0.000835
27,6686.16,0.56959,0.50093,0.08518,0.69048,0.62364,0.66497,0.40446,0.46742,0.48187,0.07721,0.0008284,0.0008284,0.0008284
28,6937.95,0.55431,0.49266,0.0798,0.70014,0.63171,0.67172,0.41338,0.46076,0.4755,0.07723,0.0008218,0.0008218,0.0008218
29,7188.91,0.54484,0.48855,0.07979,0.7423,0.65376,0.70203,0.42901,0.45937,0.46834,0.07756,0.0008152,0.0008152,0.0008152
30,7441.04,0.55034,0.49126,0.08021,0.74301,0.63954,0.6844,0.42338,0.45574,0.46765,0.07551,0.0008086,0.0008086,0.0008086
31,7695.5,0.5365,0.48035,0.07692,0.75284,0.65897,0.71309,0.44385,0.44767,0.45288,0.0745,0.000802,0.000802,0.000802
32,7945.27,0.53719,0.47697,0.07592,0.76257,0.68342,0.73881,0.45845,0.43782,0.45541,0.07189,0.0007954,0.0007954,0.0007954
33,8184.1,0.52561,0.47871,0.07585,0.74064,0.67294,0.70834,0.43444,0.4532,0.45682,0.07637,0.0007888,0.0007888,0.0007888
34,8426.67,0.53511,0.48445,0.07763,0.76397,0.64447,0.71836,0.44489,0.44472,0.45916,0.07132,0.0007822,0.0007822,0.0007822
35,8668.7,0.523,0.47326,0.07454,0.79729,0.69249,0.74677,0.47179,0.43783,0.45097,0.07115,0.0007756,0.0007756,0.0007756
36,8922.05,0.51828,0.47387,0.0736,0.77996,0.69088,0.74054,0.46636,0.43828,0.4479,0.0701,0.000769,0.000769,0.000769
37,9177.37,0.52169,0.48162,0.07726,0.78485,0.65557,0.70524,0.43613,0.44327,0.46495,0.07077,0.0007624,0.0007624,0.0007624
38,9423.84,0.51699,0.47973,0.0761,0.73021,0.71669,0.74879,0.46942,0.43853,0.44492,0.07097,0.0007558,0.0007558,0.0007558
39,9670.51,0.50753,0.47446,0.07333,0.76877,0.68701,0.74417,0.4663,0.43351,0.45415,0.06999,0.0007492,0.0007492,0.0007492
40,9926.51,0.5076,0.46223,0.07287,0.80021,0.70769,0.76144,0.47837,0.43444,0.44138,0.07047,0.0007426,0.0007426,0.0007426
41,10176.7,0.51388,0.4657,0.07054,0.79941,0.70493,0.76784,0.48485,0.43111,0.44174,0.06945,0.000736,0.000736,0.000736
42,10428,0.51032,0.46521,0.07198,0.74689,0.71513,0.73687,0.47523,0.43131,0.43634,0.0708,0.0007294,0.0007294,0.0007294
43,10682.8,0.495,0.45846,0.06882,0.78463,0.74757,0.76387,0.49226,0.41426,0.43601,0.0657,0.0007228,0.0007228,0.0007228
44,10934.3,0.49419,0.45722,0.06971,0.77715,0.70074,0.75078,0.47643,0.43168,0.44144,0.06981,0.0007162,0.0007162,0.0007162
45,11186,0.49937,0.46009,0.07225,0.79256,0.72394,0.7764,0.48679,0.4296,0.43529,0.06993,0.0007096,0.0007096,0.0007096
46,11440.2,0.48702,0.45362,0.06815,0.79536,0.74115,0.79077,0.50992,0.41465,0.43062,0.06699,0.000703,0.000703,0.000703
