epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,252.932,1.93186,0.56403,0.77724,0.36801,0.04123,0.01466,0.00341,1.25658,0.54897,0.42129,0.00033288,0.00033288,0.00033288
2,499.381,1.27264,0.53057,0.34191,0.57607,0.09068,0.05398,0.01859,0.9789,0.71677,0.27021,0.000661816,0.000661816,0.000661816
3,747.583,1.10147,0.59083,0.26129,0.66479,0.12682,0.09386,0.04215,0.90855,0.69095,0.23998,0.000986352,0.000986352,0.000986352
4,991.274,1.04797,0.59864,0.23768,0.53794,0.18374,0.15966,0.07041,0.81307,0.7144,0.18766,0.0009802,0.0009802,0.0009802
5,1244.49,0.9509,0.62566,0.20723,0.45403,0.21916,0.19373,0.10055,0.75549,0.70746,0.17398,0.0009736,0.0009736,0.0009736
6,1496.04,0.92118,0.60686,0.19369,0.4849,0.22428,0.22041,0.11159,0.70669,0.68136,0.14665,0.000967,0.000967,0.000967
7,1747.18,0.87059,0.59784,0.17728,0.40287,0.31251,0.24245,0.12425,0.71575,0.6378,0.15181,0.0009604,0.0009604,0.0009604
8,1991.85,0.84597,0.6027,0.16672,0.30583,0.33266,0.24679,0.13674,0.66897,0.6878,0.13468,0.0009538,0.0009538,0.0009538
9,2233.61,0.79999,0.59172,0.15152,0.41283,0.37585,0.31267,0.16652,0.64702,0.64179,0.13237,0.0009472,0.0009472,0.0009472
10,2477.75,0.77625,0.57414,0.14229,0.40067,0.33714,0.30918,0.1618,0.6414,0.62687,0.1329,0.0009406,0.0009406,0.0009406
11,2726.83,0.75724,0.5785,0.13765,0.49927,0.36051,0.37414,0.19918,0.58331,0.60429,0.10757,0.000934,0.000934,0.000934
12,2981.49,0.73263,0.57634,0.13071,0.4874,0.38985,0.38706,0.21064,0.58331,0.60974,0.11182,0.0009274,0.0009274,0.0009274
13,3230.69,0.6996,0.55703,0.11839,0.45042,0.46394,0.41885,0.23241,0.56801,0.61017,0.10816,0.0009208,0.0009208,0.0009208
14,3476.21,0.6749,0.57331,0.11216,0.54944,0.46797,0.46641,0.26297,nan,nan,nan,0.0009142,0.0009142,0.0009142
15,3745.43,0.66137,0.55453,0.11002,0.51642,0.46165,0.44615,0.26206,0.52992,0.55729,0.09394,0.0009076,0.0009076,0.0009076
16,3986.81,0.64368,0.5483,0.10428,0.58341,0.44511,0.47639,0.28534,0.52341,0.54155,0.09116,0.000901,0.000901,0.000901
17,4230.96,0.63384,0.54641,0.10145,0.53753,0.52016,0.5199,0.30475,0.51782,0.52861,0.09051,0.0008944,0.0008944,0.0008944
18,4483.34,0.62734,0.53546,0.09909,0.60898,0.4975,0.5428,0.31461,0.50422,0.51804,0.08659,0.0008878,0.0008878,0.0008878
19,4757.96,0.62504,0.53273,0.09879,0.60127,0.53556,0.52689,0.30623,0.51768,0.53426,0.08945,0.0008812,0.0008812,0.0008812
20,5037.44,0.61052,0.52546,0.0941,0.62116,0.57121,0.5804,0.33934,0.49149,0.50428,0.08709,0.0008746,0.0008746,0.0008746
21,5287.98,0.59895,0.51535,0.09223,0.65195,0.55616,0.57994,0.33841,0.4945,0.51994,0.08682,0.000868,0.000868,0.000868
22,5528.86,0.60171,0.52264,0.09457,0.64235,0.54344,0.57931,0.33297,0.50679,0.50003,0.08833,0.0008614,0.0008614,0.0008614
23,5768.96,0.62573,0.53595,0.10385,0.62212,0.55721,0.56196,0.3207,0.50296,0.52379,0.09006,0.0008548,0.0008548,0.0008548
24,6009.87,0.58604,0.51342,0.09082,0.70792,0.57311,0.61772,0.36742,0.47817,0.49421,0.07978,0.0008482,0.0008482,0.0008482
25,6250.91,0.57091,0.50906,0.08696,0.6784,0.59379,0.62554,0.37179,0.48293,0.51123,0.0835,0.0008416,0.0008416,0.0008416
26,6490.97,0.57531,0.51977,0.08917,0.65328,0.5895,0.60711,0.37032,0.47137,0.4964,0.07906,0.000835,0.000835,0.000835
27,6731.64,0.57362,0.50498,0.08819,0.65688,0.58587,0.61471,0.37715,0.47258,0.49008,0.0835,0.0008284,0.0008284,0.0008284
28,6972.91,0.57084,0.50508,0.08613,0.64894,0.6307,0.6435,0.39732,0.46057,0.48404,0.07953,0.0008218,0.0008218,0.0008218
