epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,270.619,2.03597,0.6051,0.85402,0.50742,0.01715,0.00223,0.00053,1.64576,0.39905,0.64504,0.00033288,0.00033288,0.00033288
2,515.087,1.51917,0.40755,0.48295,0.57373,0.07419,0.04606,0.01496,1.12893,0.59935,0.34423,0.000661816,0.000661816,0.000661816
3,761.703,1.24553,0.52632,0.32997,0.59902,0.10736,0.07803,0.02995,0.963,0.6859,0.25011,0.000986352,0.000986352,0.000986352
4,1012.6,1.14337,0.5732,0.27477,0.57978,0.12104,0.08146,0.0344,1.01089,0.74215,0.29563,0.0009802,0.0009802,0.0009802
5,1255.89,1.05898,0.58422,0.24363,0.42214,0.1988,0.15063,0.069,0.82409,0.68916,0.19708,0.0009736,0.0009736,0.0009736
6,1494.84,1.00285,0.58846,0.21768,0.81031,0.15773,0.17792,0.0782,0.7978,0.68604,0.17912,0.000967,0.000967,0.000967
7,1733.79,0.93588,0.587,0.19697,0.32906,0.34356,0.25905,0.1155,0.71777,0.66252,0.14681,0.0009604,0.0009604,0.0009604
8,1973.35,0.90939,0.57419,0.18171,0.42383,0.31104,0.28953,0.14384,0.72035,0.62335,0.15488,0.0009538,0.0009538,0.0009538
9,2212.4,0.87637,0.58206,0.17022,0.42331,0.3433,0.27656,0.13285,0.67558,0.75612,0.13117,0.0009472,0.0009472,0.0009472
10,2451.64,0.83068,0.57014,0.15426,0.50745,0.36606,0.37535,0.20131,0.62921,0.58496,0.12246,0.0009406,0.0009406,0.0009406
11,2690.9,0.78594,0.55874,0.13951,0.44831,0.42636,0.38918,0.21168,0.61544,0.57717,0.11597,0.000934,0.000934,0.000934
12,2929.76,0.77433,0.54965,0.13766,0.49887,0.40883,0.40778,0.21766,0.62588,0.57084,0.11453,0.0009274,0.0009274,0.0009274
13,3168.49,0.75036,0.55234,0.12848,0.51488,0.38275,0.38988,0.20744,0.5952,0.60101,0.10778,0.0009208,0.0009208,0.0009208
14,3407.55,0.7234,0.55894,0.12177,0.56265,0.47439,0.46366,0.25879,0.57371,0.55131,0.10113,0.0009142,0.0009142,0.0009142
15,3646.23,0.70174,0.56223,0.11719,0.53091,0.4849,0.46091,0.25368,0.58194,0.55739,0.10398,0.0009076,0.0009076,0.0009076
16,3885.15,0.68603,0.55168,0.11335,0.55528,0.46523,0.47395,0.26503,0.55351,0.55172,0.09975,0.000901,0.000901,0.000901
17,4123.86,0.66666,0.54776,0.10815,0.59766,0.49912,0.51834,0.30647,0.54224,0.54165,0.09651,0.0008944,0.0008944,0.0008944
18,4362.19,0.66151,0.53728,0.10584,0.6275,0.48746,0.51367,0.29646,0.54245,0.53896,0.09251,0.0008878,0.0008878,0.0008878
19,4600.96,0.65222,0.53281,0.1031,0.55799,0.53089,0.52544,0.30494,0.52673,0.52576,0.09319,0.0008812,0.0008812,0.0008812
20,4840.09,0.64272,0.53584,0.10162,0.58897,0.51926,0.53061,0.31182,0.53014,0.52218,0.09413,0.0008746,0.0008746,0.0008746
21,5078.98,0.63014,0.53504,0.09749,0.56531,0.54813,0.55448,0.32519,0.50873,0.52048,0.08764,0.000868,0.000868,0.000868
22,5317.98,0.60575,0.52617,0.09261,0.63662,0.55495,0.5861,0.3527,0.49953,0.5103,0.08507,0.0008614,0.0008614,0.0008614
23,5557.56,0.59803,0.52132,0.09246,0.66517,0.5818,0.61113,0.36701,0.48656,0.50417,0.08332,0.0008548,0.0008548,0.0008548
