epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,260.953,1.80931,0.6272,0.68416,0.72502,0.06515,0.03148,0.0102,1.12229,0.75257,0.37521,0.00033288,0.00033288,0.00033288
2,504.57,1.22664,0.54895,0.31865,0.74758,0.09765,0.06714,0.02784,0.95527,0.70808,0.26828,0.000661816,0.000661816,0.000661816
3,743.881,1.09166,0.60293,0.2575,0.42309,0.18101,0.11083,0.04884,0.89707,0.80391,0.24075,0.000986352,0.000986352,0.000986352
4,981.431,1.02692,0.61565,0.22846,0.41034,0.21194,0.16495,0.07882,0.80445,0.80089,0.18343,0.0009802,0.0009802,0.0009802
5,1221.26,0.94953,0.63808,0.20949,0.5256,0.19396,0.2158,0.10509,0.74415,0.70769,0.15901,0.0009736,0.0009736,0.0009736
6,1461.25,0.89759,0.60289,0.18503,0.48698,0.22897,0.20372,0.10455,0.70312,0.72687,0.15668,0.000967,0.000967,0.000967
7,1704.47,0.85836,0.61699,0.17535,0.38108,0.30418,0.26327,0.13569,0.64123,0.69372,0.12949,0.0009604,0.0009604,0.0009604
8,1939.06,0.82824,0.61108,0.16108,0.4292,0.35068,0.31304,0.1604,0.65927,0.62361,0.1272,0.0009538,0.0009538,0.0009538
9,2176.34,0.79074,0.58125,0.14605,0.36423,0.41204,0.33357,0.16983,0.61837,0.66491,0.11455,0.0009472,0.0009472,0.0009472
10,2419.23,0.7688,0.57447,0.1394,0.47155,0.40268,0.37758,0.19808,0.6055,0.6118,0.11876,0.0009406,0.0009406,0.0009406
11,2660.76,0.73559,0.56616,0.1336,0.5056,0.40564,0.40487,0.22715,0.57473,0.5834,0.10547,0.000934,0.000934,0.000934
12,2900.63,0.72043,0.56905,0.12719,0.454,0.46515,0.40393,0.21608,0.58134,0.61709,0.10834,0.0009274,0.0009274,0.0009274
13,3137.4,0.70707,0.56043,0.12163,0.54553,0.4653,0.46181,0.26199,0.54643,0.56474,0.09799,0.0009208,0.0009208,0.0009208
14,3376.27,0.67105,0.56518,0.11204,0.46519,0.5163,0.47766,0.26992,0.53562,0.57431,0.09733,0.0009142,0.0009142,0.0009142
15,3611.1,0.65057,0.54851,0.108,0.56906,0.4806,0.49627,0.29147,0.53512,0.53587,0.09727,0.0009076,0.0009076,0.0009076
16,3852.04,0.65453,0.55397,0.10813,0.54705,0.47517,0.48026,0.28107,0.52581,0.55857,0.09325,0.000901,0.000901,0.000901
17,4097.91,0.63906,0.54655,0.10414,0.5868,0.49588,0.51963,0.30355,0.52678,0.53708,0.09762,0.0008944,0.0008944,0.0008944
18,4335.27,0.63544,0.53303,0.10361,0.64697,0.5078,0.53925,0.31178,0.51739,0.52738,0.09382,0.0008878,0.0008878,0.0008878
19,4569.91,0.63728,0.53782,0.10319,0.61848,0.56906,0.57503,0.33537,0.49455,0.51276,0.08453,0.0008812,0.0008812,0.0008812
20,4804.88,0.60496,0.52944,0.09431,0.63043,0.54367,0.5753,0.34074,0.4997,0.51482,0.08631,0.0008746,0.0008746,0.0008746
21,5043.16,0.59683,0.53039,0.0929,0.66285,0.55656,0.59858,0.35429,0.48362,0.51402,0.08362,0.000868,0.000868,0.000868
22,5278.24,0.59219,0.52004,0.09181,0.65448,0.55133,0.58898,0.35954,0.48309,0.49985,0.08176,0.0008614,0.0008614,0.0008614
23,5514.93,0.57935,0.51823,0.09032,0.59699,0.6083,0.57842,0.34897,0.48555,0.51256,0.08834,0.0008548,0.0008548,0.0008548
24,5756.59,0.56561,0.51301,0.08637,0.67056,0.60087,0.63282,0.38288,0.4729,0.49554,0.08104,0.0008482,0.0008482,0.0008482
25,5993.37,0.57272,0.51791,0.0882,0.67685,0.57409,0.61632,0.37477,0.48113,0.49474,0.0822,0.0008416,0.0008416,0.0008416
26,6237.74,0.56433,0.5147,0.08563,0.65748,0.60289,0.61979,0.37667,0.47598,0.48661,0.08247,0.000835,0.000835,0.000835
27,6479.25,0.55782,0.50214,0.08352,0.6398,0.6287,0.63976,0.39478,0.46213,0.48518,0.07618,0.0008284,0.0008284,0.0008284
