epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,277.851,1.77419,0.69645,0.68426,0.71504,0.06398,0.02603,0.00933,1.11162,0.69206,0.36608,0.00033288,0.00033288,0.00033288
2,543.282,1.2088,0.58009,0.31532,0.7619,0.09233,0.06953,0.03066,nan,nan,nan,0.000661816,0.000661816,0.000661816
3,804.794,1.07634,0.60877,0.25393,0.46161,0.16982,0.12126,0.05627,0.83705,0.74196,0.20546,0.000986352,0.000986352,0.000986352
4,1066.3,1.00559,0.63505,0.22242,0.38229,0.19313,0.14155,0.06764,0.79401,0.80859,0.18511,0.0009802,0.0009802,0.0009802
5,1326.96,0.93316,0.61926,0.20167,0.26037,0.27488,0.1889,0.09993,0.72974,0.70999,0.15844,0.0009736,0.0009736,0.0009736
6,1585.69,0.88937,0.62244,0.18388,0.33127,0.26895,0.19778,0.09597,nan,nan,nan,0.000967,0.000967,0.000967
7,1846.49,0.89143,0.60057,0.18734,0.39422,0.29729,0.24802,0.11849,0.69099,0.67282,0.15112,0.0009604,0.0009604,0.0009604
8,2105.06,0.82814,0.60214,0.16197,0.40888,0.3612,0.31838,0.17406,0.61482,0.64072,0.1161,0.0009538,0.0009538,0.0009538
9,2363.95,0.77495,0.58631,0.1418,0.40599,0.38599,0.33299,0.18153,0.59671,0.65733,0.11171,0.0009472,0.0009472,0.0009472
10,2621.52,0.77049,0.57799,0.14063,0.45483,0.402,0.37867,0.20486,0.59586,0.60707,0.11181,0.0009406,0.0009406,0.0009406
11,2881.4,0.7563,0.58654,0.13709,0.44549,0.38402,0.36453,0.20261,0.59678,0.60311,0.11674,0.000934,0.000934,0.000934
12,3138.37,0.73938,0.56758,0.13285,0.5058,0.44105,0.4309,0.24029,0.573,0.56727,0.10576,0.0009274,0.0009274,0.0009274
13,3395.97,0.70671,0.56051,0.12168,0.46111,0.40532,0.3938,0.2233,0.55925,0.5822,0.10835,0.0009208,0.0009208,0.0009208
14,3653.42,0.6776,0.54928,0.11329,0.54474,0.46787,0.47601,0.27448,0.54375,0.5567,0.09899,0.0009142,0.0009142,0.0009142
15,3911.1,0.66183,0.54543,0.11019,0.62331,0.46615,0.51877,0.29809,0.53635,0.53101,0.09685,0.0009076,0.0009076,0.0009076
16,4168.36,0.6467,0.5531,0.1056,0.48948,0.48865,0.46465,0.27481,0.55692,0.57416,0.10299,0.000901,0.000901,0.000901
17,4425.99,0.64195,0.54863,0.10642,0.55023,0.48782,0.50808,0.30843,0.51092,0.52664,0.08991,0.0008944,0.0008944,0.0008944
18,4683.43,0.61838,0.532,0.09851,0.58255,0.52464,0.54516,0.3277,0.50469,0.50972,0.08762,0.0008878,0.0008878,0.0008878
19,4941.04,0.61693,0.52911,0.09735,0.62844,0.54222,0.55942,0.33619,0.48854,0.52401,0.08396,0.0008812,0.0008812,0.0008812
20,5198.92,0.60316,0.52213,0.09326,0.63277,0.5943,0.58496,0.35237,0.48506,0.49633,0.08277,0.0008746,0.0008746,0.0008746
21,5456.41,0.59296,0.51416,0.09098,0.6379,0.58352,0.61216,0.3622,0.48209,0.51064,0.08277,0.000868,0.000868,0.000868
22,5713.62,0.5818,0.51067,0.08966,0.667,0.57434,0.60632,0.36886,0.48065,0.48912,0.08151,0.0008614,0.0008614,0.0008614
23,5971.58,0.57589,0.5122,0.08911,0.66217,0.56696,0.61699,0.37359,0.49858,0.52489,0.0868,0.0008548,0.0008548,0.0008548
24,6229.16,0.57377,0.51869,0.08841,0.71261,0.5729,0.64131,0.39417,0.46827,0.48994,0.07936,0.0008482,0.0008482,0.0008482
25,6486.64,0.567,0.50933,0.08672,0.6481,0.5878,0.61673,0.37623,0.47971,0.49819,0.08306,0.0008416,0.0008416,0.0008416
26,6743.73,0.56637,0.50408,0.08703,0.66111,0.57099,0.61562,0.38574,0.47268,0.49006,0.082,0.000835,0.000835,0.000835
27,7001.51,0.56236,0.49269,0.08493,0.71905,0.61589,0.6739,0.41863,0.46709,0.46621,0.07819,0.0008284,0.0008284,0.0008284
28,7258.81,0.55328,0.49142,0.08023,0.71462,0.63145,0.66522,0.41733,0.45968,0.47033,0.07751,0.0008218,0.0008218,0.0008218
29,7516.72,0.54123,0.49205,0.07998,0.69238,0.65497,0.68407,0.42342,0.44803,0.47202,0.07454,0.0008152,0.0008152,0.0008152
30,7774.6,0.54679,0.48519,0.07975,0.71681,0.62997,0.6813,0.4267,0.45396,0.47406,0.07616,0.0008086,0.0008086,0.0008086
31,8032.16,0.54193,0.48399,0.07888,0.72645,0.65666,0.69392,0.44027,0.4474,0.44946,0.07557,0.000802,0.000802,0.000802
32,8289.42,0.54229,0.48373,0.07801,0.74375,0.66608,0.72617,0.45025,0.44024,0.44521,0.07227,0.0007954,0.0007954,0.0007954
33,8546.95,0.52366,0.47785,0.07627,0.75647,0.67489,0.71581,0.44664,0.4497,0.44827,0.07601,0.0007888,0.0007888,0.0007888
34,8805.04,0.53123,0.47597,0.07758,0.74532,0.66295,0.71193,0.44755,0.43855,0.44699,0.07248,0.0007822,0.0007822,0.0007822
35,9062.7,0.52382,0.46944,0.07464,0.7427,0.67616,0.71978,0.45317,0.4379,0.45108,0.07047,0.0007756,0.0007756,0.0007756
36,9320.66,0.52318,0.47799,0.07567,0.71677,0.69096,0.71852,0.44092,0.44339,0.45906,0.07745,0.000769,0.000769,0.000769
37,9578.32,0.51144,0.46583,0.07502,0.76545,0.69745,0.75024,0.47565,0.43774,0.44287,0.07174,0.0007624,0.0007624,0.0007624
38,9836.14,0.50754,0.46492,0.07357,0.78079,0.71652,0.76515,0.47978,0.42333,0.43328,0.06841,0.0007558,0.0007558,0.0007558
39,10094.2,0.50121,0.47038,0.0724,0.73729,0.67539,0.72275,0.45466,0.43521,0.47315,0.07053,0.0007492,0.0007492,0.0007492
40,10352,0.50208,0.46563,0.07135,0.76021,0.70155,0.74566,0.4751,0.42489,0.44036,0.0681,0.0007426,0.0007426,0.0007426
41,10610.3,0.51274,0.46183,0.07133,0.79101,0.71737,0.76059,0.48382,0.43595,0.43126,0.07067,0.000736,0.000736,0.000736
