epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,251.622,1.77724,0.66821,0.68497,0.39369,0.06563,0.03233,0.01088,1.07015,0.70194,0.31497,0.00033288,0.00033288,0.00033288
2,492.921,1.21465,0.55971,0.31738,0.74265,0.12341,0.06926,0.02854,0.92307,0.74534,0.23677,0.000661816,0.000661816,0.000661816
3,734.584,1.08885,0.60115,0.25584,0.67136,0.13435,0.11253,0.05381,0.86435,0.71571,0.21153,0.000986352,0.000986352,0.000986352
4,979.842,1.00927,0.60824,0.21868,0.44177,0.21171,0.17562,0.08575,0.77318,0.70446,0.17266,0.0009802,0.0009802,0.0009802
5,1218.86,0.93294,0.61286,0.19627,0.4773,0.22321,0.21032,0.10059,0.74664,0.68917,0.15922,0.0009736,0.0009736,0.0009736
6,1460.42,0.90826,0.60068,0.18171,0.52765,0.23343,0.22221,0.1175,0.69884,0.7169,0.14298,0.000967,0.000967,0.000967
7,1705.11,0.87496,0.6045,0.17686,0.47859,0.27376,0.25277,0.13002,0.68709,0.69875,0.13678,0.0009604,0.0009604,0.0009604
8,1944.54,0.8312,0.57955,0.15791,0.46739,0.35963,0.31874,0.17288,0.64215,0.63534,0.12903,0.0009538,0.0009538,0.0009538
9,2184.32,0.81584,0.58619,0.1507,0.49377,0.33381,0.33027,0.15707,0.66676,0.64497,0.1296,0.0009472,0.0009472,0.0009472
10,2424.23,0.76669,0.56945,0.13733,0.43419,0.44447,0.37915,0.2006,0.59984,0.59014,0.11456,0.0009406,0.0009406,0.0009406
11,2663.6,0.73326,0.57246,0.12908,0.4684,0.41127,0.38764,0.20609,0.59147,0.61958,0.11443,0.000934,0.000934,0.000934
12,2905.47,0.72995,0.57337,0.12881,0.45909,0.42299,0.39261,0.22019,0.57982,0.60187,0.11286,0.0009274,0.0009274,0.0009274
13,3154.39,0.70776,0.55062,0.12219,0.47237,0.46387,0.4248,0.23748,0.56643,0.64562,0.11233,0.0009208,0.0009208,0.0009208
14,3396,0.67586,0.5562,0.11208,0.60043,0.46148,0.49291,0.27835,0.54155,0.55007,0.09788,0.0009142,0.0009142,0.0009142
15,3639.42,0.66553,0.53941,0.10988,0.58249,0.49997,0.52721,0.30755,0.52096,0.54219,0.09191,0.0009076,0.0009076,0.0009076
16,3881.58,0.64297,0.54215,0.10392,0.58414,0.50057,0.53869,0.31542,0.51611,0.53252,0.09247,0.000901,0.000901,0.000901
17,4125.22,0.63255,0.53052,0.1016,0.57122,0.56731,0.55844,0.32406,0.50986,0.51414,0.09092,0.0008944,0.0008944,0.0008944
18,4366.97,0.62234,0.52283,0.09817,0.62149,0.53669,0.57947,0.34969,0.4978,0.50028,0.0865,0.0008878,0.0008878,0.0008878
19,4611.74,0.61641,0.51841,0.09745,0.62054,0.54901,0.58933,0.3375,0.50721,0.5154,0.09121,0.0008812,0.0008812,0.0008812
20,4853.97,0.61075,0.52644,0.09516,0.65432,0.55081,0.58349,0.34748,0.49107,0.5057,0.08556,0.0008746,0.0008746,0.0008746
21,5099.69,0.59652,0.51278,0.09125,0.67343,0.60002,0.63675,0.37855,0.48769,0.49619,0.08361,0.000868,0.000868,0.000868
22,5342.11,0.59133,0.52283,0.0912,0.6488,0.55266,0.59137,0.34556,0.50007,0.49639,0.0899,0.0008614,0.0008614,0.0008614
23,5592,0.5845,0.51597,0.09171,0.62961,0.61141,0.62828,0.37875,0.47829,0.49039,0.08298,0.0008548,0.0008548,0.0008548
24,5843.96,0.57486,0.51637,0.08808,0.62599,0.6053,0.61833,0.37477,0.47589,0.49832,0.08202,0.0008482,0.0008482,0.0008482
25,6085.35,0.58306,0.51066,0.09038,0.68472,0.60011,0.63953,0.38494,0.47374,0.49344,0.08111,0.0008416,0.0008416,0.0008416
26,6324.74,0.57218,0.50304,0.08883,0.68827,0.59947,0.63844,0.38826,0.47379,0.48596,0.08064,0.000835,0.000835,0.000835
27,6565.45,0.57122,0.49762,0.08619,0.68961,0.60848,0.66038,0.40572,0.47056,0.47423,0.07928,0.0008284,0.0008284,0.0008284
28,6807.24,0.55566,0.48684,0.08123,0.67496,0.6648,0.67745,0.42047,0.45878,0.46247,0.07653,0.0008218,0.0008218,0.0008218
29,7048.78,0.54535,0.4859,0.07994,0.73371,0.63727,0.67845,0.41801,0.45131,0.46184,0.07362,0.0008152,0.0008152,0.0008152
30,7287.95,0.55909,0.48349,0.08136,0.75377,0.62931,0.69822,0.42978,0.45524,0.46128,0.07604,0.0008086,0.0008086,0.0008086
31,7528.14,0.54456,0.48602,0.07925,0.7066,0.65917,0.68055,0.41859,0.45689,0.48062,0.07616,0.000802,0.000802,0.000802
32,7772.52,0.54941,0.4838,0.07895,0.72647,0.66184,0.69693,0.436,0.45534,0.46485,0.07673,0.0007954,0.0007954,0.0007954
33,8016.43,0.53375,0.4856,0.07795,0.69397,0.67299,0.7002,0.43002,0.45145,0.45853,0.07401,0.0007888,0.0007888,0.0007888
34,8267.15,0.53958,0.48319,0.07973,0.73493,0.6788,0.71583,0.43796,0.45497,0.45878,0.07647,0.0007822,0.0007822,0.0007822
35,8517.1,0.53796,0.48552,0.07829,0.72819,0.67654,0.70735,0.43602,0.44702,0.45695,0.07333,0.0007756,0.0007756,0.0007756
36,8768.97,0.52474,0.48136,0.07535,0.73831,0.69655,0.71778,0.44843,0.4396,0.44406,0.07293,0.000769,0.000769,0.000769
37,9010.86,0.5166,0.47765,0.07511,0.74768,0.69416,0.71593,0.45442,0.43706,0.45018,0.07036,0.0007624,0.0007624,0.0007624
38,9252.85,0.51005,0.46501,0.0733,0.75515,0.70599,0.75638,0.47067,0.43565,0.44241,0.07169,0.0007558,0.0007558,0.0007558
39,9497.37,0.51106,0.46689,0.07437,0.7826,0.71964,0.76712,0.48135,0.42882,0.4361,0.06919,0.0007492,0.0007492,0.0007492
40,9738.84,0.51099,0.45998,0.07281,0.75655,0.70247,0.73838,0.46888,0.43061,0.4395,0.07021,0.0007426,0.0007426,0.0007426
41,9980.8,0.5081,0.45506,0.07025,0.79734,0.7212,0.77192,0.48179,0.42829,0.43489,0.06981,0.000736,0.000736,0.000736
42,10222.8,0.50415,0.46152,0.07106,0.77804,0.72365,0.76581,0.48448,0.42291,0.44139,0.06732,0.0007294,0.0007294,0.0007294
43,10464.5,0.49916,0.45841,0.07023,0.76968,0.72451,0.75753,0.48164,0.42321,0.44054,0.06959,0.0007228,0.0007228,0.0007228
44,10706.4,0.49031,0.44886,0.06826,0.77983,0.7243,0.77029,0.49652,0.4218,0.42949,0.06775,0.0007162,0.0007162,0.0007162
45,10948.2,0.48761,0.44937,0.06892,0.77992,0.75113,0.78762,0.50085,0.41971,0.43118,0.06636,0.0007096,0.0007096,0.0007096
46,11189.4,0.47945,0.44801,0.06691,0.79706,0.72893,0.77969,0.50377,0.41377,0.42956,0.06659,0.000703,0.000703,0.000703
