epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,262.202,1.86598,0.67178,0.73451,0.55732,0.05605,0.031,0.00977,1.18555,0.58071,0.40553,0.00033288,0.00033288,0.00033288
2,515.038,1.22977,0.5635,0.33836,0.42708,0.11634,0.06162,0.02548,0.92601,0.78522,0.27376,0.000661816,0.000661816,0.000661816
3,760.062,1.10528,0.61771,0.27622,0.59233,0.11176,0.08371,0.04036,0.87064,0.78771,0.26133,0.000986352,0.000986352,0.000986352
4,1000.4,1.00018,0.65327,0.23418,0.53821,0.19443,0.1587,0.07664,0.76799,0.75127,0.18671,0.0009802,0.0009802,0.0009802
5,1242.55,0.93522,0.63131,0.21356,0.44421,0.23358,0.22097,0.1075,0.73824,0.70022,0.17233,0.0009736,0.0009736,0.0009736
6,1485.26,0.87563,0.62269,0.18408,0.34322,0.30327,0.2485,0.12921,0.67171,0.72533,0.14263,0.000967,0.000967,0.000967
7,1727.14,0.82894,0.62224,0.16584,0.37163,0.35193,0.28954,0.16006,0.63774,0.69657,0.12988,0.0009604,0.0009604,0.0009604
8,1969.06,0.7852,0.59819,0.15161,0.43262,0.39612,0.35401,0.19507,0.61839,0.6293,0.12384,0.0009538,0.0009538,0.0009538
9,2210.9,0.75304,0.59744,0.13795,0.51557,0.42441,0.40851,0.22295,0.5882,0.60387,0.11387,0.0009472,0.0009472,0.0009472
10,2456.47,0.73401,0.58455,0.1334,0.51167,0.43485,0.41322,0.23202,0.58073,0.58219,0.11467,0.0009406,0.0009406,0.0009406
11,2700.78,0.70481,0.57555,0.12522,0.47915,0.45831,0.42927,0.23507,0.55549,0.59764,0.10458,0.000934,0.000934,0.000934
12,2944.95,0.67933,0.58745,0.11831,0.5012,0.48304,0.45886,0.27066,0.52997,0.57893,0.09398,0.0009274,0.0009274,0.0009274
13,3188.81,0.67703,0.58239,0.1168,0.48304,0.43976,0.4417,0.24439,0.54885,0.60856,0.10454,0.0009208,0.0009208,0.0009208
14,3431.49,0.64825,0.5697,0.10908,0.54274,0.50997,0.50547,0.29069,0.51871,0.56718,0.09275,0.0009142,0.0009142,0.0009142
15,3674.15,0.64741,0.5728,0.11056,0.56851,0.48081,0.50301,0.29756,0.51591,0.55437,0.09303,0.0009076,0.0009076,0.0009076
16,3916.53,0.63843,0.56263,0.1062,0.53974,0.5173,0.49901,0.29599,0.50948,0.58429,0.08936,0.000901,0.000901,0.000901
17,4158.55,0.61416,0.56092,0.10227,0.59617,0.53649,0.56057,0.33655,0.50175,0.53478,0.0869,0.0008944,0.0008944,0.0008944
18,4401.47,0.61028,0.54151,0.09929,0.63018,0.52445,0.55468,0.32628,0.49802,0.55942,0.08673,0.0008878,0.0008878,0.0008878
19,4644.46,0.59247,0.53502,0.09361,0.62805,0.56978,0.60094,0.36197,0.48104,0.52201,0.08572,0.0008812,0.0008812,0.0008812
20,4887.91,0.5759,0.53298,0.09041,0.61066,0.5894,0.60009,0.36435,0.47856,0.52127,0.08152,0.0008746,0.0008746,0.0008746
21,5131.5,0.58431,0.53695,0.09261,0.64753,0.5718,0.61755,0.37254,0.47207,0.52461,0.08099,0.000868,0.000868,0.000868
22,5374.6,0.56101,0.52854,0.08701,0.66278,0.57547,0.62695,0.38295,0.47136,0.49844,0.08037,0.0008614,0.0008614,0.0008614
23,5617.23,0.55701,0.52615,0.08699,0.62388,0.57924,0.62528,0.3855,0.46808,0.48528,0.0772,0.0008548,0.0008548,0.0008548
24,5860.55,0.54402,0.51586,0.08214,0.67539,0.62086,0.65818,0.40581,0.45946,0.47955,0.07523,0.0008482,0.0008482,0.0008482
25,6103.46,0.54085,0.51471,0.08178,0.7118,0.60604,0.6579,0.41187,0.45261,0.49186,0.07322,0.0008416,0.0008416,0.0008416
26,6346.44,0.53805,0.51433,0.08187,0.7529,0.58484,0.66274,0.41488,0.45433,0.48369,0.07645,0.000835,0.000835,0.000835
27,6590.07,0.54366,0.50419,0.08071,0.70382,0.60548,0.66652,0.41903,0.44639,0.48146,0.07297,0.0008284,0.0008284,0.0008284
28,6832.96,0.53034,0.50672,0.07652,0.68626,0.62978,0.67515,0.42865,0.44587,0.49447,0.07452,0.0008218,0.0008218,0.0008218
29,7075.79,0.52056,0.49149,0.07655,0.6965,0.63918,0.67523,0.42798,0.43189,0.47726,0.07021,0.0008152,0.0008152,0.0008152
30,7318.76,0.51825,0.48811,0.07343,0.73159,0.65076,0.69093,0.4331,0.44521,0.4706,0.0736,0.0008086,0.0008086,0.0008086
31,7561.07,0.51329,0.49351,0.07345,0.70268,0.68207,0.71577,0.45411,0.4288,0.46872,0.07114,0.000802,0.000802,0.000802
32,7803.35,0.52061,0.48422,0.07386,0.72991,0.68094,0.72361,0.45027,nan,nan,nan,0.0007954,0.0007954,0.0007954
33,8046.59,0.51842,0.48609,0.07632,0.71954,0.64095,0.70435,0.43915,0.43444,0.45647,0.07253,0.0007888,0.0007888,0.0007888
34,8289.61,0.51269,0.49009,0.07407,0.73717,0.72099,0.75677,0.46877,0.43074,0.44758,0.06821,0.0007822,0.0007822,0.0007822
35,8533.04,0.51009,0.47604,0.07204,0.74078,0.69964,0.73521,0.46437,0.42636,0.44486,0.0681,0.0007756,0.0007756,0.0007756
36,8776.36,0.49831,0.47406,0.07105,0.76533,0.70077,0.74544,0.47372,0.43163,0.44081,0.07156,0.000769,0.000769,0.000769
37,9019.81,0.49901,0.47951,0.07244,0.74845,0.69994,0.74402,0.46651,0.42745,0.44529,0.07094,0.0007624,0.0007624,0.0007624
38,9263.54,0.4939,0.47494,0.0708,0.72613,0.70284,0.72812,0.46307,0.42309,0.45515,0.06867,0.0007558,0.0007558,0.0007558
39,9507.25,0.48177,0.46859,0.06854,0.77159,0.69867,0.75665,0.49111,0.41432,0.44324,0.06536,0.0007492,0.0007492,0.0007492
40,9750.96,0.48144,0.46279,0.06752,0.73072,0.72535,0.75099,0.48279,0.41861,0.4381,0.06743,0.0007426,0.0007426,0.0007426
41,9994.51,0.49137,0.47293,0.06802,0.75034,0.70988,0.77614,0.50142,0.41013,0.43589,0.06507,0.000736,0.000736,0.000736
42,10238.4,0.48834,0.46795,0.06844,0.73148,0.73139,0.76025,0.48166,0.41514,0.43838,0.06707,0.0007294,0.0007294,0.0007294
43,10481.4,0.47516,0.45836,0.06582,0.7998,0.73495,0.78064,0.50221,0.41564,0.43039,0.06526,0.0007228,0.0007228,0.0007228
44,10724.6,0.47293,0.45469,0.06578,0.79151,0.73079,0.78092,0.49763,0.40964,0.42808,0.06426,0.0007162,0.0007162,0.0007162
