epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,227.406,2.0484,0.69738,0.84369,0.52675,0.04084,0.00772,0.00192,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,694.689,1.32812,0.51591,0.35279,0.73322,0.08905,0.04796,0.01924,0.98783,0.72798,0.27788,0.000661367,0.000661367,0.000661367
3,1545.84,1.14711,0.56933,0.27187,0.45524,0.12864,0.09131,0.04038,0.86562,0.82814,0.19853,0.000985906,0.000985906,0.000985906
4,2043.57,1.05921,0.60107,0.23203,0.40664,0.18189,0.14398,0.06381,0.86491,0.7429,0.20143,0.0009802,0.0009802,0.0009802
5,2780.65,0.98682,0.6196,0.20587,0.31058,0.21148,0.17215,0.08149,0.77651,0.91197,0.16018,0.0009736,0.0009736,0.0009736
6,3197.78,0.93848,0.61754,0.18443,0.52991,0.20415,0.19975,0.09753,0.74863,0.74073,0.15479,0.000967,0.000967,0.000967
7,3673.29,0.89923,0.58684,0.17534,0.31607,0.33978,0.25455,0.12522,nan,nan,nan,0.0009604,0.0009604,0.0009604
8,4013.93,0.85689,0.56422,0.15748,0.4804,0.35399,0.30861,0.14756,0.67337,0.6788,0.13143,0.0009538,0.0009538,0.0009538
9,4458.94,0.83332,0.57528,0.14799,0.50011,0.33737,0.33739,0.15895,0.67146,0.62737,0.12677,0.0009472,0.0009472,0.0009472
10,4797.66,0.80347,0.54843,0.13938,0.42943,0.42597,0.37423,0.18151,0.65038,0.59769,0.12581,0.0009406,0.0009406,0.0009406
11,5127.37,0.78122,0.56448,0.13478,0.46785,0.3976,0.37721,0.19801,0.61778,0.60375,0.11555,0.000934,0.000934,0.000934
12,5430.09,0.75153,0.54399,0.12616,0.49562,0.42572,0.39262,0.21521,0.60136,0.58648,0.11453,0.0009274,0.0009274,0.0009274
13,5682.14,0.72626,0.53795,0.11662,0.53527,0.42706,0.44375,0.24349,0.58349,0.57083,0.11149,0.0009208,0.0009208,0.0009208
14,5936.1,0.696,0.5416,0.11051,0.51705,0.45962,0.45582,0.25186,0.57874,0.56499,0.10459,0.0009142,0.0009142,0.0009142
15,6174.87,0.67734,0.54459,0.10567,0.53038,0.48266,0.48638,0.28046,0.54367,0.54345,0.09212,0.0009076,0.0009076,0.0009076
16,6410.06,0.66025,0.53608,0.10192,0.58263,0.48277,0.50508,0.29065,0.54396,0.54986,0.0933,0.000901,0.000901,0.000901
17,6662.87,0.65748,0.526,0.10062,0.57737,0.51472,0.52828,0.30543,0.54378,0.53473,0.09744,0.0008944,0.0008944,0.0008944
18,6878.3,0.64452,0.5259,0.09814,0.56157,0.53025,0.53349,0.30609,0.52936,0.52432,0.09552,0.0008878,0.0008878,0.0008878
19,7092.47,0.63352,0.52256,0.09585,0.64995,0.51964,0.54906,0.3076,0.52783,0.52626,0.09258,0.0008812,0.0008812,0.0008812
20,7346.85,0.63748,0.52047,0.09614,0.60597,0.56488,0.55958,0.32072,0.52954,0.50977,0.0926,0.0008746,0.0008746,0.0008746
21,7585.43,0.62177,0.51171,0.09172,0.6227,0.53452,0.56686,0.34117,0.50626,0.50706,0.08895,0.000868,0.000868,0.000868
22,7802.26,0.60663,0.51295,0.08943,0.64219,0.56315,0.58063,0.35145,0.50532,0.50587,0.08644,0.0008614,0.0008614,0.0008614
23,8052.06,0.59841,0.50432,0.08866,0.65296,0.59939,0.62781,0.38136,0.48902,0.4895,0.08246,0.0008548,0.0008548,0.0008548
24,8319.06,0.57644,0.50074,0.08263,0.6656,0.58262,0.61653,0.36424,0.5024,0.49262,0.08723,0.0008482,0.0008482,0.0008482
25,8556.83,0.58209,0.49879,0.08384,0.69486,0.59041,0.63161,0.37534,0.49105,0.48791,0.081,0.0008416,0.0008416,0.0008416
26,8796.16,0.57671,0.5124,0.08564,0.69488,0.6062,0.65616,0.39548,0.47945,0.49169,0.07857,0.000835,0.000835,0.000835
27,9034.53,0.57411,0.49236,0.08369,0.71782,0.59052,0.64813,0.39527,0.46961,0.49774,0.07972,0.0008284,0.0008284,0.0008284
28,9329.38,0.56193,0.47974,0.07842,0.70145,0.62148,0.66899,0.41165,0.4741,0.4725,0.07931,0.0008218,0.0008218,0.0008218
29,9567.34,0.55634,0.48015,0.07789,0.70346,0.65374,0.68168,0.41079,0.46845,0.4792,0.08021,0.0008152,0.0008152,0.0008152
30,9807.24,0.55817,0.48786,0.07836,0.72112,0.65542,0.69934,0.42401,0.46521,0.46561,0.07766,0.0008086,0.0008086,0.0008086
31,10059.3,0.54997,0.48745,0.07728,0.63167,0.5976,0.59249,0.35873,0.4992,0.50822,0.08779,0.000802,0.000802,0.000802
32,10312.9,0.55404,0.49175,0.07639,0.76082,0.67162,0.7269,0.44577,0.45066,0.46447,0.07335,0.0007954,0.0007954,0.0007954
33,10526.7,0.53013,0.4717,0.07182,0.74526,0.68354,0.72055,0.43884,nan,nan,nan,0.0007888,0.0007888,0.0007888
34,10741.3,0.53879,0.4723,0.07292,0.73084,0.69421,0.7239,0.44628,0.44814,0.45187,0.07178,0.0007822,0.0007822,0.0007822
35,10954.8,0.54463,0.4693,0.07311,0.75308,0.68513,0.72601,0.44699,0.45876,0.46267,0.07388,0.0007756,0.0007756,0.0007756
36,11169.8,0.53617,0.47022,0.07295,0.74096,0.67339,0.73659,0.45653,0.4543,0.45406,0.07431,0.000769,0.000769,0.000769
37,11383.6,0.52102,0.47464,0.07327,0.74878,0.68744,0.74033,0.44301,0.47666,0.46822,0.08045,0.0007624,0.0007624,0.0007624
38,11598.8,0.52796,0.47002,0.07263,0.78706,0.69206,0.75938,0.46979,0.43861,0.44504,0.0701,0.0007558,0.0007558,0.0007558
39,11812.6,0.51263,0.46204,0.07102,0.79457,0.69594,0.76795,0.47719,0.43259,0.43955,0.06709,0.0007492,0.0007492,0.0007492
40,12027.5,0.50127,0.45651,0.06795,0.78097,0.68886,0.7444,0.47424,0.43853,0.44412,0.06811,0.0007426,0.0007426,0.0007426
41,12241.6,0.51509,0.47044,0.06985,0.79611,0.70619,0.76408,0.47986,0.43593,0.44027,0.06967,0.000736,0.000736,0.000736
42,12456.9,0.51478,0.46049,0.06959,0.77844,0.67971,0.73912,0.45633,0.46248,0.46891,0.07698,0.0007294,0.0007294,0.0007294
43,12670.7,0.49378,0.45433,0.06533,0.80888,0.72724,0.7934,0.50746,0.42747,0.43446,0.06766,0.0007228,0.0007228,0.0007228
44,12885.7,0.4968,0.4494,0.06446,0.83273,0.72641,0.78357,0.49552,0.42035,0.43842,0.06442,0.0007162,0.0007162,0.0007162
45,13099.3,0.49483,0.45766,0.06761,0.79348,0.72388,0.77409,0.48125,0.43579,0.44061,0.06897,0.0007096,0.0007096,0.0007096
46,13314.3,0.50771,0.45846,0.06784,0.77361,0.72559,0.77693,0.4873,0.42889,0.4383,0.06809,0.000703,0.000703,0.000703
47,13528,0.49586,0.45,0.06543,0.8029,0.72603,0.79047,0.49658,0.42544,0.4391,0.06604,0.0006964,0.0006964,0.0006964
48,13743.2,0.49449,0.45957,0.0668,0.80901,0.74856,0.7965,0.49719,0.43081,0.43354,0.06737,0.0006898,0.0006898,0.0006898
49,13956.9,0.48628,0.44868,0.06503,0.79026,0.77217,0.80746,0.51607,0.41896,0.42977,0.06429,0.0006832,0.0006832,0.0006832
50,14172.2,0.48126,0.44026,0.06293,0.79385,0.74288,0.78251,0.48833,0.42777,0.4365,0.06934,0.0006766,0.0006766,0.0006766
51,14385.8,0.47709,0.43697,0.06125,0.84795,0.75765,0.82076,0.52466,0.40562,0.42041,0.06075,0.00067,0.00067,0.00067
52,14601,0.47966,0.44193,0.06205,0.80747,0.76055,0.81271,0.51383,0.41117,0.42883,0.06392,0.0006634,0.0006634,0.0006634
53,14814.7,0.47665,0.43945,0.06278,0.81789,0.77713,0.81545,0.52846,0.40924,0.41411,0.06385,0.0006568,0.0006568,0.0006568
54,15029.8,0.47645,0.43934,0.06056,0.82769,0.76625,0.82138,0.52855,0.40981,0.42076,0.06426,0.0006502,0.0006502,0.0006502
55,15243.3,0.47555,0.43987,0.06285,0.82861,0.7658,0.81756,0.52272,nan,nan,nan,0.0006436,0.0006436,0.0006436
56,15458.5,0.47376,0.44207,0.06164,0.81393,0.78426,0.83439,0.53777,0.4087,0.41956,0.06087,0.000637,0.000637,0.000637
57,15672.1,0.46462,0.43348,0.05926,0.8271,0.79947,0.83492,0.53298,0.40762,0.41662,0.06188,0.0006304,0.0006304,0.0006304
58,15887.3,0.4644,0.42919,0.05816,0.85526,0.77385,0.83229,0.5293,0.40686,0.41703,0.06325,0.0006238,0.0006238,0.0006238
59,16100.9,0.46003,0.43666,0.06029,0.84189,0.7781,0.82572,0.53122,0.40578,0.41926,0.06057,0.0006172,0.0006172,0.0006172
60,16316,0.45327,0.42609,0.05872,0.84831,0.80407,0.84559,0.55116,0.39859,0.41026,0.06065,0.0006106,0.0006106,0.0006106
61,16529.5,0.46821,0.4386,0.05919,0.84778,0.78832,0.83608,0.53503,0.40521,0.41505,0.06225,0.000604,0.000604,0.000604
62,16744.4,0.45686,0.43467,0.05988,0.8362,0.80096,0.84861,0.5523,0.39799,0.40646,0.06096,0.0005974,0.0005974,0.0005974
63,16958.2,0.45502,0.42576,0.0577,0.83221,0.78036,0.8368,0.54402,0.4011,0.41304,0.06095,0.0005908,0.0005908,0.0005908
64,17173.1,0.45674,0.42384,0.0575,0.84127,0.78763,0.84483,0.55337,0.39358,0.41056,0.05908,0.0005842,0.0005842,0.0005842
65,17386.8,0.44396,0.41975,0.05714,0.85035,0.79864,0.84872,0.55444,0.3966,0.40981,0.06085,0.0005776,0.0005776,0.0005776
66,17601.6,0.45609,0.42261,0.05741,0.83329,0.80666,0.84756,0.55813,0.39872,0.40631,0.05977,0.000571,0.000571,0.000571
67,17815.2,0.44876,0.42376,0.05671,0.84085,0.80478,0.83082,0.54841,0.39639,0.41015,0.0602,0.0005644,0.0005644,0.0005644
68,18030.7,0.44705,0.42229,0.05619,0.85402,0.78695,0.83875,0.54856,0.39343,0.4116,0.05924,0.0005578,0.0005578,0.0005578
69,18244.3,0.44932,0.42083,0.05568,0.86446,0.80485,0.85525,0.55461,0.39268,0.40625,0.05867,0.0005512,0.0005512,0.0005512
70,18459.4,0.44659,0.42416,0.05616,0.85138,0.80689,0.84961,0.55714,0.39766,0.40671,0.05873,0.0005446,0.0005446,0.0005446
71,18672.9,0.44852,0.42482,0.05722,0.859,0.78974,0.84456,0.5528,0.39381,0.40852,0.05983,0.000538,0.000538,0.000538
72,18888.3,0.44741,0.42807,0.05735,0.86602,0.80712,0.84703,0.55482,0.39294,0.40679,0.0598,0.0005314,0.0005314,0.0005314
73,19102.2,0.44469,0.42006,0.05544,0.86077,0.80854,0.8561,0.56373,0.39282,0.40578,0.05865,0.0005248,0.0005248,0.0005248
74,19317.4,0.43518,0.41639,0.05464,0.8756,0.80384,0.85564,0.56934,0.38848,0.4029,0.05757,0.0005182,0.0005182,0.0005182
75,19531.2,0.43563,0.41488,0.05403,0.85237,0.83524,0.86519,0.57177,0.38688,0.40478,0.05696,0.0005116,0.0005116,0.0005116
76,19746.4,0.4377,0.41749,0.05514,0.83647,0.82815,0.85673,0.56746,0.38903,0.40791,0.05794,0.000505,0.000505,0.000505
77,19960.1,0.43768,0.41983,0.05555,0.85531,0.82531,0.85606,0.56381,0.39135,0.4032,0.05789,0.0004984,0.0004984,0.0004984
78,20175.2,0.43532,0.41311,0.05357,0.88522,0.80879,0.863,0.56617,0.38745,0.40297,0.0564,0.0004918,0.0004918,0.0004918
79,20388.9,0.42675,0.41483,0.05319,0.86419,0.81397,0.86353,0.57262,0.38459,0.4018,0.05757,0.0004852,0.0004852,0.0004852
