epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,230.49,2.01174,0.63651,0.87495,0.36833,0.05056,0.0162,0.00475,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,453.189,1.2605,0.52637,0.33137,0.77326,0.09732,0.07563,0.03084,nan,nan,nan,0.000661367,0.000661367,0.000661367
3,665.23,1.11415,0.59244,0.26467,0.50336,0.16733,0.11293,0.05274,nan,nan,nan,0.000985906,0.000985906,0.000985906
4,877.057,1.02517,0.59881,0.22541,0.49031,0.20506,0.16421,0.07798,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,1089.14,0.93593,0.59676,0.19128,0.48092,0.22796,0.23768,0.11781,0.70268,0.68593,0.14202,0.0009736,0.0009736,0.0009736
6,1300.54,0.90768,0.59006,0.17914,0.50205,0.27196,0.25827,0.12242,0.74558,0.66345,0.15838,0.000967,0.000967,0.000967
7,1517.07,0.84778,0.58611,0.16044,0.35216,0.32861,0.2906,0.15526,0.68541,0.62667,0.13719,0.0009604,0.0009604,0.0009604
8,1731.5,0.80746,0.56884,0.14319,0.41521,0.39283,0.33773,0.17765,0.63251,0.61479,0.12247,0.0009538,0.0009538,0.0009538
9,1943.13,0.78005,0.56912,0.13365,0.40908,0.41645,0.36505,0.18823,nan,nan,nan,0.0009472,0.0009472,0.0009472
10,2154.97,0.75004,0.55598,0.12471,0.48367,0.46275,0.43537,0.23603,nan,nan,nan,0.0009406,0.0009406,0.0009406
11,2366.23,0.72265,0.56354,0.11971,0.51055,0.45452,0.44073,0.24997,0.58076,0.55587,0.10841,0.000934,0.000934,0.000934
12,2578.14,0.69562,0.55136,0.11177,0.5665,0.46025,0.46386,0.26479,0.55913,0.56305,0.0993,0.0009274,0.0009274,0.0009274
13,2789.8,0.67639,0.54182,0.10553,0.56589,0.44703,0.4785,0.26983,0.55814,0.57585,0.10132,0.0009208,0.0009208,0.0009208
14,3007.86,0.66246,0.55648,0.10318,0.51546,0.48459,0.47541,0.27158,0.52506,0.56596,0.08844,0.0009142,0.0009142,0.0009142
15,3220.14,0.6385,0.54459,0.09976,0.54277,0.52132,0.52676,0.31912,0.53459,0.54217,0.09204,0.0009076,0.0009076,0.0009076
16,3434.04,0.63567,0.54085,0.09843,0.56162,0.50989,0.50917,0.29922,0.51865,0.54465,0.08872,0.000901,0.000901,0.000901
17,3658.9,0.61381,0.53798,0.0922,0.61915,0.54955,0.57597,0.34206,0.50744,0.52459,0.08727,0.0008944,0.0008944,0.0008944
18,3873.08,0.61082,0.52548,0.09014,0.60551,0.55684,0.57739,0.33788,0.52039,0.50985,0.08868,0.0008878,0.0008878,0.0008878
19,4094.56,0.5951,0.51869,0.08726,0.62031,0.54195,0.58083,0.35256,0.49013,0.52062,0.08113,0.0008812,0.0008812,0.0008812
20,4306.4,0.5866,0.51968,0.08511,0.63362,0.55465,0.58155,0.34801,0.50982,0.51422,0.08605,0.0008746,0.0008746,0.0008746
21,4517.65,0.58205,0.51247,0.08338,0.66983,0.58803,0.62852,0.37842,0.48522,0.52369,0.08767,0.000868,0.000868,0.000868
22,4730.31,0.56859,0.513,0.08222,0.63581,0.59124,0.62188,0.3814,0.47859,0.50979,0.08078,0.0008614,0.0008614,0.0008614
23,4941.91,0.56529,0.50959,0.08218,0.65894,0.59805,0.64685,0.39058,0.48357,0.52999,0.0806,0.0008548,0.0008548,0.0008548
24,5153.97,0.5644,0.51136,0.08121,0.6271,0.62841,0.63959,0.3923,0.49455,0.49883,0.08591,0.0008482,0.0008482,0.0008482
25,5365.88,0.57193,0.5075,0.08383,0.7311,0.64879,0.69348,0.41861,0.45974,0.49205,0.07501,0.0008416,0.0008416,0.0008416
26,5586.34,0.55636,0.49902,0.08052,0.68117,0.6156,0.66333,0.39553,0.48731,0.49846,0.08154,0.000835,0.000835,0.000835
27,5811.64,0.56061,0.50817,0.0805,0.71017,0.62993,0.68689,0.42941,0.45534,0.5291,0.07486,0.0008284,0.0008284,0.0008284
28,6023.34,0.54154,0.48939,0.07527,0.75451,0.6631,0.72041,0.45666,0.44266,0.46315,0.07074,0.0008218,0.0008218,0.0008218
29,6235.28,0.53662,0.48032,0.07425,0.72657,0.68525,0.70728,0.43902,0.44777,0.47102,0.07196,0.0008152,0.0008152,0.0008152
30,6447.38,0.52642,0.47819,0.07146,0.78153,0.66294,0.73486,0.45825,0.4454,0.45956,0.07173,0.0008086,0.0008086,0.0008086
31,6667.98,0.52727,0.48468,0.07181,0.7499,0.66385,0.70006,0.43029,0.45006,0.48326,0.07274,0.000802,0.000802,0.000802
32,6893.01,0.52397,0.47503,0.07075,0.77305,0.68561,0.74163,0.46545,0.44315,0.46826,0.07145,0.0007954,0.0007954,0.0007954
33,7104.45,0.53096,0.47651,0.07292,0.7575,0.65094,0.71014,0.4298,0.45748,0.47254,0.07342,0.0007888,0.0007888,0.0007888
34,7316.08,0.53428,0.48007,0.07299,0.7409,0.70314,0.7554,0.47112,0.43116,0.45217,0.06875,0.0007822,0.0007822,0.0007822
35,7534.31,0.5217,0.46828,0.06858,0.76173,0.67544,0.74461,0.46855,0.44135,0.45613,0.07051,0.0007756,0.0007756,0.0007756
36,7758.29,0.50708,0.46867,0.06821,0.76652,0.70431,0.75294,0.47606,0.43644,0.45532,0.06933,0.000769,0.000769,0.000769
37,7970.75,0.49484,0.46166,0.06802,0.78266,0.744,0.78399,0.49659,0.42376,0.43808,0.06493,0.0007624,0.0007624,0.0007624
38,8191.5,0.49349,0.45781,0.06514,0.77569,0.73677,0.78256,0.49823,0.42098,0.43981,0.06629,0.0007558,0.0007558,0.0007558
39,8410.38,0.49266,0.45778,0.06621,0.81196,0.73009,0.79331,0.50682,0.42626,0.4423,0.06821,0.0007492,0.0007492,0.0007492
40,8622.35,0.48538,0.45504,0.06408,0.76819,0.73118,0.76589,0.48789,0.42727,0.44429,0.06696,0.0007426,0.0007426,0.0007426
41,8843.9,0.49039,0.465,0.06527,0.81078,0.73855,0.79226,0.508,0.41617,0.43101,0.06474,0.000736,0.000736,0.000736
42,9065.36,0.48807,0.4576,0.06489,0.83087,0.75232,0.80313,0.51203,0.41744,0.43102,0.06562,0.0007294,0.0007294,0.0007294
43,9286.39,0.47503,0.44688,0.06296,0.79558,0.75577,0.80148,0.51414,0.41347,0.43332,0.06425,0.0007228,0.0007228,0.0007228
44,9497.91,0.47518,0.44813,0.06131,0.80028,0.74205,0.77853,0.50493,0.41319,0.44346,0.06398,0.0007162,0.0007162,0.0007162
45,9709.92,0.47416,0.45142,0.06358,0.84116,0.76639,0.82205,0.52699,0.41063,0.42472,0.06329,0.0007096,0.0007096,0.0007096
46,9929.94,0.47804,0.44614,0.06228,0.81806,0.7568,0.80269,0.51607,0.40906,0.43227,0.06345,0.000703,0.000703,0.000703
47,10152.3,0.47052,0.44875,0.06034,0.81837,0.7424,0.79675,0.51517,0.40685,0.42885,0.06207,0.0006964,0.0006964,0.0006964
48,10376.5,0.46906,0.4467,0.06157,0.81432,0.75246,0.80999,0.5147,0.40915,0.43063,0.06419,0.0006898,0.0006898,0.0006898
49,10601.8,0.46893,0.44984,0.06184,0.81869,0.74283,0.79867,0.5235,0.40459,0.43144,0.06312,0.0006832,0.0006832,0.0006832
50,10814.8,0.46462,0.44588,0.0608,0.84708,0.7603,0.81495,0.53018,0.40757,0.42119,0.06284,0.0006766,0.0006766,0.0006766
51,11026.4,0.46596,0.43989,0.05999,0.83261,0.76901,0.81662,0.5325,0.40342,0.41998,0.06247,0.00067,0.00067,0.00067
52,11238.7,0.46162,0.43725,0.05873,0.82659,0.76456,0.81994,0.53503,0.39729,0.42292,0.06028,0.0006634,0.0006634,0.0006634
53,11463,0.45091,0.42581,0.05726,0.82393,0.77938,0.82538,0.53386,0.40176,0.41394,0.06179,0.0006568,0.0006568,0.0006568
54,11690.3,0.4563,0.43536,0.05705,0.86104,0.75368,0.82383,0.53977,0.39658,0.4148,0.05986,0.0006502,0.0006502,0.0006502
55,11902.5,0.45541,0.43796,0.05838,0.8194,0.77647,0.81358,0.53622,nan,nan,nan,0.0006436,0.0006436,0.0006436
56,12113.9,0.45087,0.43501,0.05707,0.84359,0.77876,0.82578,0.54088,0.39625,0.41539,0.05988,0.000637,0.000637,0.000637
57,12326.1,0.44893,0.43355,0.05645,0.79597,0.7865,0.81329,0.53331,0.39812,0.42301,0.06175,0.0006304,0.0006304,0.0006304
58,12552.5,0.44893,0.42434,0.05582,0.83156,0.79077,0.83556,0.5513,0.39254,0.41085,0.05975,0.0006238,0.0006238,0.0006238
59,12774.4,0.44809,0.43187,0.05887,0.82615,0.7943,0.8281,0.54231,0.39486,0.41467,0.06092,0.0006172,0.0006172,0.0006172
60,13000.6,0.43622,0.42558,0.05517,0.82711,0.78327,0.82807,0.54509,0.39587,0.41517,0.06062,0.0006106,0.0006106,0.0006106
61,13213.3,0.4461,0.4289,0.05503,0.84068,0.79937,0.8394,0.55413,0.38445,0.41246,0.05848,0.000604,0.000604,0.000604
62,13425.4,0.4352,0.42762,0.05647,0.85072,0.7928,0.83978,0.55662,0.38871,0.40412,0.05893,0.0005974,0.0005974,0.0005974
63,13637.7,0.43667,0.42112,0.05402,0.84841,0.79459,0.83107,0.54426,0.38953,0.41156,0.05852,0.0005908,0.0005908,0.0005908
64,13849.5,0.43674,0.42234,0.05472,0.83397,0.80231,0.83762,0.55674,0.38953,0.40876,0.05962,0.0005842,0.0005842,0.0005842
65,14075.7,0.43325,0.42026,0.0554,0.86669,0.79694,0.85665,0.56831,0.38637,0.40319,0.05821,0.0005776,0.0005776,0.0005776
66,14300.6,0.42883,0.41818,0.05207,0.85143,0.81159,0.85178,0.56375,0.38208,0.40382,0.05837,0.000571,0.000571,0.000571
67,14530.6,0.42573,0.42053,0.05275,0.8548,0.81442,0.84629,0.55953,0.38967,0.40674,0.0598,0.0005644,0.0005644,0.0005644
68,14757,0.42787,0.41665,0.05286,0.8528,0.80167,0.85326,0.56305,0.38299,0.40561,0.05793,0.0005578,0.0005578,0.0005578
69,14968.7,0.42732,0.41667,0.05159,0.86208,0.81857,0.85793,0.56673,0.38306,0.40579,0.057,0.0005512,0.0005512,0.0005512
70,15181.3,0.42747,0.41685,0.05274,0.86566,0.79981,0.84504,0.56329,0.38493,0.40382,0.05847,0.0005446,0.0005446,0.0005446
71,15405.8,0.42877,0.41498,0.0535,0.86933,0.80561,0.85627,0.56837,0.38441,0.40097,0.05796,0.000538,0.000538,0.000538
72,15627.3,0.42269,0.42883,0.05338,0.84501,0.83246,0.86128,0.57134,0.38341,0.40308,0.05863,0.0005314,0.0005314,0.0005314
73,15843.6,0.42947,0.41837,0.05282,0.85073,0.80883,0.8565,0.5672,0.38727,0.40594,0.05872,0.0005248,0.0005248,0.0005248
74,16055.3,0.42246,0.41393,0.05257,0.87174,0.8066,0.85263,0.56793,0.38266,0.40289,0.05796,0.0005182,0.0005182,0.0005182
75,16267.3,0.4148,0.40483,0.05054,0.85083,0.82258,0.85336,0.57456,0.38317,0.39924,0.05802,0.0005116,0.0005116,0.0005116
76,16479.2,0.41315,0.40925,0.05114,0.86614,0.8147,0.85688,0.57224,0.38058,0.40207,0.0578,0.000505,0.000505,0.000505
77,16704,0.41359,0.40723,0.0511,0.8524,0.82145,0.85602,0.5772,0.3771,0.4003,0.05535,0.0004984,0.0004984,0.0004984
78,16924.8,0.41702,0.40795,0.05046,0.86199,0.8137,0.85891,0.582,0.37625,0.39793,0.05527,0.0004918,0.0004918,0.0004918
79,17136.6,0.4105,0.40433,0.04994,0.86468,0.80406,0.85502,0.57998,0.3766,0.39419,0.05584,0.0004852,0.0004852,0.0004852
80,17367.3,0.40573,0.40722,0.04898,0.83753,0.81931,0.855,0.57965,0.37559,0.399,0.05542,0.0004786,0.0004786,0.0004786
81,17590.8,0.40905,0.40383,0.04971,0.84835,0.82896,0.86063,0.58196,0.37659,0.39441,0.05568,0.000472,0.000472,0.000472
82,17812.3,0.4029,0.40454,0.04942,0.84915,0.81125,0.85094,0.57706,0.37253,0.40103,0.05479,0.0004654,0.0004654,0.0004654
83,18034.8,0.40994,0.40582,0.05022,0.84787,0.81261,0.85326,0.57892,0.37402,0.39911,0.05596,0.0004588,0.0004588,0.0004588
84,18259.2,0.40572,0.40551,0.04886,0.86893,0.82483,0.86679,0.58947,0.37449,0.39671,0.05584,0.0004522,0.0004522,0.0004522
85,18471.2,0.40482,0.4008,0.04905,0.86031,0.82432,0.86998,0.58739,0.37363,0.39383,0.05538,0.0004456,0.0004456,0.0004456
86,18683.7,0.39505,0.3974,0.0475,0.85542,0.84767,0.87206,0.58123,0.36981,0.39785,0.05466,0.000439,0.000439,0.000439
87,18915.1,0.40577,0.40183,0.04868,0.84696,0.83875,0.86661,0.58188,0.37217,0.39783,0.05528,0.0004324,0.0004324,0.0004324
88,19147.9,0.40211,0.40093,0.04815,0.85651,0.83193,0.86699,0.58982,0.36934,0.39277,0.05438,0.0004258,0.0004258,0.0004258
89,19371.6,0.39963,0.39971,0.04805,0.88072,0.82657,0.87682,0.5946,0.37123,0.39395,0.05471,0.0004192,0.0004192,0.0004192
