epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,259.05,1.87497,0.58419,0.74393,0.54875,0.06557,0.02716,0.00877,1.12039,0.68099,0.3308,0.00033288,0.00033288,0.00033288
2,509.732,1.24661,0.57177,0.33136,0.74795,0.10457,0.06315,0.02571,0.93814,0.76345,0.24735,0.000661816,0.000661816,0.000661816
3,759.246,1.09177,0.60176,0.26201,0.56699,0.17304,0.11377,0.05147,0.83546,0.72551,0.20466,0.000986352,0.000986352,0.000986352
4,1007.99,1.01298,0.60648,0.22159,0.61631,0.16126,0.16873,0.08013,0.7879,0.7349,0.17595,0.0009802,0.0009802,0.0009802
5,1254.15,0.94528,0.626,0.2029,0.46843,0.24644,0.20197,0.09287,nan,nan,nan,0.0009736,0.0009736,0.0009736
6,1499.89,0.91446,0.59521,0.18876,0.43021,0.31673,0.26538,0.13435,nan,nan,nan,0.000967,0.000967,0.000967
7,1743.59,0.84605,0.59135,0.16716,0.43402,0.34718,0.31518,0.16243,0.65394,0.62656,0.13044,0.0009604,0.0009604,0.0009604
8,1985.78,0.81164,0.57971,0.15356,0.46603,0.35476,0.31878,0.16865,nan,nan,nan,0.0009538,0.0009538,0.0009538
9,2228.68,0.7916,0.58058,0.14592,0.51271,0.40248,0.39628,0.21182,0.61211,0.593,0.12095,0.0009472,0.0009472,0.0009472
10,2471.78,0.75005,0.56342,0.13365,0.45909,0.44003,0.40333,0.22076,0.58241,0.58209,0.10758,0.0009406,0.0009406,0.0009406
11,2714.51,0.72603,0.56552,0.12721,0.34616,0.30416,0.25476,0.14582,nan,nan,nan,0.000934,0.000934,0.000934
12,2957.36,0.71799,0.55085,0.12497,0.50353,0.47014,0.4425,0.24094,0.60245,0.56467,0.11759,0.0009274,0.0009274,0.0009274
13,3200.09,0.71944,0.55697,0.1239,0.49722,0.46372,0.46124,0.25879,0.54211,0.57738,0.09829,0.0009208,0.0009208,0.0009208
14,3442.41,0.68424,0.56461,0.11533,0.54589,0.48662,0.47826,0.27492,0.54323,0.54721,0.0987,0.0009142,0.0009142,0.0009142
15,3684.3,0.66776,0.55938,0.11211,0.52367,0.5055,0.49509,0.28255,0.52721,0.54878,0.09391,0.0009076,0.0009076,0.0009076
16,3927.41,0.64805,0.5399,0.10524,0.56095,0.48546,0.49797,0.28462,nan,nan,nan,0.000901,0.000901,0.000901
17,4170.34,0.63864,0.53833,0.10366,0.61438,0.51815,0.55737,0.3211,0.51069,0.52696,0.08954,0.0008944,0.0008944,0.0008944
18,4413.59,0.62578,0.52578,0.0995,0.61501,0.54046,0.55176,0.3208,0.51743,0.51846,0.09081,0.0008878,0.0008878,0.0008878
19,4656.58,0.62688,0.54025,0.09954,0.55752,0.54411,0.53384,0.31442,0.50245,0.54811,0.09114,0.0008812,0.0008812,0.0008812
20,4899.53,0.61205,0.52508,0.09523,0.58424,0.56618,0.59676,0.34844,0.49623,0.51677,0.08627,0.0008746,0.0008746,0.0008746
21,5142.7,0.6005,0.52468,0.09306,0.63404,0.56476,0.60572,0.36103,0.4807,0.49879,0.08058,0.000868,0.000868,0.000868
22,5386.29,0.58521,0.51696,0.09046,0.72602,0.56831,0.63777,0.38184,0.47665,0.48355,0.08292,0.0008614,0.0008614,0.0008614
23,5629.38,0.57178,0.51105,0.0875,0.66333,0.59262,0.62347,0.37252,0.48074,0.49491,0.08186,0.0008548,0.0008548,0.0008548
24,5872.37,0.56441,0.50905,0.08525,0.67592,0.61185,0.63692,0.39121,0.46668,0.48012,0.07766,0.0008482,0.0008482,0.0008482
25,6115.05,0.5632,0.50663,0.08542,0.67116,0.60455,0.63888,0.3868,nan,nan,nan,0.0008416,0.0008416,0.0008416
26,6357.23,0.55211,0.50238,0.08379,0.71788,0.58587,0.6492,0.40701,0.45267,0.47906,0.07592,0.000835,0.000835,0.000835
27,6599.97,0.5582,0.49819,0.08344,0.70597,0.6386,0.6782,0.42384,0.44839,0.47824,0.07315,0.0008284,0.0008284,0.0008284
28,6843.28,0.54254,0.48855,0.07807,0.7137,0.6402,0.66444,0.42067,0.45889,0.46865,0.07807,0.0008218,0.0008218,0.0008218
29,7086.03,0.53211,0.48953,0.0778,0.72952,0.62651,0.68373,0.42864,0.44948,0.48403,0.07708,0.0008152,0.0008152,0.0008152
30,7328.74,0.53963,0.49402,0.07834,0.70531,0.65104,0.69841,0.42342,nan,nan,nan,0.0008086,0.0008086,0.0008086
31,7572.45,0.53493,0.48901,0.07724,0.73271,0.65893,0.70864,0.4445,0.44136,0.46309,0.07285,0.000802,0.000802,0.000802
32,7815.41,0.53117,0.48868,0.07526,0.72073,0.65834,0.72285,0.44794,0.43996,0.46243,0.07214,0.0007954,0.0007954,0.0007954
33,8058.69,0.52567,0.48592,0.07809,0.67491,0.65282,0.68142,0.42167,0.44449,0.4628,0.07569,0.0007888,0.0007888,0.0007888
34,8302.08,0.52032,0.48333,0.07583,0.75104,0.67189,0.7231,0.44375,0.4354,0.45064,0.07003,0.0007822,0.0007822,0.0007822
35,8545.05,0.52181,0.47526,0.07506,0.76959,0.66951,0.72303,0.45154,0.43706,0.45272,0.07055,0.0007756,0.0007756,0.0007756
36,8787.64,0.51528,0.48157,0.07563,0.756,0.67205,0.70516,0.43928,0.43358,0.46079,0.07023,0.000769,0.000769,0.000769
37,9030.69,0.50447,0.47659,0.07385,0.73943,0.70144,0.7398,0.46798,0.43012,0.44636,0.06978,0.0007624,0.0007624,0.0007624
38,9273.83,0.50604,0.47401,0.07409,0.7537,0.68571,0.72955,0.4639,nan,nan,nan,0.0007558,0.0007558,0.0007558
39,9516.74,0.50599,0.47302,0.07447,0.75175,0.70408,0.75126,0.47752,0.42567,0.44189,0.06746,0.0007492,0.0007492,0.0007492
