epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,219.275,1.98331,0.67116,0.80921,0.5263,0.04582,0.01286,0.00333,1.27681,0.54492,0.41892,0.000332428,0.000332428,0.000332428
2,442.822,1.28791,0.53225,0.35003,0.59198,0.13188,0.06363,0.02584,0.96944,0.76378,0.26403,0.000661367,0.000661367,0.000661367
3,649.524,1.12005,0.59608,0.26455,0.59142,0.14166,0.09368,0.04152,0.86816,0.74501,0.21128,0.000985906,0.000985906,0.000985906
4,856.619,1.02226,0.60104,0.21961,0.47655,0.18176,0.17099,0.077,0.80726,0.75896,0.18612,0.0009802,0.0009802,0.0009802
5,1059.53,0.96214,0.60814,0.19827,0.29911,0.23456,0.19226,0.08256,0.80195,0.71669,0.1755,0.0009736,0.0009736,0.0009736
6,1262,0.90934,0.60114,0.17475,0.36617,0.28957,0.23928,0.10915,0.73745,0.69774,0.15092,0.000967,0.000967,0.000967
7,1464.87,0.87291,0.59573,0.16536,0.41348,0.32117,0.28191,0.13014,0.7161,0.64883,0.14138,0.0009604,0.0009604,0.0009604
8,1667.4,0.83848,0.58161,0.15448,0.45769,0.3462,0.32245,0.16417,0.67169,0.61309,0.13333,0.0009538,0.0009538,0.0009538
9,1874.48,0.79823,0.56442,0.13818,0.42218,0.39552,0.35483,0.18108,0.6255,0.59326,0.11692,0.0009472,0.0009472,0.0009472
10,2076.99,0.77219,0.5542,0.12985,0.41187,0.45347,0.38706,0.20409,0.63091,0.60651,0.11705,0.0009406,0.0009406,0.0009406
11,2280.16,0.74455,0.55411,0.12304,0.45949,0.43252,0.40845,0.23082,0.58728,0.57907,0.10558,0.000934,0.000934,0.000934
12,2484.29,0.72957,0.55345,0.12064,0.42605,0.44758,0.39156,0.21455,0.61033,0.62607,0.11824,0.0009274,0.0009274,0.0009274
13,2688.36,0.7154,0.55028,0.11367,0.47618,0.45293,0.43024,0.22433,0.58238,0.5992,0.10087,0.0009208,0.0009208,0.0009208
14,2891.19,0.6903,0.55326,0.10941,0.5299,0.50469,0.48051,0.26761,0.55615,0.65122,0.09999,0.0009142,0.0009142,0.0009142
15,3095.67,0.6763,0.53959,0.10719,0.52421,0.51763,0.52231,0.30001,0.53741,0.53036,0.09092,0.0009076,0.0009076,0.0009076
16,3298.55,0.64414,0.5272,0.09836,0.61019,0.53222,0.5358,0.30955,0.54252,0.54336,0.09515,0.000901,0.000901,0.000901
17,3500.66,0.64434,0.53011,0.09798,0.57818,0.51739,0.55037,0.32177,0.53098,0.54064,0.09406,0.0008944,0.0008944,0.0008944
18,3703.17,0.65646,0.52777,0.09982,0.59863,0.55141,0.56478,0.31413,0.52631,0.52604,0.08865,0.0008878,0.0008878,0.0008878
19,3905.59,0.62374,0.52603,0.0938,0.65809,0.54357,0.58451,0.3312,0.52292,0.51322,0.09245,0.0008812,0.0008812,0.0008812
20,4107.59,0.63971,0.52439,0.09747,0.51301,0.4889,0.47497,0.27933,0.53182,0.58128,0.09496,0.0008746,0.0008746,0.0008746
21,4309.84,0.63913,0.52245,0.09546,0.62541,0.58156,0.59043,0.33893,0.50933,0.5232,0.09109,0.000868,0.000868,0.000868
22,4511.81,0.59931,0.51167,0.08724,0.60327,0.57821,0.56477,0.34168,0.50591,0.50947,0.08375,0.0008614,0.0008614,0.0008614
23,4714.73,0.59504,0.50394,0.08734,0.6817,0.61178,0.65176,0.39087,0.49216,0.48284,0.08217,0.0008548,0.0008548,0.0008548
24,4916.79,0.57554,0.49878,0.08189,0.66324,0.59578,0.64776,0.39232,0.49203,0.48435,0.08286,0.0008482,0.0008482,0.0008482
25,5119.95,0.582,0.50088,0.08474,0.62129,0.60764,0.61471,0.36513,0.49367,0.50237,0.08377,0.0008416,0.0008416,0.0008416
26,5322.3,0.56245,0.49568,0.08034,0.70772,0.60826,0.6715,0.40295,0.47716,0.4866,0.07757,0.000835,0.000835,0.000835
27,5525,0.56282,0.49277,0.07953,0.75344,0.62741,0.6897,0.42665,0.46287,0.47223,0.07503,0.0008284,0.0008284,0.0008284
28,5727.67,0.5703,0.4875,0.07934,0.71076,0.61383,0.67771,0.41369,0.47557,0.48486,0.07949,0.0008218,0.0008218,0.0008218
29,5929.9,0.56087,0.484,0.07887,0.72213,0.66556,0.69565,0.42849,0.45917,0.46251,0.07463,0.0008152,0.0008152,0.0008152
30,6132.83,0.5548,0.48524,0.07625,0.70539,0.631,0.67172,0.40059,0.48552,0.48134,0.08216,0.0008086,0.0008086,0.0008086
31,6335.03,0.55204,0.47796,0.07748,0.69546,0.66017,0.68735,0.42051,0.46423,0.46005,0.07574,0.000802,0.000802,0.000802
32,6537.85,0.55258,0.47738,0.07486,0.77112,0.6398,0.71302,0.43484,0.4661,0.4687,0.07456,0.0007954,0.0007954,0.0007954
33,6740.15,0.54407,0.48225,0.07512,0.71512,0.6248,0.64912,0.38576,0.48623,0.49797,0.0846,0.0007888,0.0007888,0.0007888
34,6942.57,0.54959,0.48168,0.07497,0.72783,0.6674,0.71514,0.43233,0.45787,0.46237,0.07273,0.0007822,0.0007822,0.0007822
35,7144.73,0.5353,0.46595,0.07039,0.76679,0.67454,0.72584,0.44975,0.45419,0.4564,0.07298,0.0007756,0.0007756,0.0007756
36,7347.25,0.52633,0.47502,0.07072,0.71227,0.67879,0.70508,0.4352,0.46515,0.46465,0.07936,0.000769,0.000769,0.000769
37,7549.67,0.52782,0.47293,0.07425,0.74067,0.70357,0.74044,0.45788,0.44202,0.45226,0.07049,0.0007624,0.0007624,0.0007624
38,7751.91,0.51961,0.46118,0.07013,0.75606,0.6986,0.74173,0.46469,0.44104,0.45509,0.06945,0.0007558,0.0007558,0.0007558
39,7954.83,0.51387,0.46199,0.07008,0.74707,0.72927,0.76237,0.47877,0.43708,0.43834,0.06743,0.0007492,0.0007492,0.0007492
40,8157.18,0.5184,0.46297,0.07099,0.76614,0.6682,0.73068,0.45074,0.46192,0.44818,0.07419,0.0007426,0.0007426,0.0007426
41,8359.97,0.51716,0.46374,0.06893,0.78551,0.7061,0.75524,0.46844,0.45164,0.45231,0.07184,0.000736,0.000736,0.000736
42,8562.21,0.5263,0.46481,0.071,0.76558,0.72684,0.77179,0.48242,0.43974,0.44302,0.06814,0.0007294,0.0007294,0.0007294
43,8764.91,0.51254,0.45625,0.06889,0.79074,0.69947,0.76598,0.47979,0.43896,0.44016,0.06985,0.0007228,0.0007228,0.0007228
44,8967.51,0.50203,0.44701,0.06546,0.74748,0.72511,0.75406,0.47889,0.43503,0.44581,0.07058,0.0007162,0.0007162,0.0007162
45,9169.84,0.4999,0.45638,0.06749,0.82836,0.71328,0.78432,0.49359,0.42907,0.44059,0.06614,0.0007096,0.0007096,0.0007096
46,9372.72,0.49913,0.45013,0.06503,0.79109,0.74072,0.78389,0.48993,0.42919,0.44305,0.06638,0.000703,0.000703,0.000703
47,9574.78,0.49515,0.45333,0.06474,0.76663,0.72192,0.76516,0.49225,0.41983,0.45686,0.06649,0.0006964,0.0006964,0.0006964
48,9777.74,0.49112,0.45077,0.06507,0.79181,0.75351,0.80537,0.50686,0.423,0.42676,0.06534,0.0006898,0.0006898,0.0006898
