epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,257.302,2.09647,0.61718,0.93255,0.02594,0.04675,0.01264,0.00372,1.22385,0.67341,0.40869,0.000332428,0.000332428,0.000332428
2,505.042,1.35333,0.52783,0.3866,0.7381,0.08208,0.04445,0.01715,1.01929,0.69678,0.29678,0.000661367,0.000661367,0.000661367
3,749.158,1.17324,0.61226,0.3001,0.59682,0.10537,0.08144,0.03605,0.86508,0.77587,0.23097,0.000985906,0.000985906,0.000985906
4,990.975,1.03873,0.62684,0.2408,0.53618,0.17226,0.12682,0.0632,0.82075,0.77289,0.20904,0.0009802,0.0009802,0.0009802
5,1233.68,0.96134,0.64134,0.21596,0.37211,0.26991,0.18589,0.0933,0.7436,0.7867,0.18469,0.0009736,0.0009736,0.0009736
6,1474.82,0.91806,0.6407,0.19601,0.37126,0.29748,0.22303,0.11569,0.68353,0.73962,0.15981,0.000967,0.000967,0.000967
7,1714.77,0.85562,0.62464,0.17748,0.38713,0.31096,0.28631,0.14771,0.65511,0.68754,0.13777,0.0009604,0.0009604,0.0009604
8,1954.82,0.82306,0.60786,0.16226,0.52825,0.30769,0.303,0.16716,0.61473,0.69038,0.11985,0.0009538,0.0009538,0.0009538
9,2194.65,0.77597,0.60831,0.14615,0.39809,0.37275,0.32958,0.17558,0.62164,0.66047,0.12788,0.0009472,0.0009472,0.0009472
10,2434.61,0.74188,0.58633,0.13488,0.42476,0.40364,0.37256,0.20572,0.60802,0.61252,0.11911,0.0009406,0.0009406,0.0009406
11,2674.28,0.70992,0.59356,0.12584,0.48371,0.41026,0.3808,0.21429,0.57032,0.61801,0.10873,0.000934,0.000934,0.000934
12,2916.56,0.69005,0.585,0.12128,0.48644,0.41747,0.39888,0.22662,0.55444,0.61254,0.10666,0.0009274,0.0009274,0.0009274
13,3156.78,0.6805,0.58972,0.1174,0.54102,0.45561,0.46454,0.2641,0.54413,0.5844,0.11165,0.0009208,0.0009208,0.0009208
14,3399.32,0.6477,0.57451,0.10857,0.54076,0.4905,0.49588,0.28264,0.52826,0.57231,0.09532,0.0009142,0.0009142,0.0009142
15,3640.58,0.65901,0.56929,0.11057,0.48747,0.48312,0.48506,0.28019,0.51478,0.56735,0.08897,0.0009076,0.0009076,0.0009076
16,3880.56,0.61202,0.56618,0.09938,0.51777,0.51125,0.49756,0.28647,0.51713,0.5731,0.09085,0.000901,0.000901,0.000901
17,4120.41,0.6011,0.55559,0.09548,0.58551,0.53549,0.55947,0.34236,0.49591,0.54003,0.08957,0.0008944,0.0008944,0.0008944
18,4359.72,0.60531,0.55302,0.09638,0.58952,0.54394,0.55217,0.33444,0.50515,0.53187,0.08574,0.0008878,0.0008878,0.0008878
