epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,161.72,1.92001,0.66663,0.7967,0.35302,0.01802,0.0046,0.001,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,315.693,1.26703,0.53053,0.33998,0.74295,0.11019,0.05438,0.02021,nan,nan,nan,0.000661367,0.000661367,0.000661367
3,485.13,1.14102,0.58913,0.27627,0.6117,0.13184,0.08906,0.03515,0.89451,0.73977,0.21964,0.000985906,0.000985906,0.000985906
4,638.211,1.06947,0.6115,0.23997,0.78509,0.11922,0.11729,0.04886,0.93453,0.69752,0.22105,0.0009802,0.0009802,0.0009802
5,790.29,1.01037,0.61058,0.21725,0.47294,0.21263,0.17182,0.08299,0.78203,0.71812,0.16523,0.0009736,0.0009736,0.0009736
6,941.638,0.98472,0.57524,0.20639,0.24187,0.28213,0.1718,0.07334,0.81441,0.7019,0.18274,0.000967,0.000967,0.000967
7,1093.71,0.91988,0.58443,0.17846,0.30298,0.31835,0.23848,0.1189,0.7302,0.64238,0.15257,0.0009604,0.0009604,0.0009604
8,1245.47,0.87021,0.56474,0.15919,0.35294,0.33447,0.26994,0.14177,0.69298,0.66247,0.13166,0.0009538,0.0009538,0.0009538
9,1397.15,0.84894,0.59264,0.15077,0.38874,0.29454,0.26412,0.14311,0.68245,0.62573,0.14012,0.0009472,0.0009472,0.0009472
10,1549.49,0.81402,0.54954,0.13814,0.41497,0.36924,0.34647,0.1825,0.65596,0.59675,0.11828,0.0009406,0.0009406,0.0009406
11,1701.57,0.79515,0.54955,0.13547,0.39319,0.40819,0.33795,0.19379,0.627,0.61696,0.11384,0.000934,0.000934,0.000934
12,1857.03,0.80659,0.55757,0.14123,0.40659,0.38398,0.33257,0.17789,0.65326,0.59517,0.12367,0.0009274,0.0009274,0.0009274
13,2009.49,0.78614,0.54314,0.13263,0.44046,0.40405,0.36883,0.20214,0.62572,0.6125,0.11105,0.0009208,0.0009208,0.0009208
14,2161.97,0.74595,0.546,0.11933,0.50957,0.44092,0.42855,0.22659,0.60312,0.57852,0.10229,0.0009142,0.0009142,0.0009142
15,2315.21,0.73486,0.54112,0.11872,0.49306,0.40811,0.41495,0.23685,0.61119,0.54568,0.11107,0.0009076,0.0009076,0.0009076
16,2469.77,0.71362,0.53435,0.11193,0.48235,0.48052,0.4428,0.24785,0.58361,0.56082,0.10372,0.000901,0.000901,0.000901
17,2622.51,0.70502,0.53035,0.10843,0.54191,0.46167,0.44319,0.24306,0.63229,0.54611,0.12402,0.0008944,0.0008944,0.0008944
18,2774.2,0.70078,0.51581,0.10848,0.52867,0.51043,0.48119,0.27036,0.57535,0.52474,0.09958,0.0008878,0.0008878,0.0008878
19,2926.47,0.6797,0.51121,0.10307,0.58897,0.50045,0.51069,0.28788,0.55976,0.54119,0.09528,0.0008812,0.0008812,0.0008812
20,3078.42,0.67187,0.51885,0.09948,0.56046,0.50405,0.50753,0.2895,0.55411,0.52665,0.09518,0.0008746,0.0008746,0.0008746
21,3230.11,0.66911,0.50867,0.09969,0.53849,0.54756,0.53536,0.30879,0.54842,0.51829,0.09456,0.000868,0.000868,0.000868
22,3382.21,0.64129,0.51496,0.09427,0.63803,0.50984,0.54267,0.31369,0.54094,0.51235,0.09074,0.0008614,0.0008614,0.0008614
23,3534.01,0.65854,0.51583,0.09972,0.60027,0.51017,0.51756,0.29693,nan,nan,nan,0.0008548,0.0008548,0.0008548
24,3686.22,0.63779,0.50388,0.09316,0.61042,0.53533,0.54932,0.31465,0.53851,0.49523,0.08923,0.0008482,0.0008482,0.0008482
25,3838.36,0.63465,0.50109,0.09294,0.62574,0.57515,0.57717,0.33654,0.5222,0.49767,0.08564,0.0008416,0.0008416,0.0008416
26,3990.76,0.61637,0.49663,0.08924,0.65738,0.56566,0.60555,0.35723,0.51735,0.49396,0.08427,0.000835,0.000835,0.000835
27,4142.69,0.62078,0.49221,0.08971,0.65724,0.56836,0.58483,0.34612,0.52764,0.48826,0.08857,0.0008284,0.0008284,0.0008284
28,4294.89,0.62247,0.49455,0.08862,0.62917,0.58382,0.59856,0.34765,0.53379,0.48898,0.08822,0.0008218,0.0008218,0.0008218
29,4447.2,0.61229,0.48186,0.08682,0.67859,0.60986,0.6288,0.37428,0.50258,0.476,0.08053,0.0008152,0.0008152,0.0008152
30,4599.12,0.61095,0.48011,0.08496,0.68937,0.60787,0.63743,0.37539,0.4972,0.47741,0.07932,0.0008086,0.0008086,0.0008086
31,4751.65,0.595,0.47624,0.08162,0.72674,0.61572,0.66574,0.39196,0.49527,0.45956,0.07727,0.000802,0.000802,0.000802
32,4903.79,0.59541,0.47942,0.0814,0.74369,0.62351,0.67299,0.39775,0.49677,0.46421,0.08041,0.0007954,0.0007954,0.0007954
33,5056.06,0.59329,0.48682,0.0825,0.64076,0.61647,0.60551,0.36202,0.49482,0.50634,0.07953,0.0007888,0.0007888,0.0007888
34,5209.01,0.59705,0.47842,0.08098,0.71617,0.60942,0.65374,0.3892,0.493,0.46141,0.0797,0.0007822,0.0007822,0.0007822
35,5373.98,0.58626,0.4727,0.07803,0.69265,0.6524,0.6649,0.40088,0.49404,0.45974,0.07819,0.0007756,0.0007756,0.0007756
36,5529.71,0.57935,0.47923,0.07813,0.69215,0.63758,0.67094,0.40794,0.4939,0.45988,0.07834,0.000769,0.000769,0.000769
37,5681.65,0.56589,0.47345,0.07895,0.72124,0.61117,0.6811,0.41165,0.48234,0.46855,0.07751,0.0007624,0.0007624,0.0007624
38,5834.99,0.56161,0.46604,0.0748,0.73039,0.65169,0.70712,0.43495,0.47149,0.45841,0.07337,0.0007558,0.0007558,0.0007558
39,5990.74,0.55843,0.46643,0.07574,0.72901,0.6372,0.6814,0.41541,0.48454,0.46696,0.07766,0.0007492,0.0007492,0.0007492
40,6143.26,0.56478,0.47695,0.07847,0.72558,0.56562,0.59973,0.35311,nan,nan,nan,0.0007426,0.0007426,0.0007426
41,6295.98,0.56941,0.47337,0.07718,0.72108,0.67003,0.70251,0.43033,0.47204,0.4492,0.07485,0.000736,0.000736,0.000736
42,6449.23,0.55843,0.46646,0.07341,0.75232,0.67181,0.70859,0.4347,0.46314,0.44903,0.07137,0.0007294,0.0007294,0.0007294
43,6613.24,0.54632,0.46078,0.07272,0.74765,0.66453,0.70611,0.43296,0.47536,0.44528,0.07584,0.0007228,0.0007228,0.0007228
