epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,214.85,1.93314,0.66485,0.81166,0.68357,0.01978,0.00462,0.00106,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,418.939,1.25073,0.54795,0.33474,0.75354,0.09577,0.06618,0.02493,nan,nan,nan,0.000661367,0.000661367,0.000661367
3,627.254,1.09231,0.5798,0.24919,0.4427,0.21131,0.12031,0.05223,0.89455,0.67645,0.22019,0.000985906,0.000985906,0.000985906
4,829.208,0.99459,0.60413,0.20759,0.47336,0.22632,0.17892,0.08154,0.80935,0.65952,0.17737,0.0009802,0.0009802,0.0009802
5,1029.71,0.93116,0.60021,0.18672,0.5089,0.22697,0.21,0.10071,nan,nan,nan,0.0009736,0.0009736,0.0009736
6,1238.93,0.89686,0.57991,0.17246,0.53868,0.26737,0.2651,0.12633,0.71399,0.64318,0.14432,0.000967,0.000967,0.000967
7,1458.3,0.84586,0.5682,0.15372,0.39379,0.36424,0.30016,0.14875,0.71671,0.61105,0.14165,0.0009604,0.0009604,0.0009604
8,1673.89,0.81911,0.56475,0.14399,0.39715,0.37686,0.30879,0.16896,0.63704,0.60983,0.1214,0.0009538,0.0009538,0.0009538
9,1884.68,0.78626,0.56069,0.13153,0.49003,0.35687,0.36074,0.18264,0.63467,0.62015,0.11215,0.0009472,0.0009472,0.0009472
10,2084.39,0.76273,0.54457,0.12396,0.49406,0.42728,0.41242,0.20501,0.64726,0.60713,0.12459,0.0009406,0.0009406,0.0009406
11,2282.77,0.74442,0.55078,0.1214,0.45062,0.44403,0.41235,0.23734,0.60002,0.57508,0.1074,0.000934,0.000934,0.000934
12,2482.38,0.7419,0.53834,0.11989,0.56743,0.42775,0.42257,0.23721,0.59606,0.55914,0.1082,0.0009274,0.0009274,0.0009274
13,2695.3,0.71962,0.53484,0.11199,0.52537,0.4798,0.47016,0.2627,0.59011,0.55518,0.10273,0.0009208,0.0009208,0.0009208
14,2894.53,0.70246,0.54194,0.1091,0.47411,0.51817,0.48812,0.2643,0.58478,0.57394,0.09912,0.0009142,0.0009142,0.0009142
15,3096.53,0.69112,0.53385,0.10665,0.60344,0.48963,0.50351,0.30033,0.5586,0.55838,0.09265,0.0009076,0.0009076,0.0009076
16,3294.24,0.66318,0.52099,0.09894,0.55791,0.51077,0.51006,0.28347,0.5784,0.52609,0.1052,0.000901,0.000901,0.000901
17,3493.64,0.6585,0.5177,0.09685,0.62152,0.52159,0.56268,0.32835,0.53942,0.50069,0.08906,0.0008944,0.0008944,0.0008944
18,3707.48,0.65498,0.50642,0.09627,0.64187,0.54758,0.56832,0.32336,0.53496,0.50939,0.08439,0.0008878,0.0008878,0.0008878
19,3922.33,0.63779,0.50824,0.09099,0.64063,0.57322,0.57948,0.33376,0.53459,0.4909,0.08896,0.0008812,0.0008812,0.0008812
20,4134,0.6283,0.50869,0.08904,0.62536,0.55729,0.57237,0.33462,0.53556,0.49092,0.0885,0.0008746,0.0008746,0.0008746
21,4332.71,0.62486,0.49679,0.08734,0.69132,0.55568,0.61062,0.35875,0.52285,0.4853,0.08464,0.000868,0.000868,0.000868
22,4549.26,0.6092,0.49607,0.08568,0.64705,0.5903,0.60401,0.36873,0.51028,0.49124,0.08144,0.0008614,0.0008614,0.0008614
23,4778.5,0.60275,0.48793,0.08394,0.69108,0.63767,0.66184,0.39487,0.49685,0.46185,0.0805,0.0008548,0.0008548,0.0008548
24,4984.14,0.59342,0.49278,0.08114,0.71416,0.60124,0.65544,0.39548,0.49584,0.46958,0.0794,0.0008482,0.0008482,0.0008482
25,5193.69,0.59311,0.48156,0.08211,0.70788,0.5932,0.63991,0.3744,0.50815,0.48116,0.08051,0.0008416,0.0008416,0.0008416
26,5392.59,0.57984,0.48104,0.0798,0.69807,0.58894,0.63204,0.38148,0.50141,0.47889,0.07805,0.000835,0.000835,0.000835
27,5591.48,0.58635,0.48296,0.08043,0.69612,0.63821,0.65251,0.40152,0.49582,0.46243,0.0778,0.0008284,0.0008284,0.0008284
28,5789.67,0.58547,0.47627,0.07927,0.68521,0.62916,0.66515,0.40171,0.49629,0.46839,0.0779,0.0008218,0.0008218,0.0008218
29,5988.73,0.57779,0.47506,0.07749,0.70863,0.62204,0.65957,0.39761,0.48884,0.46797,0.0752,0.0008152,0.0008152,0.0008152
30,6197.35,0.56956,0.46945,0.07625,0.72647,0.62445,0.66522,0.4098,0.4872,0.46296,0.07666,0.0008086,0.0008086,0.0008086
31,6400.92,0.56549,0.47171,0.07603,0.72597,0.6588,0.69319,0.42521,0.47683,0.45412,0.07247,0.000802,0.000802,0.000802
32,6598.81,0.57208,0.46971,0.07534,0.71767,0.65171,0.67799,0.41712,0.47382,0.46059,0.07494,0.0007954,0.0007954,0.0007954
33,6797.95,0.55237,0.45921,0.07197,0.7523,0.68036,0.71554,0.44718,0.46484,0.43832,0.07008,0.0007888,0.0007888,0.0007888
34,6996.4,0.55348,0.46111,0.07113,0.75383,0.66357,0.71766,0.43873,0.46929,0.44234,0.07264,0.0007822,0.0007822,0.0007822
35,7195.1,0.55454,0.46116,0.07019,0.74939,0.65659,0.71148,0.43797,0.47055,0.44767,0.07331,0.0007756,0.0007756,0.0007756
36,7394.33,0.55052,0.45745,0.07106,0.77294,0.6941,0.74176,0.45516,0.46154,0.43998,0.0696,0.000769,0.000769,0.000769
37,7592.6,0.52948,0.4559,0.06969,0.7426,0.71211,0.75474,0.46432,0.45202,0.43415,0.06721,0.0007624,0.0007624,0.0007624
38,7792.03,0.52762,0.44884,0.06652,0.80163,0.69013,0.75904,0.47426,0.45035,0.43316,0.06671,0.0007558,0.0007558,0.0007558
39,7994.59,0.52746,0.44666,0.06857,0.76861,0.68961,0.74447,0.46233,0.45231,0.43805,0.06795,0.0007492,0.0007492,0.0007492
40,8194.83,0.53038,0.45076,0.06864,0.80042,0.68987,0.75419,0.47366,0.45536,0.4323,0.06923,0.0007426,0.0007426,0.0007426
41,8393.51,0.53187,0.45726,0.0684,0.76307,0.71544,0.75229,0.46766,0.46037,0.43436,0.07015,0.000736,0.000736,0.000736
42,8593.53,0.5296,0.45216,0.06755,0.80521,0.68645,0.75048,0.47511,0.45421,0.43324,0.06998,0.0007294,0.0007294,0.0007294
43,8792.55,0.51251,0.44172,0.06539,0.8027,0.72228,0.76279,0.48105,0.44612,0.42746,0.06553,0.0007228,0.0007228,0.0007228
44,8991.96,0.51982,0.44107,0.0646,0.78936,0.71282,0.75866,0.47725,0.4438,0.42899,0.06611,0.0007162,0.0007162,0.0007162
45,9198.08,0.52061,0.448,0.06807,0.79476,0.71372,0.76404,0.48047,0.43883,0.42475,0.06407,0.0007096,0.0007096,0.0007096
46,9398.05,0.51233,0.44044,0.06372,0.77117,0.7628,0.78596,0.49649,0.43725,0.42538,0.06289,0.000703,0.000703,0.000703
47,9601.71,0.50668,0.43793,0.06309,0.79194,0.73627,0.78332,0.49087,0.4394,0.42645,0.06402,0.0006964,0.0006964,0.0006964
48,9800,0.51004,0.44471,0.06431,0.78643,0.73556,0.77602,0.48247,0.44459,0.42983,0.06618,0.0006898,0.0006898,0.0006898
49,9999.93,0.5072,0.44323,0.0645,0.7866,0.743,0.78158,0.49079,0.43276,0.42357,0.06488,0.0006832,0.0006832,0.0006832
50,10209.4,0.50443,0.43821,0.06324,0.80824,0.73263,0.77372,0.4923,0.43844,0.42365,0.06627,0.0006766,0.0006766,0.0006766
51,10408.7,0.49829,0.43212,0.06123,0.82522,0.73095,0.79645,0.50007,0.43451,0.41305,0.0633,0.00067,0.00067,0.00067
52,10614.1,0.50144,0.43662,0.06179,0.81227,0.74203,0.79892,0.49448,0.43776,0.42035,0.06579,0.0006634,0.0006634,0.0006634
53,10812.8,0.49565,0.4337,0.06101,0.80813,0.73642,0.79421,0.50544,0.42841,0.4221,0.06323,0.0006568,0.0006568,0.0006568
54,11016.3,0.50546,0.43446,0.06179,0.81087,0.73227,0.78141,0.49202,0.44382,0.43065,0.0659,0.0006502,0.0006502,0.0006502
55,11214.5,0.49939,0.43064,0.06227,0.8348,0.73495,0.79226,0.50623,0.42957,0.41566,0.06372,0.0006436,0.0006436,0.0006436
56,11414.5,0.49661,0.4337,0.06142,0.81402,0.75473,0.81007,0.50995,0.42669,0.41265,0.06173,0.000637,0.000637,0.000637
57,11613.7,0.48869,0.4321,0.05869,0.81258,0.76525,0.80195,0.51981,0.42215,0.42058,0.06153,0.0006304,0.0006304,0.0006304
58,11814.5,0.48555,0.42318,0.05799,0.81515,0.76598,0.81562,0.52215,0.42179,0.41559,0.0615,0.0006238,0.0006238,0.0006238
59,12017.5,0.47997,0.42732,0.05933,0.82495,0.7817,0.81535,0.51945,0.42475,0.41155,0.06405,0.0006172,0.0006172,0.0006172
60,12217.3,0.47891,0.42174,0.05906,0.80518,0.76976,0.80908,0.51358,0.4332,0.41516,0.06433,0.0006106,0.0006106,0.0006106
61,12417.5,0.49256,0.42904,0.05844,0.8443,0.74374,0.82345,0.52663,0.4239,0.41536,0.06129,0.000604,0.000604,0.000604
62,12620.8,0.47573,0.42127,0.05919,0.82809,0.7745,0.81952,0.53233,0.41385,0.40852,0.05923,0.0005974,0.0005974,0.0005974
63,12820.5,0.46973,0.41765,0.05638,0.80459,0.78434,0.80053,0.51842,0.42254,0.41034,0.06179,0.0005908,0.0005908,0.0005908
64,13018.9,0.48062,0.41854,0.05762,0.84664,0.76077,0.81508,0.52907,0.41595,0.40463,0.06071,0.0005842,0.0005842,0.0005842
65,13218.1,0.46648,0.41713,0.05737,0.81398,0.79765,0.81501,0.52839,0.41602,0.40845,0.06117,0.0005776,0.0005776,0.0005776
66,13416.7,0.47619,0.41671,0.05636,0.82437,0.77825,0.81758,0.53429,0.41355,0.40608,0.0609,0.000571,0.000571,0.000571
