epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,235.014,2.03288,0.64661,0.87273,0.3359,0.06844,0.00435,0.00078,1.38533,0.50282,0.43399,0.000332428,0.000332428,0.000332428
2,469.432,1.39167,0.44366,0.37602,0.24266,0.0816,0.04802,0.01312,1.12295,0.60337,0.31736,0.000661367,0.000661367,0.000661367
3,700.577,1.24475,0.4902,0.3037,0.78035,0.11781,0.09174,0.02988,0.97298,0.66805,0.2403,0.000985906,0.000985906,0.000985906
4,930.204,1.11004,0.5591,0.24639,0.80049,0.12811,0.12086,0.04753,0.9239,0.63015,0.22156,0.0009802,0.0009802,0.0009802
5,1154.71,1.03525,0.56462,0.2194,0.63834,0.17224,0.23709,0.07329,0.82737,0.66153,0.19764,0.0009736,0.0009736,0.0009736
6,1380.56,1.00196,0.54572,0.20129,0.31127,0.2829,0.19843,0.07923,0.82036,0.62745,0.1875,0.000967,0.000967,0.000967
7,1606.91,0.95786,0.55533,0.18703,0.31414,0.30879,0.26159,0.11017,0.77273,0.60648,0.1691,0.0009604,0.0009604,0.0009604
8,1831.89,0.92416,0.54598,0.1736,0.51911,0.32018,0.29393,0.12859,0.74557,0.59474,0.14553,0.0009538,0.0009538,0.0009538
9,2058.44,0.89726,0.53633,0.16394,0.41252,0.35029,0.32133,0.14904,0.72218,0.58472,0.13916,0.0009472,0.0009472,0.0009472
10,2283.73,0.87088,0.52713,0.15224,0.45366,0.41275,0.37266,0.18001,0.69822,0.56413,0.13091,0.0009406,0.0009406,0.0009406
11,2509.14,0.83598,0.52979,0.14378,0.50353,0.39187,0.38449,0.19874,0.67383,0.57259,0.12697,0.000934,0.000934,0.000934
12,2741.02,0.8299,0.5328,0.14336,0.50883,0.36111,0.3532,0.17926,0.68989,0.66765,0.13423,0.0009274,0.0009274,0.0009274
13,2976.38,0.79695,0.52878,0.13167,0.50324,0.43259,0.41772,0.22306,0.64272,0.55134,0.11364,0.0009208,0.0009208,0.0009208
14,3202.08,0.76268,0.52973,0.11969,0.56934,0.43834,0.4618,0.25732,0.6145,0.52684,0.10728,0.0009142,0.0009142,0.0009142
15,3428.12,0.75016,0.53332,0.11946,0.53888,0.42622,0.45182,0.24988,0.60108,0.57972,0.10191,0.0009076,0.0009076,0.0009076
16,3652.66,0.73149,0.52455,0.11354,0.53439,0.47251,0.46009,0.26096,0.58565,0.5384,0.10068,0.000901,0.000901,0.000901
17,3882.07,0.70714,0.51956,0.10816,0.5647,0.496,0.50638,0.29693,0.5581,0.52192,0.09503,0.0008944,0.0008944,0.0008944
18,4107.66,0.69935,0.51167,0.10597,0.56415,0.50301,0.5056,0.29355,0.56499,0.52175,0.09585,0.0008878,0.0008878,0.0008878
