epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,241.707,1.81478,0.72978,0.69582,0.72515,0.05905,0.0291,0.0084,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,477.256,1.21295,0.5537,0.31197,0.76419,0.09561,0.07343,0.03028,nan,nan,nan,0.000661367,0.000661367,0.000661367
3,709.592,1.08773,0.57281,0.24848,0.5513,0.17058,0.114,0.05425,0.85855,0.71669,0.2146,0.000985906,0.000985906,0.000985906
4,942.748,1.03392,0.6058,0.22907,0.40335,0.20723,0.18043,0.08209,0.8234,0.67218,0.20287,0.0009802,0.0009802,0.0009802
5,1176.47,0.93111,0.60305,0.18907,0.46971,0.24979,0.21462,0.10576,0.76059,0.65732,0.15876,0.0009736,0.0009736,0.0009736
6,1409.65,0.89247,0.59201,0.16839,0.35185,0.29518,0.23974,0.12725,0.69504,0.79873,0.14021,0.000967,0.000967,0.000967
7,1648.04,0.84132,0.58099,0.1546,0.38777,0.35939,0.30584,0.15417,0.69322,0.62635,0.14423,0.0009604,0.0009604,0.0009604
8,1887.65,0.81452,0.57899,0.14151,0.46228,0.35876,0.3399,0.17288,0.65327,0.62878,0.12607,0.0009538,0.0009538,0.0009538
9,2123.69,0.79387,0.55973,0.13497,0.47555,0.41168,0.38005,0.1959,0.64483,0.57955,0.12612,0.0009472,0.0009472,0.0009472
10,2357.42,0.75849,0.55324,0.1232,0.49625,0.43067,0.39992,0.21555,0.60386,0.57874,0.10953,0.0009406,0.0009406,0.0009406
11,2590.88,0.74091,0.5502,0.12071,0.44012,0.46403,0.41708,0.22819,0.61659,0.57215,0.1156,0.000934,0.000934,0.000934
12,2823.8,0.72607,0.54567,0.11574,0.48915,0.42479,0.41204,0.22338,0.61962,0.57044,0.11901,0.0009274,0.0009274,0.0009274
13,3065.83,0.70193,0.54194,0.10834,0.50927,0.43464,0.41908,0.22999,nan,nan,nan,0.0009208,0.0009208,0.0009208
14,3298.99,0.69361,0.54809,0.10685,0.58461,0.49483,0.4897,0.27751,nan,nan,nan,0.0009142,0.0009142,0.0009142
15,3535.13,0.67511,0.52696,0.10327,0.57516,0.5113,0.51388,0.29793,nan,nan,nan,0.0009076,0.0009076,0.0009076
