epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,221.093,1.88612,0.6436,0.71105,0,0,0,0,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,439.093,1.26591,0.53033,0.33665,0,0,0,0,nan,nan,nan,0.000661367,0.000661367,0.000661367
3,650.602,1.06031,0.60874,0.23882,0,0,0,0,nan,nan,nan,0.000985906,0.000985906,0.000985906
4,862.811,0.99188,0.59941,0.20787,0,0,0,0,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,1074.5,0.93466,0.59075,0.18824,0,0,0,0,nan,nan,nan,0.0009736,0.0009736,0.0009736
6,1286.1,0.89188,0.59316,0.16973,0,0,0,0,nan,nan,nan,0.000967,0.000967,0.000967
7,1498.75,0.85562,0.59082,0.15819,0,0,0,0,nan,nan,nan,0.0009604,0.0009604,0.0009604
8,1710.68,0.83744,0.59118,0.14989,0,0,0,0,nan,nan,nan,0.0009538,0.0009538,0.0009538
9,1926.27,0.80775,0.57658,0.1384,0,0,0,0,nan,nan,nan,0.0009472,0.0009472,0.0009472
10,2138.71,0.78415,0.56007,0.12945,0,0,0,0,nan,nan,nan,0.0009406,0.0009406,0.0009406
11,2354.98,0.75298,0.55846,0.12398,0,0,0,0,nan,nan,nan,0.000934,0.000934,0.000934
12,2567.87,0.74561,0.56882,0.12088,0,0,0,0,nan,nan,nan,0.0009274,0.0009274,0.0009274
13,2779.93,0.73811,0.5549,0.11889,0,0,0,0,nan,nan,nan,0.0009208,0.0009208,0.0009208
14,2993.85,0.71682,0.5555,0.11223,0,0,0,0,nan,nan,nan,0.0009142,0.0009142,0.0009142
15,3209.78,0.69206,0.54659,0.10817,0,0,0,0,nan,nan,nan,0.0009076,0.0009076,0.0009076
16,3425.05,0.67721,0.54104,0.1033,0,0,0,0,nan,nan,nan,0.000901,0.000901,0.000901
17,3637.28,0.67355,0.5365,0.10117,0,0,0,0,nan,nan,nan,0.0008944,0.0008944,0.0008944
18,3855.73,0.66724,0.52914,0.09897,0,0,0,0,nan,nan,nan,0.0008878,0.0008878,0.0008878
19,4068.12,0.65067,0.52636,0.09554,0,0,0,0,nan,nan,nan,0.0008812,0.0008812,0.0008812
20,4283.3,0.64386,0.5284,0.09397,0,0,0,0,nan,nan,nan,0.0008746,0.0008746,0.0008746
