epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,207.51,1.87491,0.65157,0.76502,0.71336,0.0553,0.02188,0.0065,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,407.686,1.221,0.55219,0.3136,0.74152,0.09435,0.06017,0.02471,nan,nan,nan,0.000661367,0.000661367,0.000661367
3,607.531,1.0689,0.60007,0.24221,0.49282,0.19335,0.12142,0.05738,nan,nan,nan,0.000985906,0.000985906,0.000985906
4,806.701,1.01773,0.60696,0.22127,0.56414,0.19285,0.15545,0.06925,0.83987,0.64898,0.21362,0.0009802,0.0009802,0.0009802
5,1006.69,0.93592,0.591,0.18988,0.2603,0.30526,0.19245,0.09399,0.74056,0.69459,0.15327,0.0009736,0.0009736,0.0009736
6,1207.43,0.87115,0.59062,0.16303,0.30188,0.31407,0.2503,0.12477,0.70633,0.66512,0.14396,0.000967,0.000967,0.000967
7,1407.62,0.83875,0.59484,0.15297,0.41074,0.32214,0.29519,0.1497,0.68649,0.61056,0.14003,0.0009604,0.0009604,0.0009604
8,1606.65,0.80986,0.56976,0.14135,0.44539,0.3977,0.35174,0.17913,0.64361,0.58709,0.12128,0.0009538,0.0009538,0.0009538
9,1804.87,0.76869,0.56096,0.12466,0.46171,0.42184,0.3898,0.20606,0.63272,0.57897,0.11739,0.0009472,0.0009472,0.0009472
10,2003.93,0.75992,0.55919,0.12251,0.44218,0.45217,0.39938,0.21256,0.61778,0.59029,0.11278,0.0009406,0.0009406,0.0009406
11,2202.17,0.7434,0.55634,0.12079,0.4559,0.41066,0.39697,0.22453,0.60081,0.57906,0.11042,0.000934,0.000934,0.000934
12,2401.46,0.71867,0.53786,0.11472,0.57816,0.46265,0.47355,0.26061,0.58458,0.55394,0.10115,0.0009274,0.0009274,0.0009274
13,2599.23,0.69227,0.52849,0.10499,0.54558,0.45942,0.46959,0.26695,0.56938,0.53498,0.10458,0.0009208,0.0009208,0.0009208
14,2798.83,0.68824,0.54095,0.10567,0.56784,0.48298,0.49703,0.27746,0.55542,0.54206,0.09875,0.0009142,0.0009142,0.0009142
15,2996.88,0.69425,0.53428,0.10759,0.5149,0.4925,0.46577,0.26546,0.59141,0.5288,0.10622,0.0009076,0.0009076,0.0009076
16,3195.38,0.66741,0.52455,0.10036,0.52685,0.51909,0.50656,0.2937,0.55111,0.545,0.09716,0.000901,0.000901,0.000901
17,3392.91,0.65081,0.51483,0.09513,0.57916,0.54838,0.55311,0.33013,0.53292,0.52374,0.09007,0.0008944,0.0008944,0.0008944
18,3591.54,0.64601,0.50779,0.09294,0.61581,0.54968,0.57094,0.33945,0.52724,0.49737,0.08881,0.0008878,0.0008878,0.0008878
19,3790.21,0.62949,0.51014,0.09104,0.6161,0.53434,0.54759,0.31768,0.53756,0.51196,0.09272,0.0008812,0.0008812,0.0008812
