epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,183.982,1.9393,0.72827,0.82289,0.0557,0.02158,0.00643,0.00134,1.39193,0.49744,0.47707,0.000332428,0.000332428,0.000332428
2,355.75,1.41116,0.45094,0.40108,0.74969,0.07456,0.04971,0.01507,nan,nan,nan,0.000661367,0.000661367,0.000661367
3,515.061,1.29892,0.47864,0.32856,0.44772,0.09856,0.0793,0.02629,1.01584,0.6244,0.26498,0.000985906,0.000985906,0.000985906
4,675.869,1.17745,0.51368,0.27149,0.61406,0.11744,0.08834,0.03611,0.96941,0.62759,0.24232,0.0009802,0.0009802,0.0009802
5,834.373,1.08423,0.54006,0.23716,0.81503,0.14896,0.15586,0.06445,0.84386,0.65428,0.1856,0.0009736,0.0009736,0.0009736
6,992.735,1.01551,0.54844,0.20721,0.29588,0.27437,0.2065,0.08658,0.81401,0.6337,0.17592,0.000967,0.000967,0.000967
7,1150.78,0.96805,0.55724,0.19596,0.42028,0.29644,0.24643,0.10822,0.79839,0.61511,0.17247,0.0009604,0.0009604,0.0009604
8,1309.13,0.93227,0.55646,0.17907,0.40777,0.29386,0.26049,0.11654,nan,nan,nan,0.0009538,0.0009538,0.0009538
9,1468.06,0.90429,0.55637,0.16656,0.35645,0.34262,0.27444,0.13119,nan,nan,nan,0.0009472,0.0009472,0.0009472
10,1626.37,0.86194,0.54762,0.15087,0.34914,0.3633,0.29754,0.14745,0.69634,0.6188,0.13448,0.0009406,0.0009406,0.0009406
11,1785.56,0.83828,0.55086,0.14711,0.39623,0.36118,0.31026,0.1428,0.68783,0.61628,0.13519,0.000934,0.000934,0.000934
12,1943.71,0.82121,0.55658,0.14042,0.40854,0.37539,0.31891,0.1683,nan,nan,nan,0.0009274,0.0009274,0.0009274
13,2102.54,0.79003,0.54172,0.13013,0.5397,0.36006,0.38678,0.20012,nan,nan,nan,0.0009208,0.0009208,0.0009208
14,2261.12,0.75968,0.54746,0.12406,0.47193,0.43835,0.40136,0.21063,nan,nan,nan,0.0009142,0.0009142,0.0009142
15,2419.71,0.75253,0.54312,0.12295,0.44992,0.48646,0.44011,0.24642,0.59921,0.57139,0.1059,0.0009076,0.0009076,0.0009076
16,2577.89,0.726,0.53492,0.11511,0.54846,0.40874,0.43189,0.2254,0.6296,0.57746,0.12144,0.000901,0.000901,0.000901
17,2736.11,0.7106,0.53403,0.11108,0.55042,0.48276,0.48241,0.27301,0.57784,0.53524,0.10137,0.0008944,0.0008944,0.0008944
18,2894.48,0.70172,0.5258,0.10757,0.58143,0.49165,0.51069,0.27454,0.59189,0.5338,0.10249,0.0008878,0.0008878,0.0008878
19,3052.47,0.68213,0.53062,0.1042,0.5062,0.49544,0.48502,0.27214,0.58401,0.56118,0.10614,0.0008812,0.0008812,0.0008812
20,3210.76,0.67183,0.52129,0.10044,0.61574,0.52185,0.54735,0.30283,0.55788,0.5162,0.09556,0.0008746,0.0008746,0.0008746
21,3368.87,0.66683,0.51722,0.09905,0.68311,0.52549,0.57579,0.31553,0.57021,0.51177,0.10219,0.000868,0.000868,0.000868
22,3527.42,0.64565,0.51757,0.09488,0.60056,0.56129,0.59123,0.3336,0.54794,0.50353,0.09067,0.0008614,0.0008614,0.0008614
23,3685.87,0.64242,0.50946,0.09642,0.62747,0.53446,0.56137,0.32242,0.54782,0.50059,0.09408,0.0008548,0.0008548,0.0008548
24,3844.45,0.62435,0.49777,0.08913,0.62128,0.60265,0.60964,0.35731,nan,nan,nan,0.0008482,0.0008482,0.0008482
25,4002.94,0.61919,0.50354,0.08965,0.64519,0.5483,0.56891,0.33943,nan,nan,nan,0.0008416,0.0008416,0.0008416
26,4161.21,0.61301,0.50045,0.08893,0.66919,0.58095,0.59681,0.35516,nan,nan,nan,0.000835,0.000835,0.000835
27,4319.96,0.61099,0.49128,0.08687,0.6395,0.61873,0.63343,0.36414,0.52704,0.47591,0.08797,0.0008284,0.0008284,0.0008284
28,4478.73,0.61591,0.49103,0.08679,0.68303,0.59106,0.632,0.37097,0.52319,0.47242,0.08705,0.0008218,0.0008218,0.0008218
29,4637.63,0.6093,0.48657,0.08609,0.6591,0.59265,0.62004,0.35869,nan,nan,nan,0.0008152,0.0008152,0.0008152
30,4796.06,0.59627,0.48008,0.082,0.6965,0.61023,0.65028,0.38388,0.51661,0.47269,0.09006,0.0008086,0.0008086,0.0008086
31,4955.1,0.59587,0.48395,0.08321,0.71614,0.60172,0.62236,0.36751,nan,nan,nan,0.000802,0.000802,0.000802
32,5113.33,0.60134,0.48403,0.08282,0.68344,0.52542,0.53514,0.32699,nan,nan,nan,0.0007954,0.0007954,0.0007954
33,5271.81,0.58035,0.47668,0.0796,0.68394,0.65314,0.66296,0.39098,0.51774,0.46603,0.08833,0.0007888,0.0007888,0.0007888
34,5430.14,0.57695,0.47163,0.07696,0.77839,0.64363,0.70938,0.43155,0.47915,0.44595,0.07503,0.0007822,0.0007822,0.0007822
35,5588.37,0.58744,0.47298,0.07862,0.73635,0.62927,0.67472,0.3945,0.50778,0.46742,0.08554,0.0007756,0.0007756,0.0007756
36,5747.23,0.58177,0.47605,0.07974,0.75667,0.66753,0.71925,0.42708,0.48227,0.45348,0.07695,0.000769,0.000769,0.000769
37,5905.65,0.55551,0.46824,0.07699,0.74252,0.67672,0.70479,0.42435,0.48962,0.45268,0.07686,0.0007624,0.0007624,0.0007624
38,6064.48,0.55663,0.46374,0.07493,0.7858,0.6633,0.72116,0.42946,0.48264,0.44535,0.07782,0.0007558,0.0007558,0.0007558
39,6223.11,0.55431,0.46154,0.07495,0.7655,0.7065,0.73732,0.45515,0.46747,0.44278,0.07449,0.0007492,0.0007492,0.0007492
40,6382.01,0.5532,0.46242,0.07479,0.74271,0.66174,0.68289,0.4089,0.50523,0.46371,0.08461,0.0007426,0.0007426,0.0007426
41,6540.19,0.56962,0.47695,0.07857,0.75847,0.64827,0.69107,0.41189,0.50946,0.45793,0.08506,0.000736,0.000736,0.000736
42,6698.79,0.56606,0.47291,0.07743,0.76197,0.68772,0.7391,0.44872,0.47499,0.45243,0.07447,0.0007294,0.0007294,0.0007294
43,6857.47,0.55406,0.47074,0.07538,0.75759,0.69995,0.72197,0.43686,0.47998,0.44276,0.07625,0.0007228,0.0007228,0.0007228
44,7015.75,0.55481,0.45886,0.07339,0.79924,0.70506,0.75951,0.46627,0.46393,0.4404,0.07096,0.0007162,0.0007162,0.0007162
45,7174.69,0.54124,0.4528,0.0735,0.79327,0.69824,0.76333,0.46536,0.46567,0.43348,0.0723,0.0007096,0.0007096,0.0007096
46,7333.12,0.53607,0.45104,0.07003,0.7846,0.71002,0.75674,0.46548,0.46024,0.43433,0.07124,0.000703,0.000703,0.000703
47,7492.08,0.52785,0.44769,0.06766,0.82108,0.72354,0.78363,0.47922,0.45781,0.42671,0.07213,0.0006964,0.0006964,0.0006964
48,7650.77,0.53343,0.45311,0.07095,0.81843,0.73003,0.784,0.48289,0.45868,0.42836,0.07175,0.0006898,0.0006898,0.0006898
49,7809.55,0.52884,0.45086,0.06992,0.78891,0.7348,0.77597,0.48714,0.45571,0.42435,0.07015,0.0006832,0.0006832,0.0006832
50,7968.15,0.5232,0.4464,0.06796,0.78343,0.74402,0.7806,0.47922,0.45215,0.42345,0.06983,0.0006766,0.0006766,0.0006766
51,8126.53,0.51884,0.44177,0.06628,0.8121,0.74958,0.79653,0.49568,0.44171,0.41953,0.06687,0.00067,0.00067,0.00067
52,8285.41,0.52476,0.44607,0.06789,0.7614,0.75032,0.79238,0.48606,0.4515,0.42089,0.07193,0.0006634,0.0006634,0.0006634
53,8443.68,0.51331,0.44124,0.06525,0.78164,0.74667,0.77515,0.48351,0.44017,0.42,0.06809,0.0006568,0.0006568,0.0006568
54,8602.4,0.51829,0.44134,0.06524,0.81815,0.73184,0.78475,0.48675,0.44853,0.4277,0.06684,0.0006502,0.0006502,0.0006502
55,8760.68,0.51397,0.43953,0.06626,0.7921,0.74551,0.77983,0.4913,0.44415,0.4154,0.06736,0.0006436,0.0006436,0.0006436
56,8919.46,0.51422,0.44188,0.06628,0.78149,0.75257,0.77916,0.48985,0.43961,0.41821,0.06597,0.000637,0.000637,0.000637
57,9078.28,0.50322,0.43851,0.06315,0.8252,0.74252,0.79545,0.49758,0.44101,0.42222,0.06777,0.0006304,0.0006304,0.0006304
58,9236.46,0.51489,0.43764,0.06543,0.83839,0.70651,0.79531,0.49398,0.43964,0.42284,0.06642,0.0006238,0.0006238,0.0006238
59,9394.72,0.50721,0.4369,0.06615,0.81052,0.74776,0.7911,0.49719,0.44157,0.42028,0.0672,0.0006172,0.0006172,0.0006172
60,9553.28,0.49842,0.43743,0.06431,0.80454,0.75309,0.80147,0.50579,0.4354,0.4164,0.06584,0.0006106,0.0006106,0.0006106
61,9712.19,0.50679,0.43858,0.0634,0.83559,0.75802,0.81972,0.51941,0.4305,0.41522,0.06487,0.000604,0.000604,0.000604
62,9870.4,0.50064,0.4371,0.06556,0.81494,0.75053,0.80358,0.50008,0.43266,0.41678,0.06542,0.0005974,0.0005974,0.0005974
