epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,224.2,1.90294,0.67636,0.7716,0.19227,0.03814,0.00995,0.0023,1.27521,0.55945,0.38771,0.000332428,0.000332428,0.000332428
2,441.009,1.38788,0.45963,0.40974,0.72868,0.08018,0.04294,0.01583,1.05556,0.67628,0.30915,0.000661367,0.000661367,0.000661367
3,675.42,1.17923,0.56238,0.2801,0.59261,0.10946,0.08314,0.03609,0.90469,0.72944,0.22032,0.000985906,0.000985906,0.000985906
4,891.564,1.07257,0.58414,0.23548,0.62988,0.14536,0.11291,0.05102,0.84263,0.73362,0.20575,0.0009802,0.0009802,0.0009802
5,1106.9,0.99488,0.58933,0.20706,0.6169,0.1849,0.16828,0.07239,0.80962,0.70273,0.17628,0.0009736,0.0009736,0.0009736
6,1323.59,0.95436,0.5875,0.18676,0.41459,0.28843,0.21946,0.09579,0.7842,0.67005,0.16853,0.000967,0.000967,0.000967
7,1539.75,0.90292,0.57094,0.17357,0.47212,0.30155,0.27146,0.13579,0.74453,0.63282,0.14336,0.0009604,0.0009604,0.0009604
8,1757.31,0.88364,0.55901,0.16634,0.48991,0.2362,0.21761,0.10808,0.72767,0.65642,0.15645,0.0009538,0.0009538,0.0009538
9,1990.21,0.86584,0.56997,0.15855,0.49972,0.32151,0.30799,0.15525,0.69353,0.6221,0.14116,0.0009472,0.0009472,0.0009472
10,2206.21,0.84143,0.54535,0.14499,0.48791,0.37854,0.35663,0.18276,0.69478,0.57466,0.13085,0.0009406,0.0009406,0.0009406
11,2424.56,0.79997,0.54461,0.13667,0.44829,0.39606,0.36999,0.20023,0.65027,0.59234,0.12418,0.000934,0.000934,0.000934
12,2652.45,0.78602,0.54425,0.1335,0.48233,0.37459,0.35845,0.19425,0.65049,0.57759,0.125,0.0009274,0.0009274,0.0009274
13,2868.45,0.77721,0.53517,0.12795,0.47688,0.40902,0.39961,0.21182,0.62122,0.5844,0.10918,0.0009208,0.0009208,0.0009208
14,3084.91,0.75588,0.53556,0.12264,0.48823,0.45488,0.40239,0.20899,0.61798,0.57853,0.11134,0.0009142,0.0009142,0.0009142
15,3300.13,0.73657,0.53228,0.11959,0.61214,0.44226,0.48017,0.27597,0.58293,0.54029,0.10131,0.0009076,0.0009076,0.0009076
16,3517.4,0.69972,0.52282,0.10822,0.4786,0.46582,0.43812,0.25132,0.6024,0.58987,0.11133,0.000901,0.000901,0.000901
17,3753.47,0.69529,0.5263,0.10609,0.54282,0.49805,0.50195,0.29124,0.56945,0.53392,0.10308,0.0008944,0.0008944,0.0008944
18,3983.99,0.69131,0.52085,0.10483,0.58028,0.50099,0.51546,0.28918,0.57049,0.52419,0.09554,0.0008878,0.0008878,0.0008878
19,4215.48,0.67417,0.51462,0.10072,0.63734,0.50571,0.54662,0.29784,0.56008,0.53008,0.09443,0.0008812,0.0008812,0.0008812
20,4444.04,0.66501,0.5077,0.09757,0.61778,0.51818,0.54108,0.31712,0.55653,0.50921,0.09449,0.0008746,0.0008746,0.0008746
21,4673.41,0.66151,0.50613,0.09662,0.56593,0.5313,0.54553,0.31794,0.54792,0.51631,0.09224,0.000868,0.000868,0.000868
22,4903.31,0.63588,0.50557,0.09185,0.62556,0.52499,0.55066,0.31677,0.54588,0.54026,0.09026,0.0008614,0.0008614,0.0008614
23,5119.7,0.63352,0.49901,0.09148,0.614,0.54304,0.57707,0.33841,0.5324,0.48527,0.08888,0.0008548,0.0008548,0.0008548
24,5348.48,0.61819,0.49642,0.08756,0.62181,0.54588,0.56538,0.33617,0.53078,0.49838,0.0925,0.0008482,0.0008482,0.0008482
25,5565.92,0.6114,0.49327,0.08713,0.65923,0.5949,0.62584,0.37083,0.50952,0.47409,0.08336,0.0008416,0.0008416,0.0008416
26,5791.88,0.60536,0.49109,0.08756,0.61456,0.59193,0.60344,0.36264,0.51805,0.48042,0.08367,0.000835,0.000835,0.000835
27,6009.73,0.6028,0.48428,0.08434,0.70576,0.59544,0.64019,0.3725,0.50545,0.47881,0.08265,0.0008284,0.0008284,0.0008284
28,6236.96,0.607,0.49499,0.08532,0.66562,0.62254,0.64653,0.38363,0.51241,0.47673,0.08349,0.0008218,0.0008218,0.0008218
29,6485.93,0.59272,0.48074,0.08101,0.70637,0.61237,0.64436,0.38114,0.49738,0.47241,0.07942,0.0008152,0.0008152,0.0008152
30,6719.44,0.59178,0.48171,0.08081,0.7187,0.62954,0.67076,0.39888,0.48604,0.46645,0.07721,0.0008086,0.0008086,0.0008086
31,6938.91,0.59451,0.47836,0.08257,0.67391,0.63535,0.64662,0.38413,0.49607,0.46466,0.07928,0.000802,0.000802,0.000802
32,7157.69,0.582,0.47635,0.07782,0.71897,0.62235,0.67523,0.40509,0.49694,0.46118,0.08179,0.0007954,0.0007954,0.0007954
33,7376.32,0.57445,0.47559,0.07771,0.69247,0.61061,0.66647,0.40428,0.49076,0.46661,0.07956,0.0007888,0.0007888,0.0007888
