epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,218.896,1.99207,0.62778,0.82108,0.00028,0.01788,0.00021,4e-05,nan,nan,nan,0.000332428,0.000332428,0.000332428
2,420.684,1.54783,0.37975,0.47978,0.71044,0.08018,0.03352,0.0098,1.12641,0.66017,0.33653,0.000661367,0.000661367,0.000661367
3,614.909,1.21388,0.55022,0.30245,0.42973,0.09985,0.07058,0.02659,0.98612,0.70424,0.26185,0.000985906,0.000985906,0.000985906
4,809.398,1.12396,0.57049,0.2585,0.59603,0.11847,0.08447,0.03467,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,1003.05,1.03304,0.58328,0.22364,0.4942,0.21403,0.16998,0.07666,0.80272,0.67379,0.16872,0.0009736,0.0009736,0.0009736
6,1198.17,0.98039,0.56727,0.19794,0.54154,0.20088,0.18154,0.0829,0.78219,0.67596,0.17833,0.000967,0.000967,0.000967
7,1392.52,0.93285,0.56652,0.1824,0.34956,0.2567,0.2425,0.1158,0.76236,0.62188,0.1588,0.0009604,0.0009604,0.0009604
8,1589.38,0.91544,0.56338,0.17425,0.60204,0.2263,0.2236,0.11312,0.72835,0.68756,0.14921,0.0009538,0.0009538,0.0009538
9,1783.64,0.87313,0.56941,0.15913,0.38273,0.33431,0.28321,0.14056,0.7035,0.64162,0.13726,0.0009472,0.0009472,0.0009472
10,1979.03,0.87218,0.54582,0.15838,0.38112,0.41251,0.33916,0.17003,0.67137,0.6254,0.12937,0.0009406,0.0009406,0.0009406
11,2181.9,0.82292,0.55953,0.14386,0.51986,0.34227,0.3526,0.17478,0.67935,0.603,0.13006,0.000934,0.000934,0.000934
12,2376.86,0.8229,0.54312,0.14252,0.40768,0.40402,0.35708,0.18489,0.65474,0.58413,0.12206,0.0009274,0.0009274,0.0009274
13,2571.1,0.79113,0.54055,0.13179,0.39872,0.43815,0.38251,0.19549,0.65509,0.57782,0.12038,0.0009208,0.0009208,0.0009208
14,2765.73,0.78823,0.54201,0.13247,0.46894,0.40755,0.37894,0.19804,0.63944,0.60135,0.12063,0.0009142,0.0009142,0.0009142
15,2972.48,0.76957,0.54044,0.12807,0.52108,0.40406,0.40962,0.22608,0.61633,0.56315,0.11159,0.0009076,0.0009076,0.0009076
16,3166.35,0.7393,0.53565,0.11868,0.49578,0.467,0.44519,0.23754,0.6096,0.55008,0.11032,0.000901,0.000901,0.000901
17,3361.07,0.72614,0.53788,0.11384,0.52996,0.48489,0.46022,0.24615,0.60226,0.55057,0.10772,0.0008944,0.0008944,0.0008944
18,3555.2,0.74107,0.53176,0.12045,0.58524,0.46296,0.48592,0.26556,0.602,0.54105,0.10841,0.0008878,0.0008878,0.0008878
19,3762.17,0.72718,0.53554,0.11524,0.4523,0.39479,0.37856,0.18265,0.69068,0.59998,0.14602,0.0008812,0.0008812,0.0008812
20,3972.43,0.75786,0.53778,0.12544,0.47174,0.39074,0.3979,0.21256,0.65323,0.57128,0.12701,0.0008746,0.0008746,0.0008746
