epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,203.661,1.84973,0.67265,0.71157,0.69343,0.03235,0.00966,0.00214,1.34439,0.48879,0.47342,0.000332428,0.000332428,0.000332428
2,402.711,1.31691,0.50233,0.3498,0.74565,0.09429,0.05891,0.02035,1.02255,0.67073,0.28292,0.000661367,0.000661367,0.000661367
3,598.458,1.15773,0.55778,0.27648,0.759,0.11631,0.08894,0.03658,0.8807,0.75228,0.21069,0.000985906,0.000985906,0.000985906
4,794.862,1.06963,0.57994,0.23434,0.57289,0.1805,0.1414,0.06124,0.84952,0.71634,0.18622,0.0009802,0.0009802,0.0009802
5,990.229,1.00026,0.60355,0.21126,0.70015,0.15653,0.14105,0.06224,0.81512,0.78036,0.17271,0.0009736,0.0009736,0.0009736
6,1187.19,0.96489,0.59849,0.19709,0.33636,0.28111,0.21913,0.1027,0.73844,0.6906,0.15596,0.000967,0.000967,0.000967
7,1383.52,0.90059,0.58257,0.1756,0.29846,0.32874,0.25842,0.12283,0.69389,0.64847,0.14256,0.0009604,0.0009604,0.0009604
8,1579.69,0.8747,0.58403,0.16348,0.36787,0.33522,0.28907,0.14056,0.70234,0.6267,0.13838,0.0009538,0.0009538,0.0009538
9,1775.76,0.84251,0.56557,0.15185,0.52432,0.30485,0.30897,0.14519,0.68986,0.62902,0.13512,0.0009472,0.0009472,0.0009472
10,1971.62,0.83015,0.55027,0.14835,0.45982,0.3773,0.36402,0.18445,0.65893,0.59527,0.12468,0.0009406,0.0009406,0.0009406
11,2168.89,0.79506,0.54387,0.1387,0.4864,0.43086,0.41017,0.21871,0.62124,0.58087,0.1092,0.000934,0.000934,0.000934
12,2364.6,0.79233,0.54221,0.13899,0.41555,0.40528,0.3375,0.17049,0.67536,0.60211,0.14549,0.0009274,0.0009274,0.0009274
13,2561.53,0.76393,0.53965,0.12695,0.47624,0.44032,0.39453,0.21146,0.64091,0.5864,0.12267,0.0009208,0.0009208,0.0009208
14,2757.04,0.73902,0.54389,0.11878,0.59869,0.43713,0.45116,0.24056,0.59868,0.57704,0.1053,0.0009142,0.0009142,0.0009142
15,2954.22,0.72214,0.53833,0.11562,0.53532,0.45518,0.44244,0.23953,0.60292,0.56967,0.11157,0.0009076,0.0009076,0.0009076
16,3149.53,0.69307,0.53008,0.10816,0.55659,0.48289,0.48549,0.26782,0.57818,0.54249,0.09844,0.000901,0.000901,0.000901
17,3346.83,0.68676,0.52192,0.10523,0.56236,0.53228,0.51126,0.29392,0.57061,0.52791,0.10111,0.0008944,0.0008944,0.0008944
18,3543.08,0.68201,0.52233,0.10464,0.62278,0.51038,0.53673,0.30094,0.56515,0.53908,0.10056,0.0008878,0.0008878,0.0008878
19,3739.56,0.66025,0.50923,0.09885,0.63578,0.48041,0.50813,0.27349,0.59749,0.52312,0.11508,0.0008812,0.0008812,0.0008812
20,3936.29,0.65776,0.51375,0.09804,0.62652,0.50633,0.54206,0.30706,0.54626,0.50676,0.09602,0.0008746,0.0008746,0.0008746
21,4132.12,0.64847,0.50291,0.09542,0.6686,0.55618,0.59216,0.33806,0.53073,0.49598,0.08713,0.000868,0.000868,0.000868
22,4328.75,0.62638,0.50336,0.09117,0.69644,0.55867,0.59199,0.34518,0.52568,0.48536,0.08687,0.0008614,0.0008614,0.0008614
23,4524.65,0.61939,0.50884,0.0897,0.66539,0.58527,0.59661,0.3431,0.52654,0.49412,0.09082,0.0008548,0.0008548,0.0008548
