epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,195.045,1.961,0.64791,0.79158,0.33727,0.04026,0.00284,0.00057,1.49103,0.47863,0.53846,0.000332428,0.000332428,0.000332428
2,385.319,1.40107,0.4593,0.37687,0.74759,0.07782,0.05061,0.01521,1.10236,0.60977,0.29535,0.000661367,0.000661367,0.000661367
3,589.877,1.27913,0.48525,0.32404,0.7607,0.09414,0.06675,0.021,1.02668,0.65604,0.2858,0.000985906,0.000985906,0.000985906
4,789.852,1.15506,0.5431,0.2636,0.75134,0.11829,0.10004,0.03943,0.91854,0.67539,0.22364,0.0009802,0.0009802,0.0009802
5,993.031,1.07053,0.55234,0.23388,0.71049,0.16236,0.15601,0.06505,0.85078,0.66472,0.18231,0.0009736,0.0009736,0.0009736
6,1193.62,1.02445,0.55908,0.21395,0.62979,0.19033,0.16816,0.07322,0.80772,0.68271,0.1734,0.000967,0.000967,0.000967
7,1395.24,0.97659,0.5634,0.20223,0.51587,0.22884,0.20311,0.09455,0.76834,0.65824,0.16228,0.0009604,0.0009604,0.0009604
8,1582.54,0.94171,0.55571,0.1857,0.4239,0.30781,0.24982,0.1224,0.74743,0.62091,0.15502,0.0009538,0.0009538,0.0009538
9,1772.08,0.92188,0.54421,0.17893,0.41408,0.27983,0.23965,0.10484,0.77252,0.65584,0.17801,0.0009472,0.0009472,0.0009472
10,1959.09,0.9103,0.56173,0.17237,0.56365,0.28212,0.28008,0.1337,0.73148,0.59032,0.14349,0.0009406,0.0009406,0.0009406
11,2148.62,0.86644,0.54619,0.15871,0.56498,0.31622,0.32161,0.15822,0.68455,0.59757,0.13011,0.000934,0.000934,0.000934
12,2349.78,0.83454,0.54394,0.14771,0.4253,0.33721,0.31884,0.17066,0.66642,0.61837,0.12969,0.0009274,0.0009274,0.0009274
13,2537.88,0.80265,0.53145,0.13698,0.51525,0.41084,0.39555,0.20555,0.64589,0.55936,0.12331,0.0009208,0.0009208,0.0009208
14,2734.52,0.77183,0.53423,0.12826,0.51501,0.41677,0.42244,0.22089,0.61991,0.57465,0.11061,0.0009142,0.0009142,0.0009142
15,2936.13,0.76063,0.53591,0.1265,0.46668,0.44235,0.40628,0.22423,0.61717,0.58038,0.11071,0.0009076,0.0009076,0.0009076
16,3128.22,0.73407,0.53373,0.12004,0.55327,0.42297,0.43279,0.24298,0.58875,0.55842,0.1017,0.000901,0.000901,0.000901
17,3316.35,0.72013,0.52909,0.1142,0.57012,0.44856,0.46363,0.25443,0.58866,0.53209,0.10668,0.0008944,0.0008944,0.0008944
18,3504.58,0.72093,0.52309,0.11235,0.54561,0.49443,0.48279,0.26431,0.58205,0.54722,0.10179,0.0008878,0.0008878,0.0008878
19,3691.61,0.69264,0.51572,0.10532,0.59644,0.49152,0.51395,0.27915,0.56742,0.52464,0.09166,0.0008812,0.0008812,0.0008812
20,3880.36,0.68597,0.51395,0.10386,0.60863,0.5104,0.51938,0.28838,0.56046,0.51654,0.09842,0.0008746,0.0008746,0.0008746
21,4067.55,0.67907,0.50658,0.10211,0.65009,0.49568,0.54915,0.30977,0.55488,0.50119,0.09454,0.000868,0.000868,0.000868
22,4256.17,0.66426,0.50892,0.10159,0.62151,0.51034,0.53851,0.30475,0.55979,0.50818,0.09807,0.0008614,0.0008614,0.0008614
23,4456.68,0.65196,0.50068,0.09783,0.63973,0.53975,0.58091,0.33219,0.53897,0.48758,0.09171,0.0008548,0.0008548,0.0008548
24,4646.23,0.63438,0.50001,0.09275,0.67447,0.54933,0.59269,0.3452,0.52438,0.48766,0.08712,0.0008482,0.0008482,0.0008482
25,4834.58,0.63388,0.50352,0.09232,0.67583,0.53114,0.59614,0.33057,0.52594,0.505,0.08539,0.0008416,0.0008416,0.0008416
26,5023.9,0.62804,0.51306,0.09256,0.62759,0.54455,0.57586,0.33677,0.52399,0.50871,0.08608,0.000835,0.000835,0.000835
27,5211.29,0.62628,0.50202,0.09045,0.62036,0.57754,0.59536,0.35239,0.51737,0.49634,0.08709,0.0008284,0.0008284,0.0008284
28,5400.15,0.6184,0.49383,0.08764,0.64747,0.57605,0.61101,0.35784,0.53364,0.47731,0.0885,0.0008218,0.0008218,0.0008218
29,5587.68,0.60944,0.48987,0.08484,0.7117,0.60232,0.63546,0.36309,0.52427,0.47509,0.08748,0.0008152,0.0008152,0.0008152
30,5776.93,0.60906,0.4842,0.08451,0.66042,0.62707,0.6343,0.37597,0.50735,0.47963,0.08097,0.0008086,0.0008086,0.0008086
31,5964.73,0.59576,0.48084,0.08169,0.64683,0.6409,0.66395,0.39872,0.49206,0.46379,0.07959,0.000802,0.000802,0.000802
32,6156.15,0.60106,0.48194,0.08171,0.65673,0.61469,0.63503,0.37824,0.50224,0.46684,0.07826,0.0007954,0.0007954,0.0007954
33,6358,0.58874,0.48015,0.07991,0.66475,0.62559,0.64298,0.38821,0.49734,0.46347,0.07806,0.0007888,0.0007888,0.0007888
34,6545.45,0.594,0.48587,0.08086,0.73188,0.61118,0.67164,0.40538,0.48535,0.46097,0.07501,0.0007822,0.0007822,0.0007822
35,6733.97,0.58748,0.478,0.07854,0.74013,0.63209,0.68722,0.40788,0.49526,0.46026,0.08134,0.0007756,0.0007756,0.0007756
36,6927.49,0.56965,0.46947,0.07571,0.73312,0.64937,0.7036,0.42782,0.48177,0.45166,0.07576,0.000769,0.000769,0.000769
