epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,167.813,1.97555,0.60602,0.88858,0.51949,0.03497,0.00769,0.00162,1.34297,0.50219,0.43582,0.000332428,0.000332428,0.000332428
2,340.339,1.34707,0.47609,0.37519,0.58543,0.08446,0.05667,0.02079,1.05261,0.72084,0.29819,0.000661367,0.000661367,0.000661367
3,525.168,1.14945,0.54448,0.2752,0.75259,0.14163,0.11079,0.04752,0.87954,0.74481,0.21083,0.000985906,0.000985906,0.000985906
4,710.347,1.05442,0.57532,0.23287,0.72937,0.14398,0.12898,0.05523,0.87573,0.64964,0.22184,0.0009802,0.0009802,0.0009802
5,889.001,0.98898,0.57573,0.20793,0.59509,0.13342,0.11208,0.05031,nan,nan,nan,0.0009736,0.0009736,0.0009736
6,1074.47,0.94248,0.56809,0.18646,0.48368,0.25079,0.22527,0.10535,0.81967,0.62031,0.19658,0.000967,0.000967,0.000967
7,1252.05,0.90742,0.56085,0.17543,0.39224,0.31588,0.28682,0.14165,0.70969,0.62688,0.14056,0.0009604,0.0009604,0.0009604
8,1430.94,0.87922,0.56113,0.16257,0.3285,0.348,0.27232,0.12845,0.73081,0.64053,0.16479,0.0009538,0.0009538,0.0009538
9,1611.38,0.85168,0.552,0.15147,0.40718,0.40163,0.33799,0.16316,0.71744,0.60213,0.1415,0.0009472,0.0009472,0.0009472
10,1781.13,0.8209,0.54227,0.14208,0.44217,0.36117,0.33269,0.16643,0.69429,0.595,0.14205,0.0009406,0.0009406,0.0009406
11,1935.05,0.78846,0.55188,0.13443,0.48468,0.40285,0.39957,0.21876,0.61645,0.57261,0.11486,0.000934,0.000934,0.000934
12,2114.65,0.76026,0.53204,0.12369,0.47094,0.47918,0.42937,0.23867,0.60608,0.55689,0.10844,0.0009274,0.0009274,0.0009274
13,2299.55,0.75542,0.52637,0.12345,0.45103,0.44737,0.42171,0.24002,0.59644,0.56684,0.1054,0.0009208,0.0009208,0.0009208
14,2459.07,0.72439,0.53297,0.11437,0.49113,0.47681,0.44107,0.24744,0.60345,0.56034,0.10862,0.0009142,0.0009142,0.0009142
15,2623.44,0.71611,0.52936,0.11306,0.55176,0.46148,0.46794,0.26358,0.57546,0.5736,0.10043,0.0009076,0.0009076,0.0009076
16,2799.65,0.7032,0.52239,0.10927,0.58284,0.46876,0.48299,0.27689,0.57453,0.54178,0.09893,0.000901,0.000901,0.000901
17,2965.55,0.68523,0.51373,0.1044,0.58966,0.50993,0.5265,0.30457,0.57118,0.51613,0.09738,0.0008944,0.0008944,0.0008944
18,3123.78,0.69058,0.50706,0.10461,0.55036,0.55014,0.53472,0.30647,0.56379,0.51791,0.09615,0.0008878,0.0008878,0.0008878
19,3294.86,0.67862,0.51249,0.10336,0.60592,0.54363,0.55784,0.31502,0.56051,0.509,0.0977,0.0008812,0.0008812,0.0008812
20,3501.33,0.66242,0.50815,0.0967,0.58371,0.56678,0.58036,0.32835,0.54318,0.50216,0.0903,0.0008746,0.0008746,0.0008746
21,3703.53,0.65518,0.50316,0.09513,0.63664,0.56885,0.58507,0.34334,0.5368,0.49078,0.08976,0.000868,0.000868,0.000868
22,3906.83,0.63678,0.49761,0.09203,0.6626,0.57266,0.60798,0.36067,0.53008,0.49731,0.08591,0.0008614,0.0008614,0.0008614
23,4135.36,0.63585,0.49742,0.09209,0.63793,0.54265,0.58087,0.33971,0.54394,0.48738,0.09311,0.0008548,0.0008548,0.0008548
24,4349.99,0.62091,0.48884,0.08779,0.64902,0.60736,0.62327,0.36287,0.52265,0.48372,0.08441,0.0008482,0.0008482,0.0008482
25,4545.64,0.63155,0.50476,0.09156,0.62134,0.54825,0.56836,0.33889,0.5231,0.52081,0.08639,0.0008416,0.0008416,0.0008416
26,4736.57,0.61067,0.49251,0.08767,0.68786,0.61102,0.65291,0.39236,0.50254,0.46274,0.07992,0.000835,0.000835,0.000835
27,4921.69,0.60218,0.48059,0.08417,0.6952,0.60187,0.63152,0.38844,0.5027,0.4891,0.08365,0.0008284,0.0008284,0.0008284
28,5081.3,0.6154,0.48136,0.08642,0.68349,0.64504,0.67818,0.40908,0.49834,0.46256,0.08105,0.0008218,0.0008218,0.0008218
29,5291.27,0.59258,0.47328,0.0807,0.70563,0.61859,0.66413,0.40498,0.49121,0.46797,0.0791,0.0008152,0.0008152,0.0008152
30,5508.09,0.58617,0.47368,0.07886,0.74386,0.6302,0.68394,0.42349,0.48877,0.45696,0.08001,0.0008086,0.0008086,0.0008086
31,5665.05,0.58431,0.46969,0.07903,0.7197,0.62269,0.67012,0.41342,0.48565,0.46918,0.07995,0.000802,0.000802,0.000802
32,5825.48,0.57503,0.46539,0.07595,0.71102,0.64509,0.66488,0.40299,0.47998,0.45959,0.07658,0.0007954,0.0007954,0.0007954
33,6007.76,0.57619,0.47232,0.07793,0.71506,0.63826,0.65872,0.39709,0.48881,0.45041,0.07673,0.0007888,0.0007888,0.0007888
34,6190.87,0.58057,0.46749,0.07673,0.72681,0.63991,0.6812,0.41359,0.47958,0.45087,0.07661,0.0007822,0.0007822,0.0007822
35,6345.1,0.57222,0.46452,0.07415,0.72968,0.64739,0.70638,0.43986,0.46734,0.44623,0.07492,0.0007756,0.0007756,0.0007756
36,6499.36,0.5525,0.45942,0.07181,0.74539,0.67895,0.72537,0.4453,0.46854,0.44264,0.07475,0.000769,0.000769,0.000769
37,6656.91,0.55933,0.46699,0.07688,0.73653,0.67283,0.7121,0.4391,0.46792,0.44904,0.07109,0.0007624,0.0007624,0.0007624
38,6840.17,0.55871,0.46198,0.07395,0.7448,0.69237,0.7224,0.44716,0.46629,0.44252,0.07308,0.0007558,0.0007558,0.0007558
39,7027.34,0.54598,0.45594,0.07235,0.7481,0.70111,0.73202,0.45852,0.46145,0.43512,0.06981,0.0007492,0.0007492,0.0007492
40,7208.22,0.5498,0.46082,0.07395,0.76428,0.68644,0.73013,0.46259,0.45869,0.44359,0.0716,0.0007426,0.0007426,0.0007426
41,7388.18,0.54267,0.46039,0.07123,0.73746,0.70338,0.72661,0.44636,0.46329,0.44763,0.07332,0.000736,0.000736,0.000736
42,7571.08,0.54676,0.46222,0.0712,0.76744,0.6853,0.72856,0.45741,0.46525,0.4439,0.07296,0.0007294,0.0007294,0.0007294
43,7762.58,0.53426,0.45087,0.06991,0.76167,0.71867,0.74981,0.46911,0.45383,0.4291,0.06966,0.0007228,0.0007228,0.0007228
44,7947.97,0.5437,0.4525,0.06976,0.77728,0.69486,0.74635,0.45464,0.4654,0.43982,0.0722,0.0007162,0.0007162,0.0007162
