epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,177.846,2.06884,0.57234,0.96648,0.67222,0.01711,0.0011,0.00021,1.6745,0.3587,0.63304,0.000332428,0.000332428,0.000332428
2,334.803,1.42939,0.43545,0.408,0.75602,0.08839,0.0604,0.01976,1.07716,0.61488,0.31404,0.000661367,0.000661367,0.000661367
3,490.405,1.20606,0.52494,0.28945,0.78357,0.11433,0.10304,0.04369,0.9377,0.67973,0.21785,0.000985906,0.000985906,0.000985906
4,651.114,1.10607,0.56676,0.24693,0.79036,0.12992,0.11966,0.0541,0.86353,0.6951,0.19554,0.0009802,0.0009802,0.0009802
5,808.12,1.01416,0.5874,0.21335,0.49346,0.18278,0.16925,0.07692,0.82293,0.70379,0.18062,0.0009736,0.0009736,0.0009736
6,997.469,0.97337,0.58103,0.19522,0.38001,0.26107,0.18577,0.08063,0.82465,0.67047,0.1772,0.000967,0.000967,0.000967
7,1179.65,0.93235,0.57487,0.18522,0.37891,0.31523,0.26728,0.12864,0.73509,0.62849,0.1436,0.0009604,0.0009604,0.0009604
8,1335.45,0.89025,0.56733,0.16706,0.36721,0.35485,0.28369,0.14614,0.69873,0.60943,0.14084,0.0009538,0.0009538,0.0009538
9,1527.15,0.85663,0.57183,0.15338,0.46765,0.3392,0.31336,0.15995,0.67775,0.63168,0.12735,0.0009472,0.0009472,0.0009472
10,1734.5,0.83704,0.54859,0.14465,0.47358,0.37556,0.35118,0.17711,0.66897,0.59709,0.12618,0.0009406,0.0009406,0.0009406
11,1938.94,0.81782,0.55774,0.14368,0.45641,0.37298,0.36293,0.18887,0.65468,0.60044,0.12783,0.000934,0.000934,0.000934
12,2141.33,0.78837,0.5476,0.13568,0.45381,0.37089,0.35357,0.18901,0.66244,0.59653,0.13616,0.0009274,0.0009274,0.0009274
13,2351.22,0.76009,0.53824,0.12541,0.43647,0.44497,0.40611,0.22563,0.61596,0.58292,0.11359,0.0009208,0.0009208,0.0009208
14,2579.76,0.75037,0.5458,0.12241,0.47668,0.4654,0.42489,0.23326,0.6047,0.57423,0.10875,0.0009142,0.0009142,0.0009142
15,2814.79,0.73306,0.53671,0.11906,0.4809,0.45976,0.42261,0.23482,0.59441,0.57593,0.10661,0.0009076,0.0009076,0.0009076
16,3013.83,0.71889,0.53953,0.11449,0.52196,0.42898,0.43012,0.23657,0.629,0.57546,0.11567,0.000901,0.000901,0.000901
17,3233.98,0.70215,0.52712,0.10921,0.58126,0.4634,0.48271,0.26475,0.58304,0.55562,0.10514,0.0008944,0.0008944,0.0008944
18,3389.4,0.69816,0.52272,0.10757,0.55518,0.51511,0.50437,0.2901,0.57771,0.54631,0.10051,0.0008878,0.0008878,0.0008878
19,3544.42,0.66791,0.51596,0.10039,0.57537,0.50725,0.51997,0.30323,0.55791,0.54401,0.09893,0.0008812,0.0008812,0.0008812
20,3707.95,0.6699,0.51697,0.09877,0.53864,0.51102,0.51111,0.29286,0.55818,0.51806,0.09657,0.0008746,0.0008746,0.0008746
21,3948.69,0.65719,0.51281,0.09656,0.61933,0.5385,0.54886,0.3121,0.54642,0.50914,0.09322,0.000868,0.000868,0.000868
22,4187.54,0.64032,0.51687,0.09565,0.65961,0.5495,0.57573,0.32975,0.53679,0.50951,0.09103,0.0008614,0.0008614,0.0008614
23,4420.33,0.64182,0.50721,0.09529,0.64558,0.52755,0.57392,0.32429,0.5461,0.4949,0.09118,0.0008548,0.0008548,0.0008548
24,4663.04,0.62806,0.50369,0.09081,0.63083,0.51804,0.57307,0.33712,0.53583,0.50594,0.09093,0.0008482,0.0008482,0.0008482
25,4899.49,0.61368,0.49485,0.0884,0.63601,0.59851,0.6045,0.35574,0.51718,0.49742,0.08692,0.0008416,0.0008416,0.0008416
26,5142.6,0.60297,0.49722,0.08715,0.66101,0.62194,0.63812,0.37972,0.50561,0.47526,0.08158,0.000835,0.000835,0.000835
27,5379.34,0.6029,0.48848,0.08589,0.67182,0.59412,0.63006,0.37498,0.50144,0.48323,0.08173,0.0008284,0.0008284,0.0008284
28,5620.28,0.61188,0.49049,0.08599,0.66828,0.5875,0.61506,0.36001,0.53305,0.48348,0.08776,0.0008218,0.0008218,0.0008218
29,5861.81,0.61273,0.4881,0.08618,0.68848,0.63781,0.67305,0.39667,0.49747,0.47135,0.08424,0.0008152,0.0008152,0.0008152
30,6072.66,0.59876,0.48443,0.08278,0.67677,0.619,0.6444,0.37866,0.5101,0.47398,0.08579,0.0008086,0.0008086,0.0008086
31,6245.89,0.59349,0.48501,0.08291,0.69512,0.61537,0.64429,0.38854,0.50206,0.46398,0.08437,0.000802,0.000802,0.000802
32,6488.58,0.58864,0.47703,0.07973,0.70606,0.65884,0.69033,0.41284,0.49136,0.45641,0.0792,0.0007954,0.0007954,0.0007954
33,6729.46,0.57731,0.47192,0.07856,0.68368,0.66185,0.66761,0.39967,0.49898,0.46056,0.08144,0.0007888,0.0007888,0.0007888
34,6980.87,0.58264,0.47445,0.07803,0.70624,0.64149,0.66804,0.39822,0.50182,0.45814,0.08159,0.0007822,0.0007822,0.0007822
35,7223.35,0.5797,0.46678,0.07674,0.76732,0.63799,0.70059,0.42502,0.48785,0.45146,0.07815,0.0007756,0.0007756,0.0007756
36,7425.67,0.57541,0.47504,0.07813,0.7023,0.66388,0.69537,0.41529,0.49445,0.45593,0.08037,0.000769,0.000769,0.000769
37,7669.27,0.57376,0.49087,0.08154,0.69495,0.64879,0.68883,0.412,0.48691,0.47078,0.07784,0.0007624,0.0007624,0.0007624
38,7912.96,0.55663,0.46576,0.07391,0.73183,0.67227,0.71774,0.43819,0.47008,0.45274,0.07503,0.0007558,0.0007558,0.0007558
39,8091.35,0.5486,0.45607,0.07331,0.78366,0.65811,0.72151,0.44307,0.46754,0.44545,0.07354,0.0007492,0.0007492,0.0007492
40,8283.76,0.54588,0.45702,0.07317,0.7707,0.68036,0.72117,0.44252,0.48026,0.43945,0.0791,0.0007426,0.0007426,0.0007426
41,8458.98,0.55118,0.46036,0.07335,0.7447,0.66931,0.70044,0.42383,0.47986,0.44731,0.07737,0.000736,0.000736,0.000736
42,8704.98,0.55049,0.46068,0.07255,0.76244,0.71216,0.74592,0.45617,0.46857,0.43612,0.07292,0.0007294,0.0007294,0.0007294
43,8911.66,0.5337,0.45006,0.0698,0.75226,0.70718,0.74528,0.45456,0.46694,0.43663,0.07335,0.0007228,0.0007228,0.0007228
44,9151.94,0.54366,0.45451,0.07107,0.74052,0.71131,0.73795,0.45319,0.46483,0.44733,0.07338,0.0007162,0.0007162,0.0007162
45,9348.29,0.53419,0.4524,0.07156,0.76579,0.6857,0.75611,0.45572,0.46993,0.43947,0.07302,0.0007096,0.0007096,0.0007096
