epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,195.348,1.93799,0.5966,0.75988,0.02565,0.02781,0.01339,0.00194,1.63518,0.27066,0.80252,0.000332428,0.000332428,0.000332428
2,392.668,1.49334,0.40423,0.45945,0.56064,0.08703,0.04162,0.0158,nan,nan,nan,0.000661367,0.000661367,0.000661367
3,579.52,1.20748,0.54516,0.31012,0.76986,0.09951,0.07301,0.02879,nan,nan,nan,0.000985906,0.000985906,0.000985906
4,777.224,1.09237,0.58805,0.25097,0.78517,0.12422,0.1064,0.04735,0.90876,0.67779,0.25715,0.0009802,0.0009802,0.0009802
5,979.31,1.00955,0.57883,0.21979,0.48001,0.17295,0.16693,0.07353,0.85382,0.63013,0.22463,0.0009736,0.0009736,0.0009736
6,1180.8,0.9472,0.57756,0.19432,0.43218,0.24164,0.19569,0.09426,0.76089,0.70673,0.1678,0.000967,0.000967,0.000967
7,1366.71,0.8991,0.58629,0.17354,0.38299,0.29254,0.24751,0.1257,0.75496,0.63205,0.16234,0.0009604,0.0009604,0.0009604
8,1553.16,0.8777,0.57538,0.16385,0.33587,0.30157,0.24979,0.13338,0.71817,0.62478,0.13856,0.0009538,0.0009538,0.0009538
9,1739.17,0.84173,0.57013,0.14872,0.37431,0.33784,0.27137,0.1404,0.7123,0.60855,0.15069,0.0009472,0.0009472,0.0009472
10,1937.69,0.81101,0.55243,0.13817,0.46462,0.31829,0.31822,0.16974,0.67123,0.58984,0.12483,0.0009406,0.0009406,0.0009406
11,2133.99,0.78748,0.55867,0.13305,0.36891,0.33539,0.28899,0.15162,0.7254,0.58677,0.164,0.000934,0.000934,0.000934
12,2319.55,0.7839,0.55065,0.13037,0.46429,0.40787,0.37151,0.20581,0.64635,0.59765,0.1192,0.0009274,0.0009274,0.0009274
13,2505.96,0.75949,0.54392,0.12226,0.47222,0.42686,0.38159,0.20879,0.63068,0.57705,0.11411,0.0009208,0.0009208,0.0009208
14,2692.92,0.73377,0.54273,0.11649,0.48856,0.39843,0.38567,0.21143,0.62531,0.58223,0.11287,0.0009142,0.0009142,0.0009142
15,2893.67,0.71571,0.53965,0.11396,0.49747,0.47026,0.43846,0.24339,0.61267,0.54301,0.10873,0.0009076,0.0009076,0.0009076
16,3092.57,0.70605,0.53123,0.10998,0.48191,0.40162,0.39561,0.21113,0.63176,0.56844,0.11694,0.000901,0.000901,0.000901
17,3290.55,0.69381,0.52758,0.10539,0.54643,0.49112,0.48134,0.26663,0.60023,0.52134,0.10506,0.0008944,0.0008944,0.0008944
18,3475.68,0.7031,0.54353,0.1075,0.51386,0.43704,0.41847,0.22237,0.6199,0.56386,0.12103,0.0008878,0.0008878,0.0008878
19,3662.09,0.67659,0.522,0.10187,0.50735,0.51412,0.48637,0.27942,0.56303,0.5303,0.09762,0.0008812,0.0008812,0.0008812
20,3847.49,0.66583,0.53125,0.09913,0.60638,0.47765,0.4945,0.28276,0.57279,0.51578,0.09827,0.0008746,0.0008746,0.0008746
21,4047.4,0.65409,0.50972,0.09414,0.614,0.51676,0.53569,0.30747,0.5578,0.50294,0.09879,0.000868,0.000868,0.000868
22,4234.32,0.6399,0.51112,0.09288,0.6267,0.51905,0.54771,0.31392,0.54195,0.5128,0.08931,0.0008614,0.0008614,0.0008614
23,4421.19,0.63514,0.50992,0.092,0.63444,0.51677,0.55034,0.31882,0.54233,0.5007,0.08939,0.0008548,0.0008548,0.0008548
24,4606.84,0.62966,0.50799,0.08952,0.62551,0.53079,0.55551,0.32925,0.5312,0.49585,0.08688,0.0008482,0.0008482,0.0008482
25,4794.03,0.62645,0.50811,0.09024,0.66067,0.54503,0.56846,0.33009,0.53908,0.49835,0.08769,0.0008416,0.0008416,0.0008416
26,4992.88,0.612,0.49913,0.08811,0.66451,0.52788,0.5738,0.3343,nan,nan,nan,0.000835,0.000835,0.000835
