epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,196.125,1.91533,0.8266,0.7188,0.33434,0.04453,0.00096,0.00018,1.5895,0.37383,0.56468,0.000332428,0.000332428,0.000332428
2,387.148,1.46357,0.41578,0.40744,0.58331,0.07072,0.04983,0.01595,1.12474,0.59758,0.32742,0.000661367,0.000661367,0.000661367
3,576.281,1.2798,0.4926,0.31705,0.77005,0.09349,0.06839,0.02398,1.05428,0.6135,0.2796,0.000985906,0.000985906,0.000985906
4,765.405,1.18199,0.52924,0.28115,0.60756,0.14854,0.10524,0.0387,0.94483,0.65796,0.24863,0.0009802,0.0009802,0.0009802
5,957.766,1.08127,0.5682,0.23792,0.64473,0.16285,0.11964,0.05339,0.86007,0.67243,0.21509,0.0009736,0.0009736,0.0009736
6,1162.46,1.02421,0.5687,0.21119,0.48932,0.23232,0.17937,0.07737,0.81472,0.71292,0.16989,0.000967,0.000967,0.000967
7,1351.98,0.98188,0.56879,0.1988,0.5813,0.20373,0.2144,0.10309,0.77807,0.65217,0.16663,0.0009604,0.0009604,0.0009604
8,1541.27,0.94761,0.57305,0.18618,0.44772,0.26356,0.22766,0.10702,0.74382,0.66193,0.15446,0.0009538,0.0009538,0.0009538
9,1741.83,0.90919,0.56576,0.17166,0.49877,0.26768,0.26539,0.13295,0.69711,0.64247,0.13427,0.0009472,0.0009472,0.0009472
10,1933.26,0.86962,0.5608,0.15436,0.37457,0.33621,0.28433,0.1409,0.70624,0.61917,0.13898,0.0009406,0.0009406,0.0009406
11,2123.34,0.83644,0.56221,0.14786,0.3571,0.36407,0.2888,0.15052,0.67376,0.61339,0.13208,0.000934,0.000934,0.000934
12,2321.21,0.8205,0.55648,0.14325,0.45225,0.30653,0.28982,0.15375,0.67442,0.65224,0.13795,0.0009274,0.0009274,0.0009274
