epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,166.732,1.86982,0.63771,0.72489,0.70701,0.04527,0.0175,0.00412,1.27953,0.50622,0.41107,0.000332428,0.000332428,0.000332428
2,322.582,1.23412,0.53327,0.30851,0.76163,0.10837,0.07379,0.02655,nan,nan,nan,0.000661367,0.000661367,0.000661367
3,477.317,1.07587,0.57108,0.23683,0.63229,0.12387,0.12471,0.05359,0.86976,0.69487,0.21464,0.000985906,0.000985906,0.000985906
4,632.266,0.99616,0.58855,0.20764,0.53663,0.21111,0.16116,0.07451,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,794.199,0.94063,0.60183,0.19154,0.47086,0.23679,0.20431,0.08915,0.74118,0.66729,0.1592,0.0009736,0.0009736,0.0009736
6,954.442,0.88948,0.60077,0.16773,0.32893,0.27848,0.21511,0.10151,0.73593,0.77973,0.16377,0.000967,0.000967,0.000967
7,1108.3,0.86702,0.59973,0.16034,0.43114,0.32358,0.28448,0.1398,0.67094,0.67602,0.132,0.0009604,0.0009604,0.0009604
8,1263.65,0.83003,0.58131,0.14424,0.47771,0.35028,0.31761,0.16421,0.65826,0.59784,0.12372,0.0009538,0.0009538,0.0009538
9,1419.19,0.80966,0.57244,0.13821,0.41621,0.40427,0.34327,0.17303,0.6406,0.59359,0.12081,0.0009472,0.0009472,0.0009472
10,1574.56,0.77181,0.55242,0.12748,0.48625,0.42652,0.39666,0.20828,0.62312,0.57335,0.11527,0.0009406,0.0009406,0.0009406
11,1733.73,0.76349,0.55338,0.12625,0.49709,0.41887,0.41514,0.22241,0.62308,0.56811,0.11974,0.000934,0.000934,0.000934
12,1891.81,0.73695,0.54092,0.11799,0.50956,0.4358,0.42663,0.24025,0.60027,0.5544,0.10392,0.0009274,0.0009274,0.0009274
13,2052.63,0.73054,0.54192,0.11523,0.41857,0.44863,0.40945,0.21227,0.62148,0.58683,0.11995,0.0009208,0.0009208,0.0009208
14,2206.89,0.71601,0.53897,0.11118,0.50333,0.46856,0.4589,0.25128,0.58903,0.56163,0.10296,0.0009142,0.0009142,0.0009142
15,2361.23,0.68887,0.53276,0.106,0.52593,0.51379,0.48645,0.27256,0.58233,0.54364,0.10649,0.0009076,0.0009076,0.0009076
16,2515.1,0.67973,0.5293,0.10369,0.51132,0.48717,0.47528,0.27736,0.55764,0.54534,0.09733,0.000901,0.000901,0.000901
17,2669.87,0.6785,0.5306,0.10247,0.58814,0.476,0.49258,0.27518,0.57659,0.55434,0.10552,0.0008944,0.0008944,0.0008944
18,2823.71,0.66387,0.51855,0.09852,0.59691,0.47994,0.50919,0.29763,0.55843,0.52384,0.09865,0.0008878,0.0008878,0.0008878
19,2978.45,0.64521,0.52482,0.09384,0.57505,0.54204,0.5314,0.3005,0.55161,0.52522,0.09385,0.0008812,0.0008812,0.0008812
20,3132.59,0.63584,0.51385,0.09158,0.60999,0.54655,0.56856,0.33576,0.52678,0.50424,0.08766,0.0008746,0.0008746,0.0008746
21,3286.17,0.62933,0.50358,0.08882,0.64662,0.58982,0.60703,0.35666,0.51899,0.49126,0.08833,0.000868,0.000868,0.000868
22,3453.39,0.61959,0.50053,0.08821,0.62316,0.58319,0.60167,0.35614,0.51736,0.49054,0.08417,0.0008614,0.0008614,0.0008614
23,3627.62,0.60726,0.49719,0.08562,0.62689,0.61451,0.62102,0.36914,0.50568,0.49373,0.08466,0.0008548,0.0008548,0.0008548
24,3781.89,0.60283,0.49143,0.08295,0.67112,0.60052,0.63063,0.36509,0.5253,0.48451,0.08446,0.0008482,0.0008482,0.0008482
25,3936.27,0.5992,0.49297,0.08465,0.69072,0.57792,0.6132,0.36788,0.50529,0.48848,0.0804,0.0008416,0.0008416,0.0008416
26,4103.41,0.58264,0.48614,0.08172,0.69792,0.5942,0.64729,0.3948,0.49831,0.47254,0.08143,0.000835,0.000835,0.000835
27,4258.54,0.58819,0.4852,0.08198,0.69373,0.59557,0.64866,0.38718,0.50231,0.48449,0.08208,0.0008284,0.0008284,0.0008284
28,4431.07,0.58402,0.47742,0.07903,0.7114,0.65562,0.68024,0.40923,0.49071,0.46025,0.07883,0.0008218,0.0008218,0.0008218
29,4598.15,0.5844,0.47561,0.07951,0.71828,0.62329,0.67436,0.41429,0.48367,0.46564,0.07763,0.0008152,0.0008152,0.0008152
30,4762.22,0.57829,0.47529,0.07785,0.72819,0.64085,0.687,0.41638,0.49922,0.4634,0.08264,0.0008086,0.0008086,0.0008086
31,4916.84,0.57262,0.47173,0.07686,0.76808,0.6622,0.71963,0.43904,0.47793,0.44693,0.07289,0.000802,0.000802,0.000802
