epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,171.905,1.8334,0.67225,0.69193,0.69753,0.04739,0.01418,0.00314,1.28487,0.52366,0.41651,0.000332428,0.000332428,0.000332428
2,359.958,1.32208,0.49602,0.35358,0.75162,0.08849,0.05539,0.02172,1.06348,0.66384,0.30615,0.000661367,0.000661367,0.000661367
3,516.245,1.15652,0.58138,0.27538,0.65322,0.11792,0.08061,0.03679,0.9157,0.72466,0.22681,0.000985906,0.000985906,0.000985906
4,673.793,1.07539,0.59277,0.23982,0.60897,0.12587,0.09574,0.04157,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,833.345,1.00106,0.61189,0.21182,0.62953,0.17375,0.17784,0.07724,0.7909,0.70167,0.17283,0.0009736,0.0009736,0.0009736
6,986.333,0.93721,0.59013,0.18531,0.40428,0.24862,0.209,0.09338,0.75594,0.77472,0.1606,0.000967,0.000967,0.000967
7,1139.09,0.88943,0.59254,0.1706,0.36869,0.33785,0.28717,0.13951,0.68842,0.65097,0.13234,0.0009604,0.0009604,0.0009604
8,1292.8,0.87929,0.56936,0.16365,0.45643,0.32754,0.31736,0.16367,0.67988,0.61773,0.12419,0.0009538,0.0009538,0.0009538
9,1448.19,0.84629,0.5741,0.15123,0.46487,0.32496,0.30583,0.15179,0.67864,0.61974,0.12878,0.0009472,0.0009472,0.0009472
10,1600.64,0.82283,0.54681,0.14368,0.53295,0.3756,0.36962,0.18979,0.65675,0.57075,0.12409,0.0009406,0.0009406,0.0009406
11,1753.69,0.79112,0.55184,0.13554,0.44229,0.39271,0.36252,0.19447,0.61833,0.60089,0.10893,0.000934,0.000934,0.000934
12,1904.79,0.77627,0.5408,0.13124,0.44341,0.38344,0.36234,0.19389,0.64671,0.58465,0.12363,0.0009274,0.0009274,0.0009274
13,2056.41,0.74792,0.53083,0.12208,0.50441,0.41489,0.40794,0.22218,0.61344,0.57705,0.11265,0.0009208,0.0009208,0.0009208
14,2209.01,0.72326,0.5301,0.1141,0.52263,0.41651,0.41707,0.23738,0.60324,0.55269,0.10512,0.0009142,0.0009142,0.0009142
