epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,174.753,1.82732,0.83439,0.70501,0.54005,0.07173,0.02465,0.00796,1.15671,0.61284,0.40537,0.000332428,0.000332428,0.000332428
2,341.952,1.25201,0.54345,0.32692,0.74792,0.09867,0.06165,0.02518,0.97828,0.73104,0.27265,0.000661367,0.000661367,0.000661367
3,506.972,1.15429,0.58612,0.27865,0.75406,0.11026,0.0788,0.03549,0.84505,0.7863,0.19859,0.000985906,0.000985906,0.000985906
4,672.23,1.04489,0.59919,0.22434,0.5274,0.16854,0.12809,0.05608,nan,nan,nan,0.0009802,0.0009802,0.0009802
5,836.895,0.9832,0.60551,0.20727,0.50018,0.18126,0.1694,0.07558,0.81535,0.68983,0.18058,0.0009736,0.0009736,0.0009736
6,1001.02,0.95306,0.5887,0.19188,0.3464,0.20461,0.15848,0.07052,nan,nan,nan,0.000967,0.000967,0.000967
7,1165.41,0.91953,0.59496,0.18619,0.401,0.28683,0.25044,0.11951,0.70027,0.69947,0.13578,0.0009604,0.0009604,0.0009604
8,1329.37,0.88509,0.5855,0.16684,0.3642,0.35501,0.2895,0.14783,0.6917,0.6664,0.1403,0.0009538,0.0009538,0.0009538
9,1494.17,0.85737,0.58754,0.15831,0.40234,0.30566,0.2656,0.13441,0.71779,0.6213,0.14413,0.0009472,0.0009472,0.0009472
10,1658,0.81894,0.56602,0.14259,0.37712,0.35153,0.3065,0.15353,0.66112,0.67519,0.12468,0.0009406,0.0009406,0.0009406
11,1822.9,0.81307,0.57836,0.14291,0.33466,0.31663,0.26731,0.1374,0.69877,0.65737,0.14075,0.000934,0.000934,0.000934
12,1986.84,0.79897,0.56793,0.13899,0.42538,0.40862,0.36651,0.19532,0.63312,0.6169,0.11313,0.0009274,0.0009274,0.0009274
13,2151.44,0.76557,0.55636,0.1293,0.46979,0.37864,0.36121,0.18892,0.63497,0.67353,0.1272,0.0009208,0.0009208,0.0009208
14,2315.26,0.75071,0.55312,0.12337,0.49482,0.41778,0.42308,0.2307,0.60772,0.56771,0.11269,0.0009142,0.0009142,0.0009142
15,2479.86,0.73559,0.55398,0.12093,0.47826,0.43874,0.41678,0.23609,0.59938,0.58532,0.10832,0.0009076,0.0009076,0.0009076
16,2644.22,0.71289,0.53657,0.11445,0.48692,0.45634,0.42254,0.22889,0.61665,0.55949,0.11274,0.000901,0.000901,0.000901
17,2808.17,0.70354,0.53225,0.11157,0.49363,0.50075,0.46238,0.2683,0.57288,0.5446,0.10116,0.0008944,0.0008944,0.0008944
18,2972.8,0.6941,0.52878,0.10799,0.55315,0.49778,0.49839,0.27802,0.55635,0.53867,0.0956,0.0008878,0.0008878,0.0008878
19,3136.76,0.67198,0.52149,0.10268,0.60793,0.48138,0.48291,0.27384,0.56894,0.52778,0.09324,0.0008812,0.0008812,0.0008812
20,3301.44,0.66582,0.51383,0.10115,0.54962,0.51468,0.50996,0.28986,0.56992,0.51043,0.09734,0.0008746,0.0008746,0.0008746
21,3465.51,0.66274,0.50966,0.09867,0.66456,0.52069,0.55646,0.31041,0.54225,0.51666,0.09588,0.000868,0.000868,0.000868
